,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate,Duplicate
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,First,Final,First & Final,SDE,Final & SDE,Full,Any
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benton,Belle Plaine 3,0,7,0,6,0,0,0,0,7,1,1,1,0,0,0,9,0,7,0,0,0,0,7.0,0,0.0,0,0,0,0,0.15,0.0,0.15,0,0.0,0.0,0,0.15,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,True
Black Hawk,Bennington,0,0,0,5,0,0,1,0,3,4,0,1,2,0,0,0,0,5,0,0,1,0,3.0,4,0.0,1,2,0,0,0.0,0.0,0.202,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Black Hawk,Big Creek La Porte,1,19,0,20,0,0,11,0,16,12,12,9,0,0,0,19,0,20,0,0,11,0,16.0,12,12.0,9,0,0,0,0.404,0.0,0.606,0,0.0,0.0,0,0.404,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Black Hawk,Poyner P2 Fox Gilbert Jesup,0,13,0,18,0,0,0,0,12,1,7,7,0,0,0,14,0,21,0,0,0,0,19.0,0,0.0,0,0,0,0,0.404,0.0,0.606,0,0.0,0.0,0,0.404,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Black Hawk,Spring Creek,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,1.0,0,1.0,0,0,0,0,0.0,0.0,0.202,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Black Hawk,WL 2-5,0,22,0,24,0,0,12,0,29,3,15,5,0,0,0,25,0,32,0,0,0,0,34.0,0,19.0,0,0,0,0,0.404,0.0,0.606,0,0.0,0.0,0,0.606,0.0,0.202,0.0,0.0,0.0,False,False,False,True,False,False,True
Black Hawk,WL 5-4,0,20,0,27,0,0,16,1,29,4,18,4,0,0,0,24,0,36,0,0,0,0,36.0,0,19.0,0,0,0,0,0.404,0.0,0.606,0,0.0,0.0,0,0.606,0.0,0.202,0.0,0.0,0.0,False,False,False,True,False,False,True
Boone,Boone 3rd Ward,0,16,0,44,0,0,20,0,38,0,24,19,0,4,0,0,2,54,0,0,25,0,44.0,0,29.0,11,0,0,0,0.0,0.0,0.57,0,0.0,0.38,0,0.57,0.0,0.38,0.0,0.0,0.0,False,False,False,True,False,False,True
Boone,Boone 5th Ward,0,1,0,22,0,0,10,0,22,1,13,3,0,0,0,0,0,23,0,0,11,0,24.0,0,14.0,0,0,0,0,0.0,0.0,0.57,0,0.0,0.38,0,0.57,0.0,0.38,0.0,0.0,0.0,False,False,False,True,False,False,True
Bremer,CITY OF READLYN- MAXFIELD &amp; FRANKLIN TWP,0,7,0,11,0,0,7,0,6,0,6,0,0,0,0,7,0,11,0,0,7,0,6.0,0,6.0,0,0,0,0,0.2267,0.0,0.2267,0,0.0,0.2267,0,0.0,0.0,0.2267,0.0,0.0,0.0,False,False,False,True,False,False,True
Bremer,LAFAYETTE TWP/WARREN TWPS,0,7,0,15,0,0,8,0,0,0,6,0,0,0,0,7,0,15,0,0,8,0,0.0,0,6.0,0,0,0,0,0.2267,0.0,0.2267,0,0.0,0.2267,0,0.0,0.0,0.2267,0.0,0.0,0.0,False,False,False,True,False,False,True
Buena Vista,NEWELL NEWELL PROVIDENCE,0,4,0,4,0,0,5,0,9,0,2,7,0,1,0,0,0,10,0,0,0,0,12.0,0,0.0,0,0,0,0,0.0,0.0,0.2,0,0.0,0.0,0,0.2,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,True
Butler,7-PB,0,13,0,9,0,0,9,0,14,0,10,3,0,3,0,13,0,10,0,0,10,0,15.0,0,11.0,2,0,0,0,0.2333,0.0,0.2333,0,0.0,0.2333,0,0.2333,0.0,0.2333,0.0,0.0,0.0,False,False,False,True,False,False,True
CD1 Satellite,"Marshalltown, IA - UAW Local 893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True
CD2 Satellite,"Centerville, IA - Centerville Speciality Care",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True
CD2 Satellite,"Ottumwa, IA - UAW Local 74",0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,14.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.175,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,True
CD2 Satellite,"Ottumwa, IA - UFCW Local 230",0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,14.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.175,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,False,True
CD2 Satellite,"West Burlington, IA - Southeastern Community College",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.035,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False,False,True
CD4 Satellite,"Manson, IA - Good Samaritan Society - Manson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True
CD4 Satellite,"Storm Lake, IA - Methodist Manor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True
