,,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted
County,Precinct,,,,,,,,,,,,,,
Adair,1NW ADAIR,0,0.0784,0.0,0.0784,0,0.0,0.1569,0,0.1569,0.0,0.1569,0.0,0.0,0.0
Adair,2NE STUART,0,0.0,0.0,0.3137,0,0.0,0.1569,0,0.2353,0.1569,0.0,0.0,0.0,0.0
Adair,3SW FONTANELLE,0,0.1569,0.0,0.0,0,0.0,0.0,0,0.1569,0.0,0.0,0.3922,0.0,0.0
Adair,4SE ORIENT,0,0.1569,0.0,0.1569,0,0.0,0.1569,0,0.0784,0.0,0.2353,0.0,0.0,0.0
Adair,5GF GREENFIELD,0,0.0,0.0,0.1569,0,0.0,0.3922,0,0.3137,0.0,0.0,0.1569,0.0,0.0
Adams,Adams 1,0,0.0857,0.0,0.1714,0,0.0,0.1714,0,0.1714,0.0,0.0857,0.0,0.0,0.0
Adams,Adams 2,0,0.0857,0.0,0.0857,0,0.0,0.1714,0,0.0857,0.0,0.1714,0.0,0.0,0.0
Adams,Adams 3,0,0.3429,0.0,0.0,0,0.0,0.1714,0,0.1714,0.0,0.0,0.0,0.0,0.0
Adams,Adams 4,0,0.1714,0.0,0.0857,0,0.0,0.1714,0,0.0,0.0,0.1714,0.0,0.0,0.0
Adams,Adams 5,0,0.0857,0.0,0.1714,0,0.0,0.0857,0,0.0857,0.0,0.0,0.0,0.0,0.0
Allamakee,Pct 01 - WL/HV,0,0.0,0.0,0.0778,0,0.0,0.1556,0,0.0778,0.0,0.0,0.0,0.0,0.0
Allamakee,Pct 02 - FC/JF/LL/MK/UP,0,0.0,0.0,0.2333,0,0.0,0.2333,0,0.2333,0.0,0.1556,0.2333,0.0,0.0
Allamakee,Pct 03 - PO/FK,0,0.1556,0.0,0.0778,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Allamakee,Pct 04 - PV City,0,0.1556,0.0,0.2333,0,0.0,0.0,0,0.0778,0.0,0.0,0.1556,0.0,0.0
Allamakee,Pct 05 - LT/PC/WV City,0,0.0,0.0,0.0778,0,0.0,0.0778,0,0.0778,0.0,0.0778,0.0,0.0,0.0
Allamakee,Pct 07 - CN/LF/LS/LS City,0,0.0,0.0,0.7,0,0.0,0.3889,0,0.3111,0.0,0.0,0.0,0.0,0.0
Allamakee,Pct 08 - IA/UC/NA City,0,0.0778,0.0,0.0778,0,0.0,0.0,0,0.0778,0.0778,0.0778,0.0,0.0,0.0
Allamakee,Pct 09 - Waukon 1,0,0.1556,0.0,0.3889,0,0.0,0.1556,0,0.0,0.0,0.0,0.0,0.0,0.0
Allamakee,Pct 10 - Waukon 2,0,0.0,0.0,0.2333,0,0.0,0.2333,0,0.0778,0.0,0.1556,0.0,0.0,0.0
Allamakee,Pct 11 - Waukon 3,0,0.2333,0.0,0.2333,0,0.0,0.1556,0,0.0778,0.0,0.0,0.0,0.0,0.0
Appanoose,Bellair/Lincoln,0,0.16,0.0,0.08,0,0.0,0.08,0,0.0,0.0,0.0,0.0,0.0,0.0
Appanoose,Caldwell Township,0,0.0,0.0,0.08,0,0.0,0.0,0,0.0,0.08,0.0,0.0,0.0,0.0
Appanoose,Centerville Ward 1,0,0.24,0.0,0.56,0,0.0,0.0,0,0.24,0.0,0.0,0.0,0.0,0.0
Appanoose,Centerville Ward 2,0,0.16,0.0,0.32,0,0.0,0.16,0,0.24,0.0,0.0,0.0,0.0,0.0
Appanoose,Centerville Ward 3,0,0.24,0.0,0.32,0,0.0,0.0,0,0.24,0.0,0.0,0.0,0.0,0.0
