,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adair,1NW ADAIR,0,6,0,8,0,0,8,0,9,0,9,0,0,0,0,6,0,8,0,0,8,0,9.0,0,9.0,0,0,0
Adair,2NE STUART,0,6,0,10,0,0,9,0,10,7,0,1,0,0,0,0,0,15,0,0,10,0,10.0,7,0.0,1,0,0
Adair,3SW FONTANELLE,0,9,0,0,0,0,1,0,4,1,4,15,0,0,0,9,0,0,0,0,0,0,7.0,0,0.0,15,0,0
Adair,4SE ORIENT,0,7,0,6,0,0,6,0,6,0,9,0,0,0,0,7,0,6,0,0,6,0,6.0,0,9.0,0,0,0
Adair,5GF GREENFIELD,0,8,0,10,0,0,26,0,16,0,6,12,0,0,0,0,0,12,0,0,32,0,21.0,0,0.0,13,0,0
Adams,Adams 1,0,5,0,7,0,0,5,0,7,0,5,0,0,0,0,5,0,7,0,0,5,0,7.0,0,5.0,0,0,0
Adams,Adams 2,0,4,0,3,0,0,5,0,4,0,5,0,0,0,0,4,0,3,0,0,5,0,4.0,0,5.0,0,0,0
Adams,Adams 3,0,11,0,0,0,0,6,0,5,0,3,0,0,0,0,12,0,0,0,0,7,0,5.0,0,0.0,0,0,0
Adams,Adams 4,0,6,0,3,0,0,4,0,2,0,3,0,0,0,0,6,0,3,0,0,4,0,0.0,0,5.0,0,0,0
Adams,Adams 5,0,4,0,5,0,0,3,0,3,0,0,0,0,0,0,4,0,5,0,0,3,0,3.0,0,0.0,0,0,0
Allamakee,Pct 01 - WL/HV,0,1,0,4,0,0,6,0,5,0,0,0,0,0,0,0,0,4,0,0,7,0,5.0,0,0.0,0,0,0
Allamakee,Pct 02 - FC/JF/LL/MK/UP,0,6,0,11,0,0,13,0,13,8,11,9,0,0,0,0,0,14,0,0,18,0,13.0,0,11.0,13,2,0
Allamakee,Pct 03 - PO/FK,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,0,1.0,0,0.0,0,0,0
Allamakee,Pct 04 - PV City,0,7,0,15,0,0,0,0,6,0,0,10,0,0,0,7,0,15,0,0,0,0,6.0,0,0.0,10,0,0
Allamakee,Pct 05 - LT/PC/WV City,0,2,0,5,0,1,6,0,5,0,4,0,0,0,0,0,0,7,0,0,6,0,5.0,0,5.0,0,0,0
Allamakee,Pct 06 - FV/TL/HF City,0,14,0,13,0,2,4,0,6,0,8,2,0,0,0,17,0,14,0,0,0,0,9.0,0,9.0,0,0,0
Allamakee,Pct 07 - CN/LF/LS/LS City,0,8,0,47,0,0,16,0,16,6,5,3,0,4,0,0,0,52,0,0,30,0,21.0,0,0.0,0,0,0
Allamakee,Pct 08 - IA/UC/NA City,0,6,0,7,0,0,0,0,6,9,9,0,0,0,0,6,0,7,0,0,0,0,6.0,9,9.0,0,0,0
Allamakee,Pct 09 - Waukon 1,0,13,0,21,0,0,9,0,0,0,7,3,0,0,0,13,0,27,0,0,10,0,0.0,0,0.0,0,0,3
Allamakee,Pct 10 - Waukon 2,0,0,0,17,0,0,16,0,9,3,12,4,0,0,0,0,0,19,0,0,17,0,10.0,0,12.0,0,0,0
Allamakee,Pct 11 - Waukon 3,1,8,0,9,0,0,9,0,6,2,0,6,0,0,0,12,0,12,0,0,9,0,7.0,0,0.0,0,0,1
Appanoose,Bellair/Lincoln,0,6,0,3,0,0,2,0,2,0,0,0,0,0,0,6,0,3,0,0,2,0,2.0,0,0.0,0,0,0
Appanoose,Caldwell Township,0,1,0,4,0,0,0,0,2,3,3,0,0,0,0,0,0,7,0,0,0,0,0.0,4,0.0,0,0,2
Appanoose,Centerville Ward 1,0,9,0,25,0,0,5,0,11,0,7,0,0,0,0,14,0,29,0,0,0,0,12.0,0,0.0,0,0,2
Appanoose,Centerville Ward 2,0,9,0,23,0,1,9,0,20,0,3,0,0,0,0,10,0,23,0,0,11,0,21.0,0,0.0,0,0,0
Appanoose,Centerville Ward 3,0,11,0,18,0,0,1,0,12,0,6,0,0,1,0,14,0,21,0,0,0,0,12.0,0,0.0,0,0,1
Appanoose,Johns/Independence,0,10,0,3,0,0,2,0,2,2,6,0,0,0,0,11,0,7,0,0,0,0,0.0,0,7.0,0,0,0
Appanoose,Pleasant/Franklin,0,8,0,10,0,0,0,0,3,0,3,0,0,0,0,8,0,10,0,0,0,0,5.0,0,0.0,0,0,1
Appanoose,Taylor/Chariton,0,7,0,10,0,0,4,0,0,5,3,0,0,0,0,10,0,14,0,0,0,0,0.0,5,0.0,0,0,0
Appanoose,Union / Udell Township,0,11,0,3,0,0,2,0,4,2,2,1,0,1,0,14,0,6,0,0,0,0,4.0,0,0.0,0,0,2
Appanoose,Vermillion/Douglas/Sharon,0,8,0,14,0,0,4,0,2,1,2,0,0,0,0,8,0,15,0,0,8,0,0.0,0,0.0,0,0,0
Appanoose,Walnut,0,0,0,8,0,0,3,0,2,2,0,3,0,0,0,0,0,8,0,0,3,0,0.0,3,0.0,4,0,0
Appanoose,Washington/Wells,0,6,0,1,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,3.0,0,0.0,0,0,0
Audubon,Precinct 1,0,17,0,23,0,0,17,0,17,8,20,9,0,0,0,23,0,31,0,0,18,0,18.0,0,21.0,0,0,0
Audubon,Precinct 2,0,28,0,8,0,0,25,0,14,3,12,0,0,2,0,38,0,0,0,0,37,0,17.0,0,0.0,0,0,0
Benton,Belle Plaine 1,0,8,0,5,0,0,0,0,6,0,6,0,0,0,0,8,0,5,0,0,0,0,6.0,0,6.0,0,0,0
Benton,Belle Plaine 2,0,7,0,5,0,0,0,0,7,0,4,0,0,0,0,7,0,5,0,0,0,0,7.0,0,4.0,0,0,0
Benton,Belle Plaine 3,0,7,0,6,0,0,0,0,7,1,1,1,0,0,0,9,0,7,0,0,0,0,7.0,0,0.0,0,0,0
Benton,Benton-Canton-Shellsburg,0,28,0,23,0,0,7,0,12,4,15,0,0,0,0,31,0,29,0,0,0,0,14.0,0,15.0,0,0,0
Benton,Big Grove-Union-Van Horne,0,7,0,8,0,0,10,0,12,0,7,0,0,0,0,7,0,8,0,0,10,0,12.0,0,7.0,0,0,0
Benton,Bruce-Cedar-Mt Auburn,0,4,0,7,0,0,5,0,4,0,0,0,0,0,0,4,0,7,0,0,5,0,4.0,0,0.0,0,0,0
Benton,Eden-Harrison-Taylor,0,10,0,13,0,0,10,0,7,5,8,0,0,0,0,10,0,15,0,0,10,0,9.0,0,9.0,0,0,0
Benton,Eldorado-Newhall,0,13,0,5,0,0,3,0,10,1,6,2,0,0,0,16,0,8,0,0,0,0,10.0,0,6.0,0,0,0
Benton,Florence-St Clair-Norway,0,19,0,8,0,0,0,0,11,0,3,0,0,3,0,20,0,9,0,0,0,0,14.0,0,0.0,0,0,0
Benton,Fremont-Atkins,0,28,0,22,0,0,9,0,20,4,8,3,0,0,0,28,0,22,0,0,0,0,20.0,0,0.0,0,0,0
Benton,Homer-Monroe-Jackson-Garrison,0,5,0,3,0,0,7,0,1,0,1,0,0,0,0,5,0,3,0,0,8,0,0.0,0,0.0,0,0,0
Benton,Iowa-Leroy-Luzerne-Blairstown,0,12,0,12,0,1,0,0,3,3,3,1,0,0,0,16,0,18,0,0,0,0,0.0,0,0.0,0,0,0
Benton,Kane-Keystone,0,7,0,3,0,0,0,0,6,0,3,3,0,0,0,8,0,0,0,0,0,0,11.0,0,0.0,0,0,0
Benton,Polk-Urbana,0,21,0,22,0,1,13,0,13,3,10,2,0,0,0,25,0,27,0,0,14,0,17.0,0,0.0,0,0,2
Benton,Vinton 1,0,22,0,14,0,0,0,0,9,0,12,1,0,0,0,22,0,14,0,0,0,0,9.0,0,12.0,1,0,0
Benton,Vinton 2,0,8,0,9,0,1,8,0,7,1,6,0,0,0,0,8,0,9,0,0,9,0,8.0,0,6.0,0,0,0
Benton,Vinton 3,0,10,0,18,0,0,8,0,12,0,1,2,1,0,0,11,0,19,0,0,9,0,12.0,0,0.0,0,0,1
Benton,Vinton 4,0,0,0,5,0,0,2,0,3,0,0,0,0,0,0,0,0,16,0,0,5,0,9.0,0,0.0,0,0,0
Benton,Walford,0,10,0,6,0,0,11,0,9,0,0,2,0,1,0,10,0,7,0,0,12,0,10.0,0,0.0,0,0,0
Black Hawk,Barclay Lester Dunkerton,0,11,0,15,0,2,4,0,10,9,6,0,0,2,0,18,0,18,0,0,0,0,13.0,10,0.0,0,0,0
Black Hawk,Bennington,0,0,0,5,0,0,1,0,3,4,0,1,2,0,0,0,0,5,0,0,1,0,3.0,4,0.0,1,2,0
Black Hawk,Big Creek La Porte,1,19,0,20,0,0,11,0,16,12,12,9,0,0,0,19,0,20,0,0,11,0,16.0,12,12.0,9,0,0
Black Hawk,Black Hawk Hudson Lincoln,0,36,0,34,0,0,28,0,17,4,17,8,0,0,0,37,0,37,0,0,34,0,23.0,0,0.0,0,0,0
Black Hawk,CF W1 P1,0,19,0,19,0,0,15,0,26,9,13,0,0,0,0,19,0,25,0,0,20,0,32.0,0,0.0,0,0,0
Black Hawk,CF W1 P2,0,30,0,67,0,0,56,0,98,11,75,16,0,0,0,0,0,77,0,0,76,0,103.0,0,84.0,0,0,0
Black Hawk,CF W1 P3,0,24,0,58,0,2,22,0,141,4,75,23,0,3,0,0,0,90,0,0,0,0,154.0,0,85.0,0,0,0
Black Hawk,CF W2 P1,0,0,0,20,0,0,5,0,37,0,18,8,0,0,0,0,0,23,0,0,0,0,39.0,0,19.0,0,0,7
Black Hawk,CF W2 P2 &amp; CF Twp,0,14,0,72,0,0,44,0,80,9,38,14,0,2,0,0,0,76,0,0,58,0,87.0,0,42.0,0,0,0
Black Hawk,CF W2 P3,1,42,0,63,0,0,67,0,46,0,43,11,0,0,0,42,0,69,0,0,69,0,50.0,0,43.0,0,0,0
Black Hawk,CF W3 P1,0,32,0,54,0,0,51,0,37,0,23,9,0,0,0,33,0,63,0,0,61,0,51.0,0,0.0,0,0,0
Black Hawk,CF W3 P2,0,45,0,63,0,0,54,0,60,3,44,7,0,0,0,46,0,66,0,0,58,0,61.0,0,46.0,0,0,0
Black Hawk,CF W3 P3,0,14,0,35,0,1,18,0,50,1,40,4,0,3,0,0,0,42,0,0,27,0,52.0,0,45.0,0,0,0
Black Hawk,CF W4 P1,0,18,0,63,0,0,36,0,89,0,61,6,0,3,0,0,0,69,0,0,44,0,91.0,0,63.0,0,0,0
Black Hawk,CF W4 P2,0,6,0,40,0,0,21,0,106,1,67,13,0,1,0,0,0,57,0,0,0,0,108.0,0,84.0,0,0,0
Black Hawk,CF W4 P3,0,4,0,70,0,0,8,0,115,1,76,8,0,0,0,0,0,78,0,0,0,0,122.0,0,83.0,0,0,0
Black Hawk,CF W5 P1,0,39,0,51,0,0,49,0,43,9,53,14,0,0,0,42,0,57,0,0,55,0,45.0,0,57.0,0,0,0
Black Hawk,CF W5 P2,0,30,2,31,0,3,19,0,43,5,38,15,0,0,0,41,0,41,0,0,0,0,57.0,0,41.0,0,0,0
Black Hawk,CF W5 P3,0,29,0,39,0,1,14,0,31,7,33,12,0,0,0,38,0,52,0,0,0,0,35.0,0,39.0,0,0,0
Black Hawk,Cedar Orange,0,13,3,14,0,0,0,0,15,3,17,2,0,0,0,16,0,14,0,0,0,0,16.0,0,19.0,0,0,2
Black Hawk,Eagle,0,1,0,3,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0
Black Hawk,Elk Run Heights &amp; Raymond,0,6,0,11,0,0,12,0,16,6,11,0,0,0,0,0,0,13,0,0,19,0,16.0,0,11.0,0,0,0
Black Hawk,Evansdale W1,0,6,0,3,0,0,1,0,10,4,4,0,0,0,0,10,0,0,0,0,0,0,18.0,0,0.0,0,0,0
Black Hawk,Evansdale W2,0,2,0,10,0,0,1,0,7,0,2,0,0,0,0,0,0,11,0,0,0,0,10.0,0,0.0,0,0,0
Black Hawk,Evansdale W3,0,6,0,7,0,0,3,0,0,1,2,1,0,0,0,7,0,10,0,0,3,0,0.0,0,0.0,0,0,0
Black Hawk,Evansdale W4,0,6,0,13,0,0,1,0,6,0,4,4,0,1,0,7,0,15,0,0,0,0,6.0,0,7.0,0,0,0
Black Hawk,Mt Vernon,0,9,0,6,0,0,6,0,7,4,5,0,0,1,0,11,0,9,0,0,7,0,10.0,0,0.0,0,0,0
Black Hawk,Poyner P1 &amp; East Wloo,0,9,0,10,0,1,1,0,10,2,5,3,0,0,0,14,0,12,0,0,0,0,15.0,0,0.0,0,0,0
Black Hawk,Poyner P2 Fox Gilbert Jesup,0,13,0,18,0,0,0,0,12,1,7,7,0,0,0,14,0,21,0,0,0,0,19.0,0,0.0,0,0,0
