County,Precinct Short Name,Delegates to County Convention,Long Name,State Delegate Equivalents,Unplaced County,Unplaced Precinct,caucusaddress,caucuscity,caucussite,caucuszip,congressionaldistrict,countycode,entrytype,precinctname
Adair,01NW,8,1NW ADAIR,0.6274509803921569,,,,,,,,,,
Adair,02NE,11,2NE STUART,0.8627450980392157,,,,,,,,,,
Adair,03SW,9,3SW FONTANELLE,0.7058823529411764,,,,,,,,,,
Adair,04SE,10,4SE ORIENT,0.7843137254901961,,,,,,,,,,
Adair,05GF,13,5GF GREENFIELD,1.0196078431372548,,,,,,,,,,
Adams,AD1,8,Adams 1,0.6857142857142857,,,,,,,,,,
Adams,AD2,7,Adams 2,0.6,,,,,,,,,,
Adams,AD3,8,Adams 3,0.6857142857142857,,,,,,,,,,
Adams,AD4,7,Adams 4,0.6,,,,,,,,,,
Adams,AD5,5,Adams 5,0.4285714285714286,,,,,,,,,,
Allamakee,PCT 1,4,Pct 01 - WL/HV,0.3111111111111111,,,2876 Northview Rd.,Dorechester,Ernest Gavle Residence,52140,4.0,3.0,AUTO,WL/HV
Allamakee,PCT 10,9,Pct 10 - Waukon 2,0.7,,,107 6th St NW,Waukon,Allamakee Community Schools East Elementary,52172,4.0,3.0,AUTO,WK 2 CITY
Allamakee,PCT 11,9,Pct 11 - Waukon 3,0.7,,,107 6th St NW,Waukon,Allamakee Community Schools East Elementary,52172,4.0,3.0,AUTO,WK 3 CITY
Allamakee,PCT 2,14,Pct 02 - FC/JF/LL/MK/UP,1.088888888888889,,,107 6th St NW,Waukon,Allamakee Community Schools East Elementary,52172,4.0,3.0,AUTO,UP/MK/FC/JF/LL
Allamakee,PCT 3,3,Pct 03 - PO/FK,0.2333333333333333,,,312 Post St,Postville,Postville Community Schools Fine Arts Building,52162,4.0,3.0,AUTO,PO/FK
Allamakee,PCT 4,8,Pct 04 - PV City,0.6222222222222222,,,312 Post St,Postville,Postville Community Schools Fine Arts Building,52162,4.0,3.0,AUTO,PV CITY
Allamakee,PCT 5,4,Pct 05 - LT/PC/WV City,0.3111111111111111,,,107 6th St NW,Waukon,Allamakee Community Schools East Elementary,52172,4.0,3.0,AUTO,PC/LT/WV CITY
Allamakee,PCT 6,7,Pct 06 - FV/TL/HF City,0.5444444444444445,,,118 N4th St,Harpers Ferry,American Legion Post 722,52146,4.0,3.0,MANUAL,FV/TL/HF CITY
Allamakee,PCT 7,18,Pct 07 - CN/LF/LS/LS City,1.4,,,515 Main St,Lansing,Lansing City Library (use reardoor),52151,4.0,3.0,MANUAL,LF/CN/LS/LS CITY
Allamakee,PCT 8,5,Pct 08 - IA/UC/NA City,0.3888888888888889,,,136 Elm St. NE,New Albin,New Albin Town House,52160,4.0,3.0,AUTO,UC/IA/NA CITY
Allamakee,PCT 9,9,Pct 09 - Waukon 1,0.7,,,107 6th St NW,Waukon,Allamakee Community Schools East Elementary,52172,4.0,3.0,AUTO,WK 1 CITY
Appanoose,BL,4,Bellair/Lincoln,0.32,,,600 CHSDrive,Centerville,Centerville High School,52544,2.0,4.0,MANUAL,Bellair Lincoln
Appanoose,CV1,13,Centerville Ward 1,1.04,,,600 CHS Drive,Centerville,Centerville High School,52544,2.0,4.0,AUTO,Centerville W1
Appanoose,CV2,11,Centerville Ward 2,0.88,,,600 CHS Drive,Centerville,Centerville High School,52544,2.0,4.0,AUTO,Centerville W2
