,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allamakee,Pct 01 - WL/HV,0,1,0,4,0,0,6,0,5,0,0,0,0,0,0,0,0,4,0,0,7,0,5.0,0,0.0,0,0,0,,false
Allamakee,Pct 02 - FC/JF/LL/MK/UP,0,6,0,11,0,0,13,0,13,8,11,9,0,0,0,0,0,14,0,0,18,0,13.0,0,11.0,13,2,0,,false
Allamakee,Pct 03 - PO/FK,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,0,1.0,0,0.0,0,0,0,,false
Allamakee,Pct 04 - PV City,0,7,0,15,0,0,0,0,6,0,0,10,0,0,0,7,0,15,0,0,0,0,6.0,0,0.0,10,0,0,,false
Allamakee,Pct 05 - LT/PC/WV City,0,2,0,5,0,1,6,0,5,0,4,0,0,0,0,0,0,7,0,0,6,0,5.0,0,5.0,0,0,0,,false
Allamakee,Pct 06 - FV/TL/HF City,0,14,0,13,0,2,4,0,6,0,8,2,0,0,0,17,0,14,0,0,0,0,9.0,0,9.0,0,0,0,,false
Allamakee,Pct 07 - CN/LF/LS/LS City,0,8,0,47,0,0,16,0,16,6,5,3,0,4,0,0,0,52,0,0,30,0,21.0,0,0.0,0,0,0,,false
Allamakee,Pct 08 - IA/UC/NA City,0,6,0,7,0,0,0,0,6,9,9,0,0,0,0,6,0,7,0,0,0,0,6.0,9,9.0,0,0,0,,false
Allamakee,Pct 09 - Waukon 1,0,13,0,21,0,0,9,0,0,0,7,3,0,0,0,13,0,27,0,0,10,0,0.0,0,0.0,0,0,3,,false
Allamakee,Pct 10 - Waukon 2,0,0,0,17,0,0,16,0,9,3,12,4,0,0,0,0,0,19,0,0,17,0,10.0,0,12.0,0,0,0,,false
Allamakee,Pct 11 - Waukon 3,1,8,0,9,0,0,9,0,6,2,0,6,0,0,0,12,0,12,0,0,9,0,7.0,0,0.0,0,0,1,,false
