,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appanoose,Bellair/Lincoln,0,6,0,3,0,0,2,0,2,0,0,0,0,0,0,6,0,3,0,0,2,0,2.0,0,0.0,0,0,0,,false
Appanoose,Caldwell Township,0,1,0,4,0,0,0,0,2,3,3,0,0,0,0,0,0,7,0,0,0,0,0.0,4,0.0,0,0,2,,false
Appanoose,Centerville Ward 1,0,9,0,25,0,0,5,0,11,0,7,0,0,0,0,14,0,29,0,0,0,0,12.0,0,0.0,0,0,2,,false
Appanoose,Centerville Ward 2,0,9,0,23,0,1,9,0,20,0,3,0,0,0,0,10,0,23,0,0,11,0,21.0,0,0.0,0,0,0,,false
Appanoose,Centerville Ward 3,0,11,0,18,0,0,1,0,12,0,6,0,0,1,0,14,0,21,0,0,0,0,12.0,0,0.0,0,0,1,,false
Appanoose,Johns/Independence,0,10,0,3,0,0,2,0,2,2,6,0,0,0,0,11,0,7,0,0,0,0,0.0,0,7.0,0,0,0,,false
Appanoose,Pleasant/Franklin,0,8,0,10,0,0,0,0,3,0,3,0,0,0,0,8,0,10,0,0,0,0,5.0,0,0.0,0,0,1,,false
Appanoose,Taylor/Chariton,0,7,0,10,0,0,4,0,0,5,3,0,0,0,0,10,0,14,0,0,0,0,0.0,5,0.0,0,0,0,,false
Appanoose,Union / Udell Township,0,11,0,3,0,0,2,0,4,2,2,1,0,1,0,14,0,6,0,0,0,0,4.0,0,0.0,0,0,2,,false
Appanoose,Vermillion/Douglas/Sharon,0,8,0,14,0,0,4,0,2,1,2,0,0,0,0,8,0,15,0,0,8,0,0.0,0,0.0,0,0,0,,false
Appanoose,Walnut,0,0,0,8,0,0,3,0,2,2,0,3,0,0,0,0,0,8,0,0,3,0,0.0,3,0.0,4,0,0,,false
Appanoose,Washington/Wells,0,6,0,1,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,3.0,0,0.0,0,0,0,,false
