,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benton,Belle Plaine 1,0,8,0,5,0,0,0,0,6,0,6,0,0,0,0,8,0,5,0,0,0,0,6,0,6,0,0,0,,false
Benton,Belle Plaine 2,0,7,0,5,0,0,0,0,7,0,4,0,0,0,0,7,0,5,0,0,0,0,7,0,4,0,0,0,,false
Benton,Belle Plaine 3,0,7,0,6,0,0,0,0,7,1,1,1,0,0,0,9,0,7,0,0,0,0,7,0,0,0,0,0,,false
Benton,Benton-Canton-Shellsburg,0,28,0,23,0,0,7,0,12,4,15,0,0,0,0,31,0,29,0,0,0,0,14,0,15,0,0,0,,false
Benton,Big Grove-Union-Van Horne,0,7,0,8,0,0,10,0,12,0,7,0,0,0,0,7,0,8,0,0,10,0,12,0,7,0,0,0,,false
Benton,Bruce-Cedar-Mt Auburn,0,4,0,7,0,0,5,0,4,0,0,0,0,0,0,4,0,7,0,0,5,0,4,0,0,0,0,0,,false
Benton,Eden-Harrison-Taylor,0,10,0,13,0,0,10,0,7,5,8,0,0,0,0,10,0,15,0,0,10,0,9,0,9,0,0,0,,false
Benton,Eldorado-Newhall,0,13,0,5,0,0,3,0,10,1,6,2,0,0,0,16,0,8,0,0,0,0,10,0,6,0,0,0,,false
Benton,Florence-St Clair-Norway,0,19,0,8,0,0,0,0,11,0,3,0,0,3,0,20,0,9,0,0,0,0,14,0,0,0,0,0,,false
Benton,Fremont-Atkins,0,28,0,22,0,0,9,0,20,4,8,3,0,0,0,28,0,22,0,0,0,0,20,0,0,0,0,0,,false
Benton,Homer-Monroe-Jackson-Garrison,0,5,0,3,0,0,7,0,1,0,1,0,0,0,0,5,0,3,0,0,8,0,0,0,0,0,0,0,,false
Benton,Iowa-Leroy-Luzerne-Blairstown,0,12,0,12,0,1,0,0,3,3,3,1,0,0,0,16,0,18,0,0,0,0,0,0,0,0,0,0,,false
Benton,Kane-Keystone,0,7,0,3,0,0,0,0,6,0,3,3,0,0,0,8,0,0,0,0,0,0,11,0,0,0,0,0,,false
Benton,Polk-Urbana,0,21,0,22,0,1,13,0,13,3,10,2,0,0,0,25,0,27,0,0,14,0,17,0,0,0,0,2,,false
Benton,Vinton 1,0,22,0,14,0,0,0,0,9,0,12,1,0,0,0,22,0,14,0,0,0,0,9,0,12,1,0,0,,false
Benton,Vinton 2,0,8,0,9,0,1,8,0,7,1,6,0,0,0,0,8,0,9,0,0,9,0,8,0,6,0,0,0,,false
Benton,Vinton 3,0,10,0,18,0,0,8,0,12,0,1,2,1,0,0,11,0,19,0,0,9,0,12,0,0,0,0,1,,false
Benton,Vinton 4,0,0,0,5,0,0,2,0,3,0,0,0,0,0,0,0,0,16,0,0,5,0,9,0,0,0,0,0,,false
Benton,Walford,0,10,0,6,0,0,11,0,9,0,0,2,0,1,0,10,0,7,0,0,12,0,10,0,0,0,0,0,,false
