,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boone,Boone 1st Ward,0,8,0,22,0,0,1,0,41,9,20,8,0,0,0,0,0,39,0,0,0,0,41,0,25,0,0,0,,false
Boone,Boone 2nd Ward,0,24,0,34,0,0,20,0,21,0,23,8,0,0,0,25,0,38,0,0,20,0,22,0,24,1,0,0,,false
Boone,Boone 3rd Ward,0,16,0,44,0,0,20,0,38,0,24,19,0,4,0,0,2,54,0,0,25,0,44,0,29,11,0,0,,false
Boone,Boone 4th Ward,0,22,0,29,0,0,11,0,41,2,25,8,0,1,0,27,0,36,0,0,0,0,47,0,31,0,0,0,,false
Boone,Boone 5th Ward,0,1,0,22,0,0,10,0,22,1,13,3,0,0,0,0,0,23,0,0,11,0,24,0,14,0,0,0,,false
Boone,Madrid 1st Ward,0,2,0,8,0,0,1,0,16,0,8,6,0,0,0,2,0,10,0,0,0,0,20,0,9,0,0,0,,false
Boone,Madrid 2nd Ward,0,4,0,17,0,0,6,0,14,0,3,0,0,1,0,0,0,17,0,0,11,0,17,0,0,0,0,0,,false
Boone,Madrid 3rd Ward,2,2,0,9,0,0,1,0,9,3,10,3,0,0,0,0,0,15,0,0,0,0,10,0,12,0,0,2,,false
Boone,Ogden,0,15,0,36,0,0,8,0,19,0,8,2,0,0,0,20,0,45,0,0,0,0,23,0,0,0,0,0,,false
Boone,Rural Precinct 1,0,10,1,22,0,0,16,0,20,0,22,4,0,0,0,3,0,25,0,0,20,0,21,0,24,2,0,0,,false
Boone,Rural Precinct 2,0,0,0,36,0,0,26,0,18,18,19,2,0,0,0,0,0,37,0,0,26,0,19,18,19,0,0,0,,false
Boone,Rural Precinct 3,1,12,0,20,0,0,4,0,5,0,9,0,0,0,0,12,0,23,0,0,0,0,0,0,16,0,0,0,,false
Boone,Rural Precinct 4,0,9,0,26,0,0,23,0,20,5,26,6,0,0,0,0,0,34,0,0,25,0,25,0,27,0,0,4,,false
Boone,Rural Precinct 5,0,5,0,7,0,0,12,0,3,0,7,0,0,0,0,0,0,9,0,0,13,0,0,0,9,0,0,0,,false
Boone,Rural Precinct 6,0,18,0,31,0,0,19,0,18,0,18,10,0,0,0,18,0,31,0,0,21,0,26,0,18,0,0,0,,false
