,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bremer,CITY OF DENVER/JEFFERSON TWP,0,24,0,37,0,0,28,0,0,7,5,0,17,5,0,25,0,39,0,0,30,0,0,0.0,0,7,22.0,0,,false
Bremer,CITY OF FREDERIKA- FREDERIKA &amp; LEROY TWP,0,5,0,6,0,0,0,0,0,0,2,0,3,0,0,5,0,6,0,0,0,0,0,0.0,2,0,3.0,0,,false
Bremer,CITY OF JANESVILLE/JACKSON TWP,0,11,0,16,0,0,11,0,0,7,3,0,15,1,0,12,0,19,0,0,13,0,0,0.0,0,0,19.0,1,,false
Bremer,CITY OF PLAINFIELD/POLK TWP/DOUGLAS TWP,0,6,0,6,0,0,4,0,0,2,6,4,2,4,0,10,0,11,0,0,0,0,0,0.0,6,7,0.0,0,,false
Bremer,CITY OF READLYN- MAXFIELD &amp; FRANKLIN TWP,0,7,0,11,0,0,7,0,0,6,0,0,6,0,0,7,0,11,0,0,7,0,0,6.0,0,0,6.0,0,,false
Bremer,CITY OF SUMNER/SUMNER TWP/DAYTON TWP,0,19,0,15,0,0,8,0,0,13,0,1,8,2,0,21,0,18,0,0,0,0,0,13.0,0,0,14.0,0,,false
Bremer,CITY OF TRIPOLI/FREMONT,0,17,0,9,0,0,0,0,0,13,2,0,10,4,0,19,0,9,0,0,0,0,0,17.0,0,0,10.0,0,,false
Bremer,LAFAYETTE TWP/WARREN TWPS,0,7,0,15,0,0,8,0,0,0,0,0,6,0,0,7,0,15,0,0,8,0,0,0.0,0,0,6.0,0,,false
Bremer,WAVERLY WARD I/E WASHINGTON TWP,0,26,0,50,0,0,25,0,0,29,2,1,31,0,0,26,0,50,0,0,32,0,0,29.0,0,0,31.0,0,,false
Bremer,WAVERLY WARD II/NE 1/4 SEC 36 WASHINGTON TWP,0,16,0,44,0,0,33,0,0,23,0,0,26,6,0,0,0,49,0,0,38,0,0,25.0,0,0,31.0,0,,false
Bremer,WAVERLY WARD III,0,12,0,57,0,1,14,0,0,43,0,0,42,7,0,0,0,73,0,0,0,2,0,55.0,0,0,46.0,0,,false
Bremer,WAVERLY WARD IV,0,29,0,48,0,0,24,0,0,24,0,1,27,10,0,31,0,51,0,0,27,0,0,25.0,0,0,27.0,0,,false
Bremer,WAVERLY WARD V/W WASHINGTON TWP,0,31,0,55,0,0,34,0,0,22,4,2,54,8,0,32,0,61,0,0,40,0,0,0.0,0,4,73.0,0,,false
