,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buchanan,Aurora,0,20,0,8,0,0,3,0,6,0,1,0,0,0,0,22,0,10,0,0,0,0,6,0,0,0,0,0,,false
Buchanan,Brandon,0,8,0,5,0,0,5,0,6,2,9,0,0,1,0,9,0,0,0,0,10,0,7,0,9,0,0,0,,false
Buchanan,Fairbank,0,17,0,8,0,0,0,0,6,0,7,1,0,0,0,17,0,8,0,0,0,0,6,0,7,0,0,0,,false
Buchanan,Hazleton,0,8,0,5,0,0,11,0,5,0,0,0,0,3,0,9,0,5,0,0,13,0,5,0,0,0,0,0,,false
Buchanan,Independence 1st Ward,0,28,0,26,0,0,18,0,7,2,4,6,0,0,0,30,0,31,0,0,20,0,0,0,0,0,0,0,,false
Buchanan,Independence 2nd Ward,0,19,0,12,0,0,10,0,11,0,0,0,0,3,0,22,0,0,0,0,10,0,11,0,0,0,0,0,,false
Buchanan,Independence 3rd Ward,0,23,0,13,0,0,9,0,10,0,16,2,0,3,0,25,0,15,0,0,0,0,0,0,18,0,0,18,,false
Buchanan,Independence 4th Ward,0,17,0,5,0,0,8,0,9,0,6,3,0,0,0,17,0,0,0,0,9,0,9,0,0,0,1,12,,false
Buchanan,Independence 5th Ward,0,17,0,14,0,0,0,0,10,5,4,0,0,0,0,17,0,14,0,0,0,0,11,9,0,0,0,0,,false
Buchanan,Jesup,0,7,0,33,0,0,14,0,14,0,2,17,0,0,0,5,0,33,0,0,17,0,14,0,1,17,0,0,,false
Buchanan,Middlefield-Newton,0,7,0,6,0,0,6,0,0,0,2,2,0,0,0,7,0,9,0,0,6,0,0,0,0,0,0,0,,false
Buchanan,Perry-Westburg,0,8,0,8,0,0,5,0,4,0,5,1,0,0,0,9,0,8,0,0,5,0,0,0,5,0,0,0,,false
Buchanan,Quasqueton,0,8,0,5,0,1,11,0,9,0,8,12,0,2,0,10,0,0,0,0,15,0,9,0,9,13,0,0,,false
Buchanan,Rowley,0,8,0,12,0,0,6,0,6,0,4,0,0,0,0,8,0,12,0,0,6,0,10,0,0,0,0,0,,false
Buchanan,Winthrop,0,18,0,29,0,0,10,0,5,1,1,0,0,0,0,19,0,31,0,0,10,0,0,0,0,0,0,4,,false
