,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carroll,Arcadia,0,2,0,7,0,0,0,0,0,5,0,5,0,0,0,6,0,7,0,0,0,0,0,6.0,0,0,0.0,0,,false
Carroll,Carroll Ward Four,0,28,0,16,0,0,12,0,0,16,1,0,10,0,0,28,0,22,0,0,14,0,0,19.0,0,0,0.0,0,,false
Carroll,Carroll Ward One,0,38,0,22,0,0,9,0,0,7,0,0,3,2,0,44,0,34,0,0,0,0,0,3.0,0,0,0.0,0,,false
Carroll,Carroll Ward Three &amp;amp; S1/2 Maple River Twp,0,13,0,21,0,0,12,0,0,20,2,0,10,8,0,13,0,22,0,0,21,0,0,29.0,0,0,0.0,0,,false
Carroll,Carroll Ward Two &amp;amp; N1/2 Maple River Twp,0,24,0,34,0,0,21,0,0,11,0,1,17,3,0,24,0,34,0,0,22,0,0,8.0,0,0,21.0,2,,false
Carroll,Eden,0,6,1,7,0,0,5,0,0,1,0,0,0,0,0,7,1,12,0,0,0,0,0,0.0,0,0,0.0,0,,false
Carroll,Ewoldt,0,6,0,7,0,0,7,0,0,4,2,2,11,0,0,6,0,8,0,0,12,0,0,0.0,0,0,13.0,0,,false
Carroll,Glidden-Richland,0,4,0,8,0,0,8,0,0,11,0,1,0,0,0,0,0,10,0,0,10,0,0,11.0,0,1,0.0,0,,false
Carroll,Pleasant Valley-Newton,0,4,0,5,0,0,7,0,0,0,0,0,0,0,0,4,0,5,0,0,7,0,0,0.0,0,0,0.0,0,,false
Carroll,Sheridan-Grant-Jasper,0,10,0,6,0,0,7,0,0,0,0,0,4,0,0,10,0,10,0,0,7,0,0,0.0,0,0,0.0,0,,false
Carroll,Union,0,16,0,13,0,0,12,0,0,11,0,0,11,1,0,16,0,13,0,0,13,0,0,11.0,0,0,11.0,0,,false
Carroll,Washington-Roselle,0,2,0,7,0,0,7,0,0,2,0,0,1,0,0,0,0,11,0,0,8,0,0,0.0,0,0,0.0,0,,false
Carroll,Wheatland-Kniest,0,2,0,8,0,0,6,0,0,4,1,0,3,3,0,0,0,10,0,0,6,0,0,0.0,0,0,6.0,5,,false
