,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD4 Satellite,"Fort Dodge, IA - Fort Dodge Villa Care Center",0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1.0,0,0,0.0,0
CD4 Satellite,"Grundy, IA - Creekside Living",0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0.0,0,0,0.0,0
CD4 Satellite,"Lake Mills, IA - Lake Mills Care Center",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0,0,0.0,0
CD4 Satellite,"Logan, IA - Westmont Care Center",0,1,0,1,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0.0,3,0,0.0,4
CD4 Satellite,"Manson, IA - Good Samaritan Society - Manson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0
CD4 Satellite,"Mason City, IA - Good Shephard Health Center",0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0.0,0,0,1.0,0
CD4 Satellite,"Mason City, IA - Heritage Care and Rehabilitation Center",0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0.0,0,1,0.0,0
CD4 Satellite,"Mason City, IA - Oakwood Care Center &amp; Assisted Living",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0,0,0,0.0,0
CD4 Satellite,"Mason City, IA - The Willows",0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0.0,0,0,0.0,0
CD4 Satellite,"Storm Lake, IA - Better Day Cafe",0,4,0,5,0,0,0,0,0,89,0,0,1,4,0,0,0,0,0,0,0,0,0,93.0,0,0,0.0,0
CD4 Satellite,"Storm Lake, IA - Methodist Manor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0
