,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerro Gordo,Clear Lake - Grant - Union,0,21,0,21,0,1,19,0,13,0,8,3,0,0,0,23,0,27,0,0,21,0,15.0,0,0.0,0,0,0,,false
Cerro Gordo,Clear Lake - Ward 1,0,15,0,22,0,0,23,0,13,7,12,6,0,0,0,15,0,27,0,0,27,0,15.0,0,15.0,0,0,0,,false
Cerro Gordo,Clear Lake - Ward 2,0,21,2,39,0,0,30,0,26,1,12,4,0,0,0,21,0,49,0,0,36,0,27.0,0,0.0,0,0,0,,false
Cerro Gordo,Clear Lake - Ward 3,0,21,0,18,0,0,18,0,25,0,6,5,0,0,0,21,0,19,0,0,23,0,28.0,0,0.0,0,0,0,,false
Cerro Gordo,Falls - Plymouth Pct,0,3,0,7,0,1,4,0,6,1,0,0,0,1,0,0,0,10,0,0,6,0,7.0,0,0.0,0,0,0,,false
Cerro Gordo,Falls - Rock Falls Pct,0,1,0,3,0,0,10,0,4,0,0,0,0,0,0,1,0,3,0,0,10,0,4.0,0,0.0,0,0,0,,false
Cerro Gordo,Geneseo Twp Pct,0,5,0,10,0,0,3,0,7,0,4,2,0,0,0,5,0,15,0,0,0,0,10.0,0,0.0,0,0,1,,false
Cerro Gordo,Grimes - Meservey Pct,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0,0,0.0,0,0,1,,false
Cerro Gordo,Grimes - Thornton Pct,0,6,0,0,0,0,2,0,0,0,1,1,0,0,0,6,0,0,0,0,2,0,0.0,0,1.0,1,0,0,,false
Cerro Gordo,Lake / Lincoln Twps Pct,0,3,0,8,0,0,0,0,4,1,6,0,0,0,0,1,0,9,0,0,0,0,1.0,1,10.0,0,0,0,,false
Cerro Gordo,Lime Creek / Mason N Twps,0,6,0,11,0,0,4,0,5,0,0,2,0,1,0,0,0,17,0,0,9,0,0.0,0,0.0,0,0,3,,false
Cerro Gordo,Mason City W-1 P-1,0,9,0,18,0,0,21,0,21,0,5,13,0,0,0,0,0,19,0,0,32,0,21.0,0,0.0,15,0,0,,false
Cerro Gordo,Mason City W-1 P-2,0,14,0,24,0,0,17,0,21,0,14,11,0,0,0,17,0,37,0,0,20,0,26.0,0,0.0,0,0,1,,false
Cerro Gordo,Mason City W-1 P-3,0,27,0,51,0,0,51,0,16,0,9,2,0,1,0,28,0,57,0,0,53,0,12.0,0,6.0,0,0,1,,false
Cerro Gordo,Mason City W-2 P-1,0,14,0,14,0,0,7,0,28,0,8,7,0,0,0,23,0,23,0,0,0,0,33.0,0,0.0,0,0,0,,false
Cerro Gordo,Mason City W-2 P-2,0,22,5,48,0,0,43,0,13,2,22,13,0,3,0,26,0,54,0,0,47,0,0.0,0,34.0,0,0,0,,false
Cerro Gordo,Mason City W-2 P-3,0,10,0,17,0,0,13,0,26,0,2,4,0,0,0,10,0,17,0,0,13,0,26.0,0,0.0,0,0,0,,false
Cerro Gordo,Mason City W-3 P-1,0,22,0,28,0,2,19,0,34,0,9,8,0,0,0,23,0,31,0,0,22,0,45.0,0,0.0,0,0,1,,false
Cerro Gordo,Mason City W-3 P-2,0,9,0,10,0,0,10,0,23,0,13,9,0,0,0,12,0,18,0,0,1,0,26.0,0,17.0,0,0,0,,false
Cerro Gordo,Mason City W-3 P-3,0,22,0,32,0,0,37,0,27,0,16,10,0,0,0,23,0,35,0,0,49,0,35.0,0,0.0,0,0,0,,false
Cerro Gordo,Mason City W-4 P-1,0,11,0,10,0,0,9,0,15,1,9,1,0,0,0,11,0,10,0,0,9,0,16.0,0,10.0,0,0,0,,false
Cerro Gordo,Mason City W-4 P-2,0,9,0,10,0,0,13,0,18,0,3,4,0,0,0,9,0,12,0,0,16,0,19.0,0,0.0,0,0,0,,false
Cerro Gordo,Mason City W-4 P-3,0,32,0,18,0,2,22,0,20,2,3,7,0,0,0,34,0,19,0,0,25,0,22.0,0,0.0,0,0,0,,false
Cerro Gordo,Mason S / Bath Twps,0,5,0,4,0,0,1,0,1,0,4,1,0,0,0,5,0,5,0,0,0,0,0.0,0,6.0,0,0,0,,false
Cerro Gordo,Mt Vernon - Pl Valley Twps,0,2,0,3,0,0,4,0,3,2,1,0,0,0,0,0,0,8,0,0,4,0,0.0,0,0.0,0,0,3,,false
Cerro Gordo,Portland - Owen - Dougherty,0,9,0,6,0,0,3,0,5,0,8,0,0,0,0,9,0,8,0,0,0,0,0.0,0,12.0,0,0,0,,false
