,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chickasaw,Bradford,0,13,0,16,0,0,11,0,1,1,17,0,0,0,0,13,0,16,0,0,12,0,1.0,0,17.0,0,0,0,,false
Chickasaw,Chickasaw,0,3,0,4,0,0,0,0,5,0,2,0,0,1,0,3,0,7,0,0,0,0,5.0,0,0.0,0,0,0,,false
Chickasaw,City of New Hampton Ward Four,0,19,0,11,0,0,12,0,3,4,5,3,0,0,0,20,0,12,0,0,15,0,0.0,0,9.0,0,0,1,,false
Chickasaw,City of New Hampton Ward One,0,9,1,9,0,0,4,0,3,1,8,1,0,0,0,11,0,12,0,0,0,0,0.0,0,13.0,0,0,0,,false
Chickasaw,City of New Hampton Ward Three,0,8,0,8,0,0,6,0,6,6,4,0,0,4,0,10,0,10,0,0,9,0,6.0,7,0.0,0,0,0,,false
Chickasaw,City of New Hampton Ward Two,0,2,0,6,0,0,0,0,4,4,5,0,0,0,0,0,0,7,0,0,0,0,4.0,4,6.0,0,0,0,,false
Chickasaw,Dayton-Richland,0,5,0,5,0,0,2,0,0,1,2,0,0,4,0,6,0,6,0,0,0,0,0.0,0,0.0,0,0,5,,false
Chickasaw,Deerfield-Washington 2,0,4,0,7,0,0,4,0,0,5,0,0,0,1,0,4,0,7,0,0,4,0,0.0,6,0.0,0,0,0,,false
Chickasaw,Dresden-Fredericksburg,0,8,0,10,0,0,8,0,5,3,6,4,0,0,0,9,0,14,0,0,11,0,0.0,0,10.0,0,0,0,,false
Chickasaw,Jacksonville-Utica,0,1,0,3,0,0,2,0,3,0,3,0,0,0,0,0,0,4,0,0,2,0,3.0,0,3.0,0,0,0,,false
Chickasaw,New Hampton Rural,0,4,0,5,0,0,4,0,3,2,0,0,0,0,0,4,0,7,0,0,4,0,3.0,0,0.0,0,0,0,,false
Chickasaw,Stapleton,0,9,0,16,0,0,0,0,0,0,5,0,0,0,0,9,0,16,0,0,0,0,0.0,0,5.0,0,0,0,,false
Chickasaw,Washington 1 Township,0,0,0,7,0,0,0,0,3,0,4,1,0,0,0,0,0,8,0,0,0,0,3.0,0,4.0,0,0,0,,false
