,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawford,Charter Oak,0,6,0,5,0,0,5,0,0,5,0,0,1,2,0,10,0,0,0,0,12,0,0,0.0,0,0,0.0,2,,false
Crawford,DCAB,0,14,0,8,0,0,6,0,0,5,0,0,0,0,0,14,0,8,0,0,6,0,0,5.0,0,0,0.0,0,,false
Crawford,Denison Ward 1,0,17,0,10,0,0,6,0,0,32,0,0,3,16,0,22,0,13,0,0,0,0,0,33.0,0,0,0.0,16,,false
Crawford,Denison Ward 2-Denison Twp,0,10,0,13,0,0,0,0,0,18,0,0,8,3,0,10,0,13,0,0,0,0,0,18.0,0,0,8.0,3,,false
Crawford,Denison Ward 3-Goodrich Twp,0,27,0,10,0,0,0,0,0,21,0,0,0,4,0,29,0,12,0,0,0,0,0,21.0,0,0,0.0,0,,false
Crawford,Northeast,0,6,0,2,0,1,2,0,0,4,1,3,0,1,0,10,0,0,0,0,4,0,0,6.0,0,0,0.0,0,,false
Crawford,SRK,0,9,0,4,0,0,4,0,0,3,0,0,0,0,0,9,0,7,0,0,4,0,0,0.0,0,0,0.0,0,,false
Crawford,Southeast,0,14,0,0,0,0,6,0,0,2,3,0,8,1,0,16,0,0,0,0,8,0,0,0.0,0,0,9.0,0,,false
