,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,Adams/Hazel Green,0,3,0,7,0,0,1,0,4,3,6,0,0,0,0,0,0,8,0,0,0,0,7,0,9,0,0,0,,false
Delaware,Colony,0,12,0,3,0,0,0,0,1,0,2,0,0,0,0,12,0,3,0,0,0,0,0,0,3,0,0,0,,false
Delaware,Delaware,0,6,0,6,0,0,7,0,1,0,1,0,0,0,0,6,0,6,0,0,9,0,0,0,0,0,0,0,,false
Delaware,Delhi/Delaware Corp,0,9,0,3,0,0,9,0,1,0,0,0,0,0,0,11,0,0,0,0,10,0,1,0,0,0,0,0,,false
Delaware,Honey Creek/Elk,0,2,0,8,0,0,5,0,0,3,2,1,0,0,0,4,0,8,0,0,7,0,0,0,0,0,0,2,,false
Delaware,Manchester Ward 1,0,9,0,12,0,0,7,0,10,0,7,0,0,0,0,9,0,12,0,0,7,0,10,0,7,0,0,0,,false
Delaware,Manchester Ward 2,0,8,0,14,0,0,9,0,4,7,14,0,0,0,0,0,0,26,0,0,13,0,0,0,14,0,0,0,,false
Delaware,Manchester Ward 3,0,15,0,15,0,0,9,0,0,9,10,0,0,0,0,15,0,15,0,0,9,0,0,9,10,0,0,0,,false
Delaware,Milo/Prairie,0,10,0,0,0,0,11,0,6,0,15,0,0,0,0,10,0,0,0,0,11,0,0,0,17,0,0,4,,false
Delaware,Oneida/N Fork/Bremen,0,4,0,13,0,0,10,0,5,4,3,0,0,3,0,0,0,14,0,0,16,0,0,0,7,0,0,0,,false
Delaware,Richland/Coffins Grove,0,12,0,5,0,0,8,0,4,0,7,0,0,0,0,12,0,5,0,0,9,0,1,0,9,0,0,0,,false
Delaware,South Fork/Union,0,11,0,11,0,0,8,0,5,1,12,0,0,0,0,11,0,13,0,0,9,0,0,0,14,0,0,0,,false
