,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickinson,Precinct No. 01,0,7,0,3,0,0,3,0,8,2,6,3,0,0,0,8,0,0,0,0,6,0,9,0,7,0,0,2,,false
Dickinson,Precinct No. 02,0,18,0,13,0,0,9,0,7,1,0,0,0,0,0,19,0,16,0,0,11,0,0,0,0,0,0,2,,false
Dickinson,Precinct No. 03,0,14,0,14,0,0,10,0,8,0,0,0,0,0,0,14,0,14,0,0,10,0,8,0,0,0,0,0,,false
Dickinson,Precinct No. 04,0,2,0,2,0,0,2,0,4,0,2,1,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,,false
Dickinson,Precinct No. 05,0,10,0,26,0,0,1,0,1,1,20,0,0,0,0,11,0,27,0,0,0,0,0,0,20,0,0,0,,false
Dickinson,Precinct No. 06,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0,3,0,0,4,0,0,0,0,0,0,0,,false
Dickinson,Precinct No. 07,0,4,0,0,0,0,6,0,1,0,0,0,0,0,0,4,0,0,0,0,6,0,1,0,0,0,0,0,,false
Dickinson,Precinct No. 08,0,15,0,27,0,0,16,0,24,0,15,0,0,0,0,15,0,27,0,0,16,0,24,0,15,0,0,0,,false
Dickinson,Precinct No. 09,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,,false
Dickinson,Precinct No. 10-City-Wahpeton-W Okoboji,0,14,0,8,0,0,7,0,0,0,7,7,0,0,0,14,0,8,0,0,7,0,0,0,7,7,0,0,,false
Dickinson,Precinct No. 11,0,9,0,14,0,0,17,0,9,3,6,4,0,0,0,10,0,17,0,0,18,0,17,0,0,0,0,0,,false
Dickinson,Precinct No. 12,0,7,0,9,0,0,7,0,6,2,3,1,0,0,0,7,0,14,0,0,7,0,7,0,0,0,0,0,,false
Dickinson,Precinct No. 13,0,10,0,14,0,0,4,0,13,4,7,2,0,0,0,16,0,21,0,0,0,0,17,0,0,0,0,0,,false
Dickinson,Precinct No. 14,0,6,0,6,0,0,5,0,8,0,8,0,0,0,0,7,0,10,0,0,0,0,8,0,8,0,0,0,,false
Dickinson,Precinct No. 15,0,27,0,34,0,0,21,0,18,0,17,0,0,0,0,31,0,37,0,0,26,0,21,0,0,0,0,0,,false
