,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmet,AG-IL-Armstrong,0,2,0,4,0,0,6,0,6,4,0,0,0,0,0,0,0,6,0,0,6,0,6,4,0,0,0,0,,false
Emmet,CN-SL-Gruver,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,,false
Emmet,DM-JC-Ringsted,1,5,0,1,0,0,5,0,3,5,0,0,0,0,0,7,0,0,0,0,7,0,0,6,0,0,0,0,,false
Emmet,EL-LN-Dolliver,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,,false
Emmet,Emmet-Estherville,0,5,0,0,0,0,7,0,0,7,0,0,0,2,0,0,0,0,0,0,11,0,0,8,0,0,0,0,,false
Emmet,Estherville Ward 1,0,7,0,8,0,0,9,0,5,7,1,0,0,0,0,7,0,8,0,0,9,0,6,7,0,0,0,0,,false
Emmet,Estherville Ward 2,0,11,0,7,0,0,3,0,2,0,4,0,0,0,0,11,0,11,0,0,0,0,0,0,5,0,0,0,,false
Emmet,Estherville Ward 3,0,3,0,11,0,0,6,0,17,0,8,5,0,0,0,0,0,19,0,0,0,0,19,0,10,0,0,0,,false
Emmet,Estherville Ward 4,0,0,0,6,0,0,6,0,16,0,6,0,0,0,0,0,0,6,0,0,6,0,16,0,6,0,0,0,,false
Emmet,Estherville Ward 5,0,2,0,4,0,0,1,0,9,0,6,0,0,0,0,0,0,6,0,0,0,0,9,0,6,0,0,0,,false
Emmet,HL-TM-Wallingford,0,3,0,4,0,0,2,0,3,0,1,0,0,2,0,5,0,8,0,0,0,0,2,0,0,0,0,0,,false
