,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fayette,AUBURN TWP,0,5,0,1,0,0,2,0,1,0,2,0,0,0,0,5,0,0,0,0,3,0,0,0,3,0,0,0,,false
Fayette,BANKS-FREMONT TWP,0,6,0,10,0,0,2,0,0,1,4,2,0,0,0,10,0,11,0,0,0,0,0,0,4,0,0,0,,false
Fayette,BETHEL-WINDSOR TWP,0,5,0,10,0,0,0,0,5,0,8,0,0,0,0,6,0,12,0,0,0,0,8,0,9,0,0,0,,false
Fayette,CENTER TWP,0,2,0,3,0,0,1,0,2,0,1,0,0,0,0,2,0,3,0,0,1,0,2,0,1,0,0,0,,false
Fayette,CLERMONT TWP,0,5,0,8,0,0,5,0,5,0,3,0,0,1,0,5,0,8,0,0,6,0,7,0,0,0,0,0,,false
Fayette,DOVER TWP,0,0,0,2,0,0,3,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,2,,false
Fayette,EDEN TWP,0,2,0,2,0,0,0,0,8,0,1,0,0,2,0,6,0,0,0,0,0,0,9,0,0,0,0,0,,false
Fayette,FAIRBANK INC,0,7,0,4,0,0,3,0,2,0,2,3,0,0,0,11,0,9,0,0,0,0,0,0,0,0,0,1,,false
Fayette,FAIRFIELD-PUTNAM TWP,0,9,0,3,0,0,3,0,1,3,0,0,0,0,0,9,0,3,0,0,3,0,0,3,0,0,0,0,,false
Fayette,HARLAN TWP,0,13,0,26,0,0,6,0,1,0,2,0,0,0,0,16,0,31,0,0,0,0,0,0,0,0,0,1,,false
Fayette,ILLYRIA TWP,0,1,0,14,0,0,4,0,2,0,1,0,0,0,0,0,0,15,0,0,7,0,0,0,0,0,0,0,,false
Fayette,JEFFERSON TWP,0,6,0,12,0,0,2,0,4,0,2,0,0,0,0,7,0,12,0,0,0,0,0,0,7,0,0,0,,false
Fayette,OELWEIN - WARD 1,0,18,0,22,0,0,3,0,6,5,13,2,0,0,0,20,0,30,0,0,0,0,0,0,20,0,0,0,,false
Fayette,OELWEIN - WARD 2,0,9,0,13,0,0,0,0,6,3,2,3,0,0,0,10,0,17,0,0,0,0,7,0,0,0,0,2,,false
Fayette,OELWEIN - WARD 3,0,12,0,14,0,0,4,0,10,3,6,3,0,0,0,16,0,18,0,0,0,0,10,0,8,0,0,0,,false
Fayette,OELWEIN - WARD 4,0,26,0,30,0,2,13,0,15,2,14,2,0,2,0,29,0,40,0,0,17,0,18,0,0,0,0,0,,false
Fayette,ORAN TWP,0,3,0,3,0,0,2,0,0,4,3,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,,false
Fayette,PLEASANT VALLEY TWP,0,3,0,13,0,0,14,0,7,0,2,1,0,0,0,0,0,14,0,0,17,0,8,0,0,0,0,1,,false
Fayette,SCOTT TWP,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,,false
Fayette,SMITHFIELD TWP,0,1,0,2,0,0,4,0,0,1,0,0,0,0,0,1,0,2,0,0,4,0,0,1,0,0,0,0,,false
Fayette,UNION TWP,0,1,0,5,0,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,false
Fayette,WEST UNION - WARD 1,0,8,0,11,0,0,7,0,2,0,4,6,0,1,0,8,0,11,0,0,7,0,0,0,6,7,0,0,,false
Fayette,WEST UNION - WARD 2,0,3,0,7,0,0,4,0,4,0,1,0,0,0,0,4,0,10,0,0,0,0,5,0,0,0,0,0,,false
Fayette,WEST UNION - WARD 3,0,7,0,10,0,0,0,0,7,0,5,2,0,0,0,7,0,10,0,0,0,0,7,0,6,0,0,0,,false
Fayette,WESTFIELD TWP,0,6,0,18,0,0,11,0,15,0,13,4,0,0,0,0,0,20,0,0,17,0,17,0,13,0,0,0,,false
