,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin,GENEVA/ INGHAM/ EAST MOTT,0,4,0,0,0,0,0,0,0,1,0,0,6,3,0,4,0,0,0,0,0,0,0,0.0,0,0,7.0,3,,false
Franklin,GRANT/ OSCEOLA,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,1.0,0,0,0.0,0,,false
Franklin,HAMILTON/ LEE/ REEVE,0,2,0,7,0,0,3,0,0,7,0,0,3,0,0,4,0,8,0,0,0,0,0,10.0,0,0,0.0,0,,false
Franklin,HAMPTON 1,0,5,0,4,0,0,1,0,0,1,2,0,1,0,0,6,0,5,0,0,0,0,0,0.0,3,0,0.0,0,,false
Franklin,HAMPTON 2,0,6,0,12,0,0,8,0,0,7,1,0,3,0,0,7,0,14,0,0,9,0,0,7.0,0,0,0.0,0,,false
Franklin,HAMPTON 3,0,1,0,10,0,0,0,0,0,16,0,0,5,0,0,0,0,10,0,0,0,0,0,16.0,0,0,6.0,0,,false
Franklin,HAMPTON 4,0,10,0,8,0,0,2,0,0,12,0,0,6,0,0,12,0,8,0,0,0,0,0,12.0,0,0,6.0,0,,false
Franklin,MARION,0,3,0,6,0,0,0,0,0,3,0,0,0,0,0,3,0,6,0,0,0,0,0,3.0,0,0,0.0,0,,false
Franklin,OAKLAND/ MORGAN,0,2,0,1,0,0,5,0,0,5,0,0,0,2,0,0,0,0,0,0,8,0,0,7.0,0,0,0.0,0,,false
Franklin,RICHLAND/ ROSS/ WEST FORK,0,5,0,9,0,0,12,0,0,7,2,0,3,2,0,0,0,9,0,0,18,0,0,11.0,0,0,0.0,0,,false
Franklin,WEST MOTT TOWNSHIP,0,4,0,4,0,0,2,0,0,3,2,0,0,0,0,5,0,5,0,0,0,0,0,5.0,0,0,0.0,0,,false
Franklin,WISNER/ SCOTT,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0.0,0,0,0.0,0,,false
