,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,PCT 1 CASS FREEDOM FREMONT INDEPENDENCE,0,10,1,7,0,0,8,0,0,0,10,0,0,2,0,10,0,8,0,0,10,0,0,0,10,0,0,0,,false
Hamilton,PCT 2 BLAIRSBURG LIBERTY WILLIAMS,0,6,0,5,0,0,2,0,3,0,12,0,0,1,0,8,0,6,0,0,0,0,0,0,13,0,0,0,,false
Hamilton,PCT 3 CLEAR LAKE HAMILTON MARION WEBSTER,0,13,0,20,0,0,8,0,13,2,14,0,0,1,0,14,0,27,0,0,0,0,14,0,16,0,0,0,,false
Hamilton,PCT 4 LYON ELLSWORTH,0,13,0,14,0,0,14,0,26,0,14,0,0,0,0,13,0,14,0,0,14,0,26,0,14,0,0,0,,false
Hamilton,PCT 5 LINCOLN ROSE GROVE SCOTT,0,1,0,8,0,0,2,0,5,0,8,1,0,0,0,1,0,11,0,0,0,0,5,0,8,0,0,0,,false
Hamilton,Webster City 1,0,20,0,39,0,0,20,0,18,1,20,0,0,2,0,21,0,40,0,0,20,0,18,0,21,0,0,0,,false
Hamilton,Webster City 2,0,20,0,38,0,0,17,0,18,4,16,3,1,0,0,21,0,39,0,0,19,0,19,0,19,0,0,0,,false
Hamilton,Webster City 3,0,16,0,16,0,0,6,0,8,5,9,0,0,2,0,19,0,17,0,0,11,0,13,0,0,0,0,2,,false
