,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hancock,Precinct 01,0,10,0,11,0,0,17,0,8,0,1,5,0,0,0,11,0,12,0,0,19,0,10.0,0,0.0,0,0,0,,false
Hancock,Precinct 02,0,0,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,0,0.0,0,3.0,0,0,0,,false
Hancock,Precinct 03,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0,3,0,4,0,0,0,0,0.0,0,0.0,0,0,0,,false
Hancock,Precinct 04,0,8,0,17,0,0,12,0,4,0,4,0,0,0,0,8,0,20,0,0,14,0,0.0,0,0.0,0,0,0,,false
Hancock,Precinct 05,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0.0,0,0,0,,false
Hancock,Precinct 06,0,14,0,24,0,0,20,0,20,0,8,0,0,0,0,15,0,26,0,0,25,0,20.0,0,0.0,0,0,0,,false
Hancock,Precinct 07,0,2,0,4,0,0,4,0,8,2,4,1,0,0,0,0,0,7,0,0,4,0,8.0,0,5.0,0,0,1,,false
Hancock,Precinct 08,0,0,0,8,0,0,0,0,0,0,5,2,0,0,0,0,0,8,0,0,0,0,0.0,0,5.0,0,0,0,,false
Hancock,Precinct 09,0,2,0,1,0,0,8,0,4,0,4,2,0,0,0,4,0,0,0,0,8,0,4.0,0,5.0,0,0,0,,false
Hancock,Precinct 10,0,0,0,4,0,0,0,0,1,0,1,0,2,0,0,0,0,4,0,0,0,0,2.0,0,2.0,0,0,0,,false
