,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howard,Afton/Howard/Paris,0,6,0,7,0,0,0,0,5,4,0,2,0,0,0,6,0,7,0,0,0,0,5.0,4,0.0,0,0,0,,false
Howard,Albion/Forest City,0,5,0,6,0,0,0,0,9,0,1,5,0,0,0,6,0,6,0,0,0,0,9.0,0,0.0,5,0,0,,false
Howard,Cresco 1 A,0,4,0,6,0,0,9,0,0,0,4,6,0,0,0,0,0,12,0,0,13,0,0.0,0,2.0,2,0,0,,false
Howard,Cresco 2,0,11,0,11,0,0,8,0,14,0,8,7,0,0,0,15,0,13,0,0,0,0,18.0,0,13.0,0,0,0,,false
Howard,Cresco 3,0,0,0,19,0,0,11,0,11,0,6,8,0,0,0,0,0,20,0,0,11,0,12.0,0,0.0,12,0,0,,false
Howard,Jamestown/Oakdale,0,1,0,5,0,0,4,0,5,0,1,1,0,0,0,0,0,7,0,0,0,0,5.0,0,0.0,0,0,0,,false
Howard,New Oregon,0,1,0,4,0,0,6,0,0,0,2,2,0,0,0,0,0,5,0,0,10,0,0.0,0,0.0,0,0,0,,false
Howard,Saratoga/Howard Ctr/Chest,0,4,0,4,0,0,1,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0.0,0,0.0,5,0,0,,false
Howard,Vernon Springs,0,5,0,12,0,0,5,0,2,0,6,2,0,0,0,6,0,12,0,0,5,0,0.0,0,6.0,0,0,0,,false
