,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,Dayton/English I,0,7,0,4,0,1,7,0,1,0,4,0,0,0,0,7,0,0,0,1,11,0,1,0,4,0,0,0,,false
Iowa,English II,0,15,0,14,0,0,9,0,7,0,10,1,0,0,0,15,0,19,0,0,9,0,2,0,11,0,0,0,,false
Iowa,Fillmore/Greene,0,3,0,12,0,1,8,0,18,2,12,1,0,0,0,2,0,12,0,0,10,0,20,0,13,0,0,0,,false
Iowa,Hartford I/Sumner,0,5,0,0,0,0,2,0,3,1,3,1,0,0,0,7,0,0,0,0,0,0,4,0,4,0,0,0,,false
Iowa,Hartford II/Lincoln,0,8,0,13,0,0,4,0,5,0,6,3,0,0,0,8,0,18,0,0,0,0,6,0,6,0,0,0,,false
Iowa,Hilton/Washington,0,12,1,11,0,0,6,0,15,1,12,6,0,1,0,13,0,18,0,0,0,0,17,0,16,0,0,0,,false
Iowa,Honey Creek/Marengo Rural,0,4,0,5,0,0,0,0,2,2,3,0,0,0,0,6,0,5,0,0,0,0,0,0,5,0,0,0,,false
Iowa,Lenox/Iowa,0,25,0,33,0,0,14,0,46,9,35,0,0,0,0,28,0,40,0,0,0,0,49,0,42,0,0,0,,false
Iowa,Marengo City,0,15,0,14,0,0,7,0,30,2,16,2,0,0,0,15,0,14,0,0,0,0,30,0,16,0,0,0,,false
Iowa,Pilot/Troy/York,0,1,0,9,0,0,7,0,7,1,9,1,0,0,0,0,0,9,0,0,8,0,8,0,10,0,0,0,,false
Iowa,Williamsburg,0,27,0,30,0,0,12,0,34,2,35,6,0,0,0,30,0,36,0,0,0,0,36,0,43,0,0,1,,false
