,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasper,Clear Creek/Poweshiek,0,14,0,23,0,0,13,0,17,0,13,0,0,0,0,14,0,23,0,0,13,0,17,0,13,0,0,0,,false
Jasper,Colfax Ward 1,0,4,0,15,0,0,0,0,7,4,1,7,0,0,0,0,0,16,0,0,0,0,8,6,0,8,0,0,,false
Jasper,Colfax Ward 2,1,5,0,17,0,0,0,0,13,2,9,1,0,1,0,10,0,18,0,0,0,0,13,0,9,0,0,0,,false
Jasper,Colfax Ward 3,0,2,0,4,0,0,0,0,4,0,2,3,0,1,0,0,0,6,0,0,0,0,5,0,0,5,0,0,,false
Jasper,Des Moines,0,8,0,13,0,0,7,0,15,0,18,3,1,1,0,11,0,19,0,0,0,0,16,0,18,0,0,0,,false
Jasper,Elk Creek/Lynngrove,0,6,0,10,0,0,5,0,3,0,7,3,0,0,0,6,0,11,0,0,6,0,2,0,9,0,0,0,,false
Jasper,Fairview,0,28,0,20,0,2,14,0,15,0,2,4,0,0,0,28,0,20,0,0,17,0,19,0,0,0,0,1,,false
Jasper,HG/K/RC/BV/RL,0,25,0,33,0,0,22,0,24,5,22,5,0,0,0,25,0,38,0,0,24,0,26,0,23,0,0,0,,false
Jasper,Indep/Malaka/Mariposa,0,19,0,32,0,0,13,0,16,0,12,9,0,0,0,27,0,39,0,0,0,0,17,0,18,0,0,0,,false
Jasper,Mound Prairie/Washington,0,6,3,18,0,0,6,0,7,8,11,4,0,0,0,0,0,27,0,0,0,0,0,11,14,0,0,0,,false
Jasper,Newton 1-1,0,13,0,25,0,0,9,0,16,4,6,1,0,0,0,15,0,27,0,0,14,0,18,0,0,0,0,0,,false
Jasper,Newton 1-2,0,10,0,14,0,0,4,0,16,5,8,0,0,0,0,11,0,18,0,0,0,0,16,0,10,0,0,1,,false
Jasper,Newton 2-1,0,22,0,22,0,2,7,0,28,1,16,2,0,2,0,26,0,22,0,0,3,0,31,0,18,0,0,0,,false
Jasper,Newton 2-2,0,19,0,40,0,0,8,0,27,2,27,2,0,0,0,19,0,43,0,0,0,0,29,0,31,0,0,0,,false
Jasper,Newton 3-1,0,18,0,24,0,0,8,0,34,4,12,2,0,1,0,27,0,33,0,0,0,0,39,0,0,0,0,4,,false
Jasper,Newton 3-2,0,10,0,26,0,0,4,0,10,3,7,5,0,0,0,10,0,28,0,0,4,0,11,0,0,10,0,0,,false
Jasper,Newton 4-1,0,25,0,42,0,0,27,0,29,2,22,5,4,5,0,28,0,45,0,0,32,0,29,0,25,0,0,0,,false
Jasper,Newton 4-2,0,5,1,20,0,1,3,0,18,8,12,6,0,0,0,0,0,23,0,0,0,0,21,0,12,12,0,0,,false
Jasper,Newton/Sherman,0,19,0,37,0,0,10,0,19,4,16,6,0,0,0,23,0,45,0,0,0,0,25,0,20,0,0,0,,false
Jasper,Palo Alto,0,7,0,14,0,2,2,0,1,0,7,9,0,0,0,8,0,16,0,0,0,0,0,0,8,10,0,0,,false
