,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson,Blackhawk-Polk-Packwood,0,5,1,2,0,0,0,0,0,15,3,0,7,0,0,4,0,0,0,0,0,2,0,18.0,0,0,9.0,0,,false
Jefferson,Buchanan Township,0,0,0,12,0,1,0,0,0,24,2,1,12,0,0,0,0,13,0,0,0,0,0,24.0,0,2,13.0,0,,false
Jefferson,Center-Cedar-Maharishi Vedic City,0,35,0,33,0,7,11,0,0,101,0,2,69,12,0,0,0,43,0,0,0,0,0,114.0,0,0,85.0,0,,false
Jefferson,Des Moines-Liberty-Libertyville,0,1,0,5,0,0,4,0,0,4,0,0,2,1,0,1,0,11,0,0,0,0,0,5.0,0,0,0.0,0,,false
Jefferson,Fairfield 1st Ward,0,36,0,31,0,1,28,0,0,105,0,0,69,19,0,50,0,0,0,0,0,0,0,125.0,0,0,98.0,0,,false
Jefferson,Fairfield 2nd Ward,0,41,6,28,0,0,32,0,0,200,21,1,85,37,0,0,0,0,0,0,85,0,0,218.0,0,0,112.0,0,,false
Jefferson,Fairfield 3rd Ward,0,1,0,4,0,1,0,0,0,53,0,0,15,4,0,0,0,0,0,0,0,0,0,57.0,0,2,19.0,0,,false
Jefferson,Fairfield 4th Ward,0,22,1,34,0,2,18,0,0,175,2,0,49,36,0,0,0,61,0,0,0,0,0,187.0,0,0,70.0,0,,false
Jefferson,Fairfield 5th Ward,0,22,0,27,0,0,8,0,0,64,0,0,45,12,0,0,0,40,0,0,0,0,0,67.0,0,0,54.0,0,,false
Jefferson,Lockridge-Round Prairie-Walnut-Lockridge City-Coppock,0,4,0,6,0,0,3,0,0,5,3,0,2,1,0,9,0,7,0,0,0,0,0,6.0,0,0,0.0,0,,false
Jefferson,Locust Grove-Batavia,0,6,0,2,0,0,0,0,0,9,0,0,0,0,0,6,0,2,0,0,0,0,0,9.0,0,0,0.0,0,,false
Jefferson,Penn-Pleasant Plain,0,9,0,2,0,0,1,0,0,5,0,1,3,0,0,9,0,2,0,0,1,0,0,5.0,0,1,3.0,0,,false
