,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson,BIG GROVE TOWNSHIP,1,26,2,35,0,0,34,0,0,23,4,0,39,3,0,29,0,0,0,0,39,0,0,0.0,0,0,0.0,0,,false
Johnson,CEDAR TOWNSHIP,1,5,0,12,0,0,15,0,0,20,0,0,12,0,0,3,0,12,0,0,22,0,0,28.0,0,0,0.0,0,,false
Johnson,CLEAR CREEK/TIFFIN,0,52,0,79,0,0,26,0,0,86,1,1,67,18,0,58,0,90,0,0,0,0,0,95.0,0,6,81.0,0,,false
Johnson,CORALVILLE 01,0,26,0,67,0,1,37,0,0,208,0,5,150,35,0,0,0,100,0,0,0,0,0,224.0,0,36,169.0,0,,false
Johnson,CORALVILLE 02,0,64,1,80,0,3,88,0,0,93,5,2,103,30,0,70,0,87,0,0,94,0,0,104.0,0,0,111.0,0,,false
Johnson,CORALVILLE 03,0,34,0,47,0,0,33,0,0,48,4,0,45,17,0,35,0,50,0,0,43,0,0,50.0,0,4,46.0,0,,false
Johnson,CORALVILLE 04,0,26,0,51,0,1,18,2,0,109,10,0,76,16,0,0,0,66,0,0,0,0,0,115.0,0,0,102.0,0,,false
Johnson,CORALVILLE 05,0,8,0,46,0,0,29,0,0,138,3,2,83,17,0,0,0,67,0,0,0,0,0,140.0,0,0,99.0,0,,false
Johnson,CORALVILLE 06,0,81,0,121,0,0,99,0,0,86,0,0,127,24,0,81,0,126,0,0,99,0,0,86.0,0,19,127.0,0,,false
Johnson,CORALVILLE 07,0,56,0,78,0,0,64,0,0,80,0,0,116,29,0,33,0,95,0,0,74,0,0,85.0,0,0,123.0,0,,false
Johnson,FREMONT-LINCOLN (INCLUDES,0,8,0,22,0,0,18,0,0,38,7,0,18,2,0,0,0,25,0,0,22,0,0,38.0,0,4,24.0,0,,false
