,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jones,ANN-ANAMOSA NORTH/CASS,0,12,0,15,0,1,11,0,13,1,20,2,0,0,0,14,0,24,0,0,0,0,16,0,21,0,0,0,,false
Jones,ANS-ANAMOSA SOUTH/JACKSON,0,25,0,31,0,0,9,0,28,5,15,4,0,2,0,29,0,41,0,0,0,0,28,0,18,0,0,0,,false
Jones,CGLW-CASTLE GRV/LOV/WAYN,0,20,0,12,0,0,11,0,13,4,9,2,0,0,0,23,0,18,0,0,14,0,14,0,0,0,0,0,,false
Jones,FV-FAIRVIEW,0,11,0,19,0,0,14,0,5,4,13,2,0,1,0,11,0,21,0,0,20,0,0,0,16,0,0,1,,false
Jones,GF-GREENFIELD,0,2,0,5,0,0,7,0,5,0,0,0,0,0,0,0,0,5,0,0,9,0,5,0,0,0,0,0,,false
Jones,MN1-MONTICELLO 1,0,0,0,7,0,2,6,0,8,0,1,0,0,0,0,0,0,7,0,0,6,0,8,0,0,0,0,3,,false
Jones,MN2-MONTICELLO 2,0,11,0,4,0,0,10,0,11,0,9,0,0,0,0,12,0,0,0,0,11,0,12,0,10,0,0,0,,false
Jones,MN3-MONTICELLO 3,0,6,0,6,0,0,6,0,13,0,4,0,0,0,0,6,0,9,0,0,6,0,14,0,0,0,0,0,,false
Jones,MN4-MONTICELLO 4,0,12,0,8,0,0,6,0,7,0,0,3,0,0,0,12,0,10,0,0,7,0,7,0,0,0,0,0,,false
Jones,OX-OXFORD,0,6,0,3,0,0,3,0,1,0,4,0,0,0,0,9,0,0,0,0,7,0,0,0,1,0,0,0,,false
Jones,RLWS-RICHLAND WASHINGTON,0,5,0,17,0,3,4,0,7,0,1,0,0,0,0,0,0,18,0,0,8,0,11,0,0,0,0,0,,false
Jones,ROHA-ROME/HALE,0,6,0,10,0,0,0,0,8,0,0,0,0,0,0,6,0,10,0,0,0,0,8,0,0,0,0,0,,false
Jones,SGMC-SC GRV/MADISON/CLAY,0,4,0,6,0,0,7,0,9,0,2,0,0,0,0,5,0,6,0,0,7,0,10,0,0,0,0,0,,false
Jones,WY-WYOMING,0,5,0,3,0,0,5,0,1,0,1,0,0,0,0,6,0,4,0,0,5,0,0,0,0,0,0,0,,false
