,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kossuth,AL1,0,13,0,10,0,0,10,0,10,0,8,0,0,0,0,13,0,10,0,0,10,0,10,0,8,0,0,0,,false
Kossuth,AL2,0,25,0,18,0,0,13,0,3,0,4,0,0,0,0,25,0,19,0,0,16,0,0,0,0,0,0,0,,false
Kossuth,AL3,0,12,0,14,0,0,8,0,10,0,8,0,0,0,0,12,0,14,0,0,8,0,10,0,8,0,0,0,,false
Kossuth,AL4,0,9,1,18,0,0,9,0,4,2,0,3,0,1,0,13,0,21,0,0,13,0,0,0,0,0,0,0,,false
Kossuth,BF- PT,0,6,0,13,0,0,3,0,2,0,0,0,0,0,0,8,0,15,0,0,0,0,0,0,0,0,0,0,,false
Kossuth,BT- FT- UN,0,9,0,10,0,0,8,0,10,2,0,0,0,0,0,10,0,10,0,0,9,0,10,0,0,0,0,0,,false
Kossuth,CR 1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,false
Kossuth,CR 2,0,6,0,5,0,0,2,0,0,0,2,0,0,0,0,6,0,5,0,0,4,0,0,0,0,0,0,0,,false
Kossuth,CR- IV- RV,1,16,0,13,0,0,6,0,2,2,1,0,0,0,0,16,0,16,0,0,9,0,0,0,0,0,0,0,,false
Kossuth,EG- GT- HS- SW,0,2,0,5,0,0,2,0,0,0,1,0,0,0,0,2,0,6,0,0,2,0,0,0,0,0,0,0,,false
Kossuth,GF- WM,0,4,0,4,0,0,3,0,1,2,0,0,0,1,0,4,0,8,0,0,3,0,0,0,0,0,0,0,,false
Kossuth,GM- RM,0,8,0,5,0,0,6,0,3,0,4,0,0,0,0,8,0,6,0,0,6,0,0,0,5,0,0,0,,false
Kossuth,GW- SN,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,false
Kossuth,HB- LY- LN- SF,0,0,0,3,0,0,0,0,3,0,2,1,0,0,0,0,0,4,0,0,0,0,3,0,2,0,0,0,,false
Kossuth,IV- PC,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,,false
Kossuth,LC,0,2,0,3,0,0,0,0,2,0,0,0,0,1,0,2,0,3,0,0,0,0,2,0,0,0,0,1,,false
Kossuth,LV- SM,0,0,0,6,0,0,7,0,1,0,1,0,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,,false
Kossuth,PC,0,1,0,4,0,0,3,0,0,2,1,0,0,0,0,1,0,4,0,0,3,0,0,2,1,0,0,0,,false
Kossuth,PR- WL,0,3,0,3,0,0,3,0,1,5,2,0,0,0,0,3,0,3,0,0,3,0,0,5,3,0,0,0,,false
Kossuth,UN,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,,false
