,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linn,Bertram,0,51,0,51,0,0,52,0,45,14,55,16,0,3,0,54,0,69,0,0,56,0,50.0,0,57.0,0,0,0,,false
Linn,Boulder,0,12,0,0,0,0,0,0,0,0,9,0,0,1,0,12,0,0,0,0,0,0,0.0,0,9.0,0,0,1,,false
Linn,Brown,1,18,0,18,0,0,20,0,19,3,11,0,0,0,1,0,0,22,0,0,26,0,22.0,0,0.0,0,0,0,,false
Linn,Buffalo,0,11,0,1,0,0,0,0,0,0,9,1,0,0,0,11,0,1,0,0,0,0,0.0,0,9.0,1,0,0,,false
Linn,Cedar Rapids 01,0,43,1,47,0,2,13,0,59,0,29,8,0,0,0,49,0,57,0,0,0,0,60.0,0,36.0,0,0,0,,false
Linn,Cedar Rapids 02,0,38,0,22,0,1,4,0,50,4,34,8,0,1,0,39,0,29,0,0,0,0,52.0,0,41.0,0,0,1,,false
Linn,Cedar Rapids 03,3,25,0,41,0,0,32,0,40,1,56,8,1,0,0,0,0,56,0,0,42,0,44.0,0,64.0,0,0,0,,false
Linn,Cedar Rapids 04,0,40,0,33,0,0,41,0,50,0,43,11,0,0,0,42,0,40,0,0,42,0,50.0,0,44.0,0,0,0,,false
Linn,Cedar Rapids 05,0,33,0,41,0,0,38,0,61,0,50,12,0,0,0,0,0,45,0,0,51,0,70.0,0,60.0,0,0,0,,false
Linn,Cedar Rapids 06,0,29,0,53,0,0,36,0,49,1,42,19,0,0,0,0,0,65,0,0,55,0,60.0,0,47.0,0,0,0,,false
Linn,Cedar Rapids 07,1,28,0,37,0,1,8,0,42,0,39,4,0,0,0,29,0,41,0,0,0,0,48.0,0,39.0,0,0,0,,false
Linn,Cedar Rapids 08,0,20,0,16,0,1,4,0,45,7,25,10,0,0,0,27,0,21,0,0,0,0,46.0,0,28.0,0,6,0,,false
Linn,Cedar Rapids 09,0,15,0,21,0,1,11,0,59,3,30,14,0,0,0,0,0,49,0,0,0,0,64.0,0,32.0,0,0,9,,false
Linn,Cedar Rapids 10,0,45,0,50,0,0,65,0,63,0,57,1,0,0,0,45,0,51,0,0,65,0,63.0,0,57.0,0,0,0,,false
Linn,Cedar Rapids 11,0,62,0,59,0,1,64,0,36,4,48,21,0,0,0,68,0,77,0,0,74,0,0.0,0,68.0,0,0,0,,false
Linn,Cedar Rapids 12,1,76,5,65,0,0,75,0,83,4,60,4,2,5,0,84,0,67,0,0,84,0,86.0,0,67.0,0,0,7,,false
Linn,Cedar Rapids 13,0,15,0,43,0,0,20,0,92,2,53,11,0,2,0,13,0,58,0,0,0,0,99.0,0,65.0,1,0,2,,false
Linn,Cedar Rapids 14,0,27,0,49,0,1,27,0,44,3,47,9,0,5,0,33,0,58,0,0,4,0,51.0,0,61.0,0,0,0,,false
Linn,Cedar Rapids 15,1,42,0,38,0,1,37,0,65,0,50,5,1,1,0,43,0,38,0,0,38,0,67.0,0,54.0,0,0,0,,false
Linn,Cedar Rapids 16,0,16,0,46,0,2,18,0,95,0,53,14,0,0,0,0,0,67,0,0,0,0,101.0,0,65.0,0,0,0,,false
Linn,Cedar Rapids 17,0,0,0,23,0,0,34,0,91,2,52,5,1,4,0,0,0,0,0,0,39,0,96.0,0,61.0,0,0,0,,false
Linn,Cedar Rapids 18,0,12,0,20,0,0,23,0,36,2,30,9,0,0,0,0,0,20,0,0,23,0,36.0,0,30.0,0,0,0,,false
Linn,Cedar Rapids 19,0,38,0,47,0,0,27,0,60,6,50,6,0,0,0,43,0,62,0,0,0,0,65.0,0,59.0,0,0,0,,false
Linn,Cedar Rapids 20,0,47,0,47,0,0,19,0,54,4,44,5,0,0,0,54,0,55,0,0,0,0,58.0,0,51.0,0,0,0,,false
Linn,Cedar Rapids 21,0,30,0,28,0,0,8,0,63,0,32,6,0,0,0,32,0,28,0,0,0,0,68.0,0,35.0,0,0,0,,false
Linn,Cedar Rapids 22,0,13,0,18,0,0,3,0,96,0,56,21,0,0,0,0,0,0,0,0,0,0,115.0,0,83.0,0,8,0,,false
Linn,Cedar Rapids 23,0,35,0,36,0,0,0,0,97,0,59,0,0,0,0,35,0,36,0,0,0,0,97.0,0,59.0,0,0,0,,false
Linn,Cedar Rapids 24,3,77,0,72,0,0,93,0,67,0,115,9,0,0,0,82,0,72,0,0,99,0,69.0,0,116.0,0,0,0,,false
Linn,Cedar Rapids 25,0,69,2,110,0,0,78,0,78,0,82,13,1,2,0,73,0,115,0,0,80,0,80.0,0,86.0,0,0,2,,false
Linn,Cedar Rapids 26,0,55,0,90,0,1,73,0,128,4,129,31,0,0,0,45,0,98,0,1,92,0,137.0,0,133.0,5,0,0,,false
Linn,Cedar Rapids 27,0,26,0,18,0,1,10,0,62,6,34,5,0,0,0,37,0,0,0,0,0,0,65.0,0,40.0,0,0,0,,false
Linn,Cedar Rapids 28,0,40,0,29,0,0,0,0,49,0,24,11,0,0,0,41,0,43,0,0,0,0,53.0,0,31.0,0,0,0,,false
Linn,Cedar Rapids 29,0,30,0,30,0,0,22,0,45,1,33,4,0,0,0,34,0,41,0,0,0,0,47.0,0,39.0,0,0,0,,false
Linn,Cedar Rapids 30,0,40,0,35,0,0,25,0,51,6,41,6,0,0,0,50,0,45,0,0,0,0,52.0,0,51.0,0,0,6,,false
Linn,Cedar Rapids 31,0,50,0,74,0,1,38,0,52,3,53,5,0,5,0,62,0,88,0,0,0,0,67.0,0,65.0,0,0,0,,false
Linn,Cedar Rapids 32,0,23,0,24,0,0,6,0,44,0,19,5,0,2,0,23,0,35,0,0,0,0,44.0,0,19.0,0,0,2,,false
Linn,Cedar Rapids 33,0,19,0,14,0,2,10,0,61,0,33,6,0,2,0,0,0,27,0,0,0,0,67.0,0,43.0,0,0,0,,false
Linn,Cedar Rapids 34,0,13,0,30,0,2,22,0,103,3,49,5,0,2,0,1,0,35,0,0,36,0,107.0,0,50.0,0,0,0,,false
Linn,Cedar Rapids 35,0,16,0,35,0,0,22,0,67,2,31,10,2,0,0,0,0,45,0,0,30,0,71.0,0,37.0,0,0,0,,false
Linn,Cedar Rapids 36,0,47,0,46,0,1,35,0,89,9,65,13,0,1,0,61,0,59,0,0,0,0,89.0,0,80.0,0,0,0,,false
Linn,Cedar Rapids 37,1,33,0,29,0,0,23,0,55,0,37,6,1,1,0,42,0,38,0,0,0,0,60.0,0,40.0,0,0,0,,false
Linn,Cedar Rapids 38,0,5,0,30,0,0,0,0,66,4,26,6,0,0,0,0,0,37,0,0,0,0,67.0,0,31.0,0,0,2,,false
Linn,Cedar Rapids 39,0,40,0,44,0,0,20,0,44,2,31,5,1,4,0,47,0,55,0,0,0,0,44.0,0,37.0,0,0,8,,false
Linn,Cedar Rapids 40,0,24,0,23,0,0,3,0,24,4,23,4,3,0,0,25,0,27,0,0,0,0,26.0,0,26.0,0,0,0,,false
Linn,Cedar Rapids 41,0,38,0,56,0,0,4,0,54,0,32,10,0,8,0,45,0,63,0,0,0,0,56.0,0,37.0,0,0,0,,false
Linn,Cedar Rapids 42,0,8,0,63,0,0,5,0,45,0,34,17,0,3,0,0,0,75,0,0,0,0,51.0,0,41.0,0,0,0,,false
Linn,Cedar Rapids 43,0,23,0,18,0,2,5,0,51,0,15,11,0,0,0,26,0,23,0,0,0,0,55.0,0,20.0,0,0,0,,false
Linn,Cedar Rapids 44,0,5,0,7,0,1,1,0,21,0,15,11,0,0,0,0,0,0,0,0,0,0,21.0,0,17.0,12,0,0,,false
Linn,Clinton,0,11,0,13,0,0,10,0,4,0,5,3,0,0,0,17,0,23,0,0,0,0,0.0,0,0.0,0,6,0,,false
Linn,College,0,9,0,13,0,3,7,0,4,2,7,1,0,0,0,0,0,24,0,0,22,0,0.0,0,0.0,0,0,0,,false
Linn,Fairfax City,0,12,0,33,0,0,24,0,27,0,24,5,0,0,0,0,0,37,0,0,29,0,29.0,0,24.0,0,6,0,,false
Linn,Fairfax Township,0,17,3,26,0,0,13,0,9,3,2,2,0,0,0,21,0,28,0,0,23,0,0.0,0,0.0,0,0,0,,false
Linn,Fayette,0,6,0,14,0,0,8,0,11,0,13,2,0,0,0,0,0,24,0,0,0,0,0.0,0,19.0,0,0,0,,false
Linn,Franklin,0,31,0,76,0,0,36,0,38,14,0,26,0,1,0,37,0,87,0,0,44,0,52.0,0,0.0,0,0,0,,false
Linn,Grant,0,14,0,2,0,0,7,0,3,1,5,2,0,0,0,15,0,0,0,0,14,0,0.0,0,0.0,0,0,0,,false
Linn,Hiawatha 1,0,37,0,29,0,0,42,0,46,8,25,2,0,0,0,40,0,35,0,0,55,0,55.0,0,0.0,0,5,0,,false
Linn,Hiawatha 2,0,16,0,19,0,1,4,0,47,2,13,2,0,1,0,21,0,25,0,0,1,0,58.0,0,0.0,0,0,0,,false
Linn,Hiawatha 3,0,12,0,25,0,1,10,0,14,4,24,2,0,0,0,0,0,41,0,0,0,0,0.0,0,39.0,0,0,12,,false
Linn,Hiawatha4,0,4,0,9,0,0,2,0,3,0,4,1,0,0,0,4,0,9,0,0,2,0,3.0,0,4.0,1,0,0,,false
Linn,Jackson,0,10,0,9,0,0,7,0,8,4,12,0,0,4,0,0,0,25,0,0,0,0,0.0,0,22.0,0,0,0,,false
Linn,Linn,0,13,0,7,0,0,7,0,5,0,7,2,0,0,0,13,0,0,0,0,0,0,0.0,0,21.0,0,0,0,,false
Linn,Maine,0,8,0,13,0,0,18,0,28,5,11,3,0,0,0,0,0,19,0,0,27,0,32.0,0,0.0,0,0,0,,false
Linn,Marion 01,0,18,0,25,0,0,22,0,58,0,28,9,0,0,0,18,0,25,0,0,22,0,58.0,0,28.0,9,0,0,,false
Linn,Marion 02,0,31,0,14,0,0,12,0,41,0,16,2,0,0,0,37,0,10,0,0,2,0,46.0,0,21.0,0,0,0,,false
Linn,Marion 03,0,0,0,24,0,0,28,0,38,0,35,2,1,3,0,0,0,24,0,0,33,0,39.0,0,35.0,0,0,0,,false
Linn,Marion 04,0,16,0,19,0,0,0,0,32,0,14,10,0,0,0,16,0,19,0,0,0,0,32.0,0,14.0,0,0,0,,false
Linn,Marion 05,0,51,0,68,0,1,49,0,41,6,40,11,0,5,0,53,0,87,0,0,57,0,57.0,0,0.0,0,0,18,,false
Linn,Marion 06,0,38,0,47,0,0,25,0,56,0,41,8,0,0,0,52,0,56,0,0,0,0,57.0,0,46.0,0,0,0,,false
Linn,Marion 07,0,41,0,48,0,0,32,0,46,3,34,10,0,12,0,42,0,54,0,0,39,0,56.0,0,35.0,0,0,0,,false
Linn,Marion 08,0,27,0,23,0,0,18,0,43,5,38,8,2,0,0,29,0,24,0,0,24,0,47.0,0,40.0,0,0,0,,false
Linn,Marion 09,0,33,0,23,0,0,11,0,34,0,28,8,0,0,0,36,0,33,0,0,0,0,38.0,0,30.0,0,0,0,,false
Linn,Marion 10,0,30,0,30,0,0,2,0,40,1,25,7,0,0,0,30,0,33,0,0,0,0,47.0,0,25.0,0,0,0,,false
Linn,Marion 11,0,31,0,56,0,3,31,0,30,3,38,14,1,0,0,33,0,57,0,0,34,0,36.0,3,41.0,0,0,0,,false
Linn,Marion 12,0,23,0,26,0,0,21,0,27,0,15,9,0,0,0,23,0,31,0,0,26,0,40.0,0,0.0,0,0,0,,false
Linn,Marion 13,0,43,0,55,0,0,25,0,65,4,37,4,0,0,0,48,0,69,0,0,0,0,68.0,0,42.0,0,0,0,,false
Linn,Marion 14,0,44,0,56,0,0,35,0,26,5,33,5,0,0,0,48,0,61,0,0,41,0,0.0,0,49.0,0,0,5,,false
Linn,Marion township,0,20,3,15,0,0,24,0,18,0,15,1,0,0,0,32,0,0,0,0,36,0,0.0,0,0.0,0,0,0,,false
Linn,Monroe 1,0,27,0,21,0,0,22,0,3,4,16,0,0,3,0,28,0,22,0,0,24,0,0.0,0,0.0,0,0,0,,false
Linn,Monroe 2,0,23,0,38,0,0,31,0,22,0,8,5,0,0,0,30,0,39,0,0,33,0,25.0,0,0.0,0,0,0,,false
Linn,Mount Vernon South,0,43,0,84,0,0,42,0,140,3,117,15,0,2,0,0,0,127,0,0,0,0,144.0,0,139.0,0,0,36,,false
Linn,Mount Vernon north,1,21,0,49,0,0,40,0,42,5,62,5,0,12,0,0,0,55,0,0,46,0,44.0,0,66.0,0,0,0,,false
Linn,Otter Creek,0,15,0,17,0,0,0,0,6,1,10,0,0,2,0,16,0,19,0,0,0,0,0.0,0,16.0,0,0,0,,false
Linn,Putnam,0,20,0,36,0,0,30,0,31,2,18,15,0,0,0,0,0,46,0,0,36,0,39.0,0,24.0,0,0,7,,false
Linn,Robins,0,46,0,65,0,0,47,0,23,0,42,1,0,0,0,46,0,70,0,0,48,0,0.0,0,56.0,0,0,0,,false
