,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahaska,ADAMS - MONROE - PLEASANT GROVE - UNION,0,4,0,3,0,0,0,0,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0.0,0,4.0,0,0,0,,false
Mahaska,BLACK OAK SCOTT,0,0,0,8,0,0,4,0,2,0,5,0,0,0,0,0,0,13,0,0,0,0,1.0,0,5.0,0,0,0,,false
Mahaska,CEDAR - HARRISON - WHITE OAK,0,10,0,0,0,0,9,0,15,0,5,8,0,0,0,10,0,0,0,0,14,0,16.0,0,0.0,8,0,0,,false
Mahaska,E&amp;W DES MOINES - JEFFERSON,0,2,0,3,0,0,0,0,2,1,1,1,0,1,0,0,0,4,0,0,7,0,0.0,0,0.0,0,0,0,,false
Mahaska,GARFIELD-LINCOLN-MADISON,0,7,0,11,0,0,2,0,6,0,4,2,0,0,0,8,0,11,0,0,0,0,8.0,0,5.0,0,0,0,,false
Mahaska,OSKALOOSA WARD 1,0,2,0,20,0,0,5,0,20,0,13,12,0,0,0,0,0,23,0,0,0,0,20.0,0,15.0,13,0,0,,false
Mahaska,OSKALOOSA WARD 2,0,12,0,18,0,0,0,0,24,0,24,22,0,1,0,3,0,22,0,0,0,0,26.0,0,27.0,23,0,0,,false
Mahaska,OSKALOOSA WARD 3 - UNIVERSITY PARK,0,14,0,23,0,0,4,0,23,2,14,11,0,0,0,15,0,28,0,0,1,0,26.0,0,14.0,7,0,0,,false
Mahaska,OSKALOOSA WARD 4,0,23,0,26,0,0,17,0,38,3,24,17,0,6,0,25,0,28,0,0,27,0,40.0,0,29.0,0,0,5,,false
Mahaska,PRAIRIE - RICHLAND,0,0,0,8,0,0,8,0,13,1,3,6,0,0,0,0,0,8,0,0,9,0,16.0,0,0.0,6,0,0,,false
Mahaska,SPRING CREEK,0,8,0,16,0,0,0,0,11,0,6,6,0,0,0,9,0,16,0,0,0,0,11.0,0,0.0,0,0,0,,false
