,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion,Clay,0,0,0,8,0,0,7,0,2,0,3,0,0,0,0,0,0,9,0,0,8,0,0,0,0,0,0,0,,false
Marion,Dallas,0,6,0,15,0,0,5,0,6,0,4,0,0,0,0,8,0,20,0,0,0,0,7,0,0,0,0,0,,false
Marion,Indiana Township,0,4,0,8,0,0,3,0,4,0,3,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,,false
Marion,Knoxville 1,0,12,0,20,0,0,6,0,10,4,4,1,0,5,0,12,0,26,0,0,0,0,14,0,10,0,0,0,,false
Marion,Knoxville 2,0,11,0,20,0,0,11,0,10,0,17,2,0,0,0,11,0,27,0,0,11,0,0,0,22,0,0,0,,false
Marion,Knoxville 3,0,9,0,31,0,0,11,0,15,0,7,0,0,2,0,0,0,39,0,0,17,0,19,0,0,0,0,0,,false
Marion,Knoxville 4,0,13,0,25,0,0,6,0,8,1,6,1,0,0,0,13,0,30,0,0,0,0,0,0,16,0,0,0,,false
Marion,Knoxville Township,0,17,0,30,0,0,18,0,21,0,8,17,0,0,0,17,0,34,0,0,19,0,23,0,1,17,0,0,,false
Marion,Lake Prairie Township,0,17,0,23,0,0,18,0,10,0,0,0,0,0,0,17,0,23,0,0,18,0,10,0,0,0,0,0,,false
Marion,Liberty,0,5,0,7,0,0,0,0,1,0,3,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,,false
Marion,Otley,0,14,0,23,0,0,15,0,14,0,10,3,0,1,0,14,0,26,0,0,19,0,18,0,0,0,0,0,,false
Marion,Pella 1,0,18,2,39,0,0,15,0,24,0,17,5,0,0,0,21,0,52,0,0,0,0,25,0,21,0,0,0,,false
Marion,Pella 2,0,11,0,29,0,0,25,0,20,0,21,9,0,3,0,0,0,34,0,0,31,0,22,0,24,0,0,0,,false
Marion,Pella 3,0,18,0,36,0,1,30,0,18,2,21,8,0,2,0,21,0,37,0,0,32,0,23,0,23,0,0,0,,false
Marion,Pella 4,0,12,0,40,0,0,17,0,53,1,22,25,0,0,0,0,0,57,0,0,0,0,53,0,30,29,0,0,,false
Marion,Pleasantville,0,29,0,44,0,0,21,0,28,7,12,7,0,4,0,31,0,58,0,0,29,0,31,0,0,0,0,0,,false
Marion,Washington Township,0,0,0,12,0,0,0,0,0,0,7,0,0,0,0,0,0,12,0,0,0,0,0,0,7,0,0,0,,false
