,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall,BANGOR/LISCOMB,0,8,0,5,0,0,4,0,5,1,5,0,0,0,0,9,0,12,0,0,0,0,7.0,0,0.0,0,0,0,,false
Marshall,EDEN / LOGAN,0,5,0,32,0,0,10,0,6,1,4,0,0,1,0,0,0,35,0,0,14,0,10.0,0,0.0,0,0,0,,false
Marshall,GREEN CASTLE,0,4,0,7,0,0,2,0,6,0,5,3,0,0,0,0,0,11,0,0,8,0,8.0,0,0.0,0,0,0,,false
Marshall,JEFFERSON,0,7,0,10,0,0,4,0,6,0,2,0,0,1,0,8,0,14,0,0,0,0,6.0,0,1.0,0,0,1,,false
Marshall,LEGRAND,0,7,0,6,0,0,0,0,5,0,10,0,0,0,0,7,0,6,0,0,0,0,5.0,0,10.0,0,0,0,,false
Marshall,LIBERTY / MINERVA,1,4,0,2,0,0,2,0,5,1,3,4,0,0,0,0,0,6,0,0,0,0,9.0,0,6.0,1,0,0,,false
Marshall,MARIETTA / WASHINGTON,0,5,0,12,0,0,0,0,0,0,3,0,0,0,0,5,0,15,0,0,0,0,0.0,0,0.0,0,0,0,,false
Marshall,MARION / VIENNA,0,11,0,16,0,0,8,0,2,0,10,0,0,0,0,11,0,16,0,0,8,0,0.0,0,12.0,0,0,0,,false
Marshall,MARSHALLTOWN 1-1,0,12,0,1,0,0,0,0,56,0,5,1,0,0,0,15,0,0,0,0,0,0,60.0,0,0.0,0,0,0,,false
Marshall,MARSHALLTOWN 1-2,0,16,0,11,0,0,0,0,48,2,7,0,0,0,0,18,0,0,0,0,0,0,50.0,0,0.0,0,0,16,,false
Marshall,MARSHALLTOWN 2-1,1,12,0,39,0,0,16,0,44,1,18,3,0,1,0,0,0,55,0,0,0,0,45.0,0,29.0,0,0,0,,false
Marshall,MARSHALLTOWN 2-2,0,23,0,35,0,0,20,0,51,6,25,0,0,0,0,26,0,45,0,0,0,0,52.0,0,33.0,0,0,4,,false
Marshall,MARSHALLTOWN 3-1,0,26,0,25,0,0,21,0,37,0,25,3,1,1,0,26,0,26,0,0,22,0,39.0,0,25.0,0,0,1,,false
Marshall,MARSHALLTOWN 3-2,2,40,1,31,0,0,23,0,57,0,20,0,0,0,0,46,0,47,0,0,0,0,65.0,0,0.0,0,0,16,,false
Marshall,MARSHALLTOWN 4-1,1,24,0,29,0,0,3,0,47,3,8,6,0,0,0,25,0,33,0,0,0,0,59.0,0,0.0,0,0,0,,false
Marshall,MARSHALLTOWN 4-2,0,23,0,31,0,0,12,0,41,7,26,10,0,0,0,31,0,41,0,0,0,0,47.0,0,31.0,0,0,0,,false
Marshall,STATE CENTER,0,17,0,27,0,1,5,0,16,1,7,2,0,0,0,19,0,36,0,0,0,0,21.0,0,0.0,0,0,0,,false
Marshall,TAYLOR,0,8,0,14,0,0,2,0,2,2,2,3,0,2,0,11,0,16,0,0,0,0,6.0,0,0.0,0,0,2,,false
Marshall,TIMBER CREEK,0,9,0,7,0,0,7,0,5,6,2,0,0,0,0,9,0,7,0,0,7,0,0.0,6,0.0,0,0,0,,false
