,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O'Brien,Carroll-Floyd,0,5,0,0,0,0,6,0,0,0,6,0,0,0,0,5,0,0,0,0,6,0,0.0,0,6.0,0,0,0,,false
O'Brien,Franklin,0,1,0,1,0,0,8,0,4,0,0,3,0,1,0,0,0,0,0,0,8,0,4.0,3,0.0,3,0,0,,false
O'Brien,Hartley-Lincoln-Omega,0,14,0,6,0,0,5,0,9,2,3,0,0,0,0,15,0,7,0,0,0,0,11.0,6,0.0,0,0,0,,false
O'Brien,Sheldon 1st Ward,0,5,0,4,0,0,7,0,8,0,0,0,0,0,0,5,0,4,0,0,7,0,8.0,0,0.0,0,0,0,,false
O'Brien,Sheldon 2nd Ward,0,1,0,6,0,0,5,0,8,2,8,0,0,0,0,0,0,6,0,0,5,0,8.0,0,10.0,0,0,0,,false
O'Brien,Sheldon 3rd Ward,0,6,0,5,0,0,5,0,4,0,7,0,0,0,0,6,0,5,0,0,5,0,4.0,0,7.0,0,0,0,,false
O'Brien,Summit-Center-Dale-Highland,0,12,0,7,0,0,11,0,0,0,5,0,0,1,0,12,0,11,0,0,12,0,0.0,0,0.0,0,1,0,,false
O'Brien,Union-Baker-Caledonia,0,8,0,10,0,0,7,0,4,0,5,0,0,0,0,8,0,10,0,0,7,0,0.0,0,0.0,0,0,9,,false
O'Brien,Waterman-Grant-Liberty,0,2,0,7,0,0,3,0,4,0,7,0,0,0,0,0,0,7,0,0,4,0,4.0,0,8.0,0,0,0,,false
