,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Out of State Satellite,0,0,0,0,0,0,0,0,0,23,0,33,0,0,0,0,0,0,0,0,0,0,0,0.0629,0,0.1258,0,0,0,,false
Out of State Satellite,"Ann Arbor, MI - Ann Arbor District Library",0,0,0,1,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,3.0,0,5.0,0,0,0,,false
Out of State Satellite,"Brooklyn, NY - Brooklyn Public Library",0,0,0,0,0,0,1,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,7.0,0,4.0,0,0,0,,false
Out of State Satellite,"Cambridge, MA - Democracy Center",0,0,0,8,0,0,1,0,20,0,19,3,0,0,0,0,0,8,0,0,0,0,22.0,0,20.0,0,0,1,,false
Out of State Satellite,"Chicago, IL - Humbolt Park Branch CPL",0,0,0,0,0,0,3,0,11,0,6,0,0,0,0,0,0,0,0,0,3,0,11.0,0,6.0,0,0,0,,false
Out of State Satellite,"Chicago, IL - University Church of Chicago",0,0,0,4,0,0,0,0,9,0,11,0,0,0,0,0,0,4,0,0,0,0,9.0,0,11.0,0,0,0,,false
Out of State Satellite,"Fairfax, VA - George Mason University",0,0,0,0,0,1,2,0,4,0,8,0,0,0,0,0,0,0,0,0,2,0,5.0,0,8.0,0,0,0,,false
Out of State Satellite,"Glasgow, Scotland - Home of Colyn Burbank",0,0,0,3,0,0,1,0,9,0,4,2,0,0,0,0,0,3,0,0,0,0,9.0,0,6.0,0,0,0,,false
Out of State Satellite,"Green Valley, AZ - Sunrise Point Club House",0,12,3,13,0,0,20,0,0,0,2,0,0,0,0,13,0,14,0,0,23,0,0.0,0,0.0,0,0,0,,false
Out of State Satellite,"Gulf Breeze, FL - Emerald Dolphin Condominium",0,13,0,9,0,0,17,0,0,0,3,0,0,0,0,13,0,9,0,0,20,0,0.0,0,0.0,0,0,0,,false
Out of State Satellite,"Milwaukee, WI - Marquette University Alumni Memorial Union",0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,2,0,2.0,0,3.0,0,0,0,,false
Out of State Satellite,"Miramar Beach, FL - Tops'l Club and Fitness Center",3,15,9,12,0,0,16,0,0,0,5,0,0,0,0,18,9,13,0,0,18,0,0.0,0,0.0,0,2,0,,false
Out of State Satellite,"Nashville, TN - McCabe Community Center",0,0,0,2,0,0,0,0,3,0,2,0,0,0,0,0,0,2,0,0,0,0,3.0,0,2.0,0,0,0,,false
Out of State Satellite,"Northfield, MN - St. Olaf College, Buntrock Commons",0,0,0,1,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,4.0,0,6.0,0,0,1,,false
Out of State Satellite,"Palm Springs, CA - Palm Springs Public Library Learning Center",0,24,3,20,0,0,41,1,9,1,8,1,0,0,0,29,0,21,0,0,49,0,0.0,0,0.0,0,0,9,,false
Out of State Satellite,"Paris, France - CIEE Student Housing",0,0,0,2,0,0,3,0,5,0,7,0,0,0,0,0,0,0,0,0,3,0,6.0,0,8.0,0,0,0,,false
Out of State Satellite,"Philadelphia, PA - Houston Hall at Penn University",0,1,0,2,0,0,1,0,5,0,3,2,0,0,0,0,0,4,0,0,0,0,6.0,0,4.0,0,0,0,,false
Out of State Satellite,"Port Charlotte, FL - UUFCC",0,33,0,38,0,0,48,0,1,2,12,1,0,0,0,33,0,43,0,0,56,0,0.0,0,0.0,0,0,0,,false
Out of State Satellite,"Providence, RI - MacMillian Hall at Brown University",0,0,0,0,0,0,1,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,6.0,0,4.0,0,0,0,,false
Out of State Satellite,"Queen Creek, AZ - Harkins Theatres Queen Creek 14",0,30,2,39,0,0,53,0,7,2,25,0,1,3,0,33,0,41,0,0,54,0,0.0,0,31.0,0,0,3,,false
Out of State Satellite,"St. Paul, MN - MLK Recreation Center",0,0,0,4,0,0,2,0,10,0,11,5,0,0,0,0,0,0,0,0,0,0,11.0,0,14.0,7,0,0,,false
Out of State Satellite,"St. Petersburg, FL - St. Andrew Lutheran Church",0,15,0,20,0,1,46,0,7,0,11,5,0,0,0,17,0,21,0,0,48,0,0.0,0,18.0,0,0,0,,false
Out of State Satellite,"Stanford, CA - Stanford Hass Center for Public Service",0,3,0,0,0,0,1,0,14,0,10,2,0,0,0,0,0,0,0,0,5,0,15.0,0,10.0,0,0,0,,false
Out of State Satellite,"Tbilisi, Republic of Georgia - Home of Joshua Kucera",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0.0,0,0,0,,false
Out of State Satellite,"Tucson, AZ - Flowing Wells Library",0,16,1,11,0,0,20,0,12,1,11,0,0,0,0,16,0,11,0,0,21,0,12.0,0,12.0,0,0,0,,false
Out of State Satellite,"Tucson, AZ - Home of Ellyn Harris-Hesli",0,5,0,7,0,0,2,0,0,0,2,0,0,0,0,7,0,7,0,0,0,0,0.0,0,0.0,0,0,2,,false
Out of State Satellite,Washington DC - IBEW International Union,0,15,0,18,0,0,11,0,14,0,40,2,0,0,0,20,0,23,0,0,0,0,15.0,0,42.0,0,0,0,,false
