,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plymouth,Plymouth 01/Ak,0,13,0,6,0,0,1,0,15,0,9,3,0,3,0,13,0,8,0,0,0,0,19,0,10,0,0,0,,false
Plymouth,Plymouth 02/Mrhg,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,,false
Plymouth,Plymouth 03/Sb,0,4,0,2,0,0,0,0,0,0,5,2,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,,false
Plymouth,Plymouth 04/Bv,0,9,0,8,0,0,2,0,9,2,2,0,0,0,0,8,0,11,0,0,0,0,10,0,0,0,0,3,,false
Plymouth,Plymouth 05/Rm,0,13,0,7,0,0,4,0,9,0,0,0,0,0,0,15,0,9,0,0,0,0,9,0,0,0,0,0,,false
Plymouth,Plymouth 06/Wf,0,4,0,6,0,0,5,0,3,3,0,0,0,0,0,4,0,6,0,0,5,0,3,3,0,0,0,0,,false
Plymouth,Plymouth 07/Mr,0,13,0,5,0,0,3,0,13,0,3,0,0,0,0,13,0,8,0,0,0,0,13,0,0,0,0,3,,false
Plymouth,Plymouth 08/Py,0,9,0,17,0,0,11,0,14,4,2,7,0,1,0,10,0,19,0,0,17,0,19,0,0,0,0,0,,false
Plymouth,Plymouth 09/Ht,0,16,0,13,0,0,13,0,11,0,5,6,0,0,0,16,0,18,0,0,17,0,11,0,0,0,0,2,,false
Plymouth,Plymouth 10/Kl,0,8,0,8,0,0,2,0,7,0,0,1,0,2,0,8,0,11,0,0,0,0,7,0,0,0,0,2,,false
Plymouth,Plymouth 11/Le Mars 1,0,15,0,24,0,0,19,0,10,0,13,4,0,0,0,16,0,29,0,0,19,0,0,0,20,0,0,0,,false
Plymouth,Plymouth 12/Le Mars 2,0,22,0,27,0,0,16,0,18,0,3,5,0,1,0,27,0,28,0,0,17,0,20,0,0,0,0,0,,false
Plymouth,Plymouth 13/Le Mars 3,0,9,1,14,0,0,4,0,23,5,1,11,0,0,0,11,0,21,0,0,0,0,23,0,0,13,0,0,,false
