,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polk,ALLEMAN-01,0,5,0,8,0,0,11,0,6,6,7,0,0,0,0,0,0,8,0,0,12,0,4.0,12,6.0,0,0,0,,false
Polk,ALLEN-01,0,2,0,3,0,0,0,0,10,5,0,0,0,0,0,2,0,3,0,0,0,0,10.0,5,0.0,0,0,0,,false
Polk,ALTOONA-01,0,16,0,19,0,1,5,0,18,0,14,2,0,0,0,19,0,21,0,0,0,0,20.0,0,14.0,0,0,0,,false
Polk,ALTOONA-02,0,32,0,39,0,0,29,0,59,0,34,7,0,0,0,32,0,42,0,0,31,0,61.0,0,35.0,0,0,0,,false
Polk,ALTOONA-03,1,28,0,39,0,0,29,0,40,0,36,12,0,2,0,30,0,44,0,0,32,0,43.0,0,37.0,0,0,0,,false
Polk,ALTOONA-04,2,34,0,54,0,0,24,0,45,10,35,12,0,1,0,34,0,60,0,0,39,0,47.0,0,36.0,0,0,0,,false
Polk,ALTOONA-05,0,44,0,73,0,0,39,0,38,20,33,8,0,0,0,54,0,87,0,0,55,0,48.0,0,0.0,0,0,11,,false
Polk,ANKENY-01,1,69,1,117,0,3,46,0,93,0,94,32,0,3,0,86,0,150,0,3,0,0,105.0,0,106.0,0,0,0,,false
Polk,ANKENY-02,0,57,0,128,0,0,40,0,49,0,60,1,0,0,0,63,0,156,0,0,0,0,52.0,0,62.0,0,0,0,,false
Polk,ANKENY-03,0,21,0,49,0,1,16,0,64,7,54,13,0,0,0,0,0,76,0,0,0,0,70.0,0,66.0,0,0,0,,false
Polk,ANKENY-04,0,26,0,48,0,1,35,0,51,2,52,3,0,0,0,0,0,55,0,0,45,0,54.0,0,58.0,0,0,0,,false
Polk,ANKENY-05,1,39,0,61,0,1,38,0,62,8,43,5,0,2,0,39,0,68,0,0,39,0,67.0,0,43.0,0,0,0,,false
Polk,ANKENY-06,0,40,3,49,0,4,39,0,36,14,40,13,0,0,0,46,0,61,0,0,46,0,41.0,0,43.0,0,0,1,,false
Polk,ANKENY-07,0,30,2,50,0,0,10,0,41,7,34,16,0,3,0,33,0,71,0,0,0,0,45.0,0,38.0,0,0,6,,false
Polk,ANKENY-08,2,11,0,58,0,0,41,0,42,0,52,21,0,0,0,0,0,69,0,0,50,0,51.0,0,55.0,0,0,0,,false
Polk,ANKENY-09,0,24,0,63,0,0,43,0,77,1,57,16,0,2,0,0,0,75,0,0,51,0,80.0,0,71.0,0,0,0,,false
Polk,ANKENY-10,0,32,0,57,0,2,29,0,41,1,35,10,0,2,0,35,0,83,0,0,0,0,44.0,0,45.0,0,0,0,,false
Polk,ANKENY-11,0,33,0,34,0,0,19,0,61,0,42,3,3,0,0,42,0,38,0,0,0,0,61.0,0,52.0,0,0,2,,false
Polk,ANKENY-12,1,66,0,148,0,0,63,0,107,5,91,37,0,1,0,80,0,194,0,0,0,0,120.0,0,111.0,0,0,0,,false
Polk,ANKENY-13,1,67,0,114,0,4,75,0,70,12,66,16,0,1,0,69,0,126,0,0,86,0,76.0,0,69.0,0,0,0,,false
Polk,ANKENY-14,0,36,0,92,0,0,19,0,75,5,83,0,0,1,0,0,0,149,0,0,0,0,83.0,0,100.0,0,0,0,,false
Polk,ANKENY-15,0,35,1,66,0,0,13,0,49,0,34,28,0,0,0,40,0,86,0,0,0,0,55.0,0,43.0,0,0,1,,false
Polk,BONDURANT-01,0,14,0,49,0,0,0,0,31,0,12,10,2,0,0,22,0,58,0,0,0,0,36.0,0,0.0,0,0,0,,false
Polk,BONDURANT-02,0,18,0,47,0,0,12,0,29,15,39,4,0,0,0,26,0,61,0,0,0,0,34.0,0,43.0,0,0,0,,false
Polk,CLAY-01,0,14,0,16,0,0,17,0,12,0,13,0,0,0,0,18,0,24,0,0,22,0,0.0,0,0.0,0,0,0,,false
Polk,CLIVE-01,0,29,0,23,0,2,9,0,38,2,24,8,0,2,0,31,0,32,0,0,0,0,42.0,0,32.0,0,0,0,,false
Polk,CLIVE-02,0,42,0,48,0,0,41,0,62,7,44,10,0,1,0,42,0,58,0,0,45,0,64.0,0,45.0,0,0,1,,false
Polk,CLIVE-03,1,57,1,86,0,1,67,0,51,4,63,22,0,0,0,59,0,90,0,0,70,0,61.0,0,70.0,0,0,0,,false
Polk,CLIVE-04,0,72,0,86,0,1,97,0,25,0,64,19,0,1,0,74,0,94,0,0,103,0,0.0,0,76.0,0,0,0,,false
Polk,CROCKER-01,0,28,0,37,0,0,40,0,17,6,30,15,0,3,0,31,0,43,0,0,50,0,1.0,0,46.0,2,0,2,,false
Polk,CROCKER-02,2,20,1,29,0,0,32,0,13,0,24,10,0,1,0,0,0,30,0,0,33,0,23.0,0,25.0,0,0,0,,false
Polk,DELAWARE-01,0,14,0,12,0,0,0,0,14,3,8,10,0,0,0,14,0,16,0,0,0,0,18.0,0,0.0,11,0,2,,false
Polk,DELAWARE-02,0,2,0,1,0,0,1,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,6.0,0,7.0,0,0,0,,false
Polk,DES MOINES-01,0,17,0,14,0,0,4,0,15,1,11,3,0,0,0,20,0,16,0,0,0,0,17.0,0,12.0,0,0,0,,false
Polk,DES MOINES-02,0,20,0,7,0,0,8,0,30,11,10,2,0,0,0,20,0,0,0,0,18,0,38.0,0,15.0,0,0,0,,false
Polk,DES MOINES-03,0,31,0,40,0,0,0,0,49,0,27,5,0,0,0,32,0,40,0,0,0,0,51.0,0,29.0,0,0,0,,false
Polk,DES MOINES-04,1,11,0,10,0,0,5,0,13,0,7,4,0,0,0,11,0,12,0,0,0,0,16.0,0,8.0,0,0,0,,false
Polk,DES MOINES-05,0,0,0,13,0,0,8,0,32,2,11,6,0,0,0,0,0,15,0,0,12,0,35.0,0,12.0,0,0,0,,false
Polk,DES MOINES-06,0,2,0,17,0,0,6,0,35,9,15,8,0,0,0,0,0,20,0,0,0,0,43.0,0,19.0,0,0,0,,false
Polk,DES MOINES-07,0,0,0,47,0,0,0,0,91,0,41,0,0,0,0,0,0,53,0,0,0,0,96.0,0,49.0,0,0,0,,false
Polk,DES MOINES-08,0,10,0,27,0,1,21,0,36,1,34,5,0,0,0,0,0,36,0,0,23,0,39.0,0,37.0,0,0,0,,false
Polk,DES MOINES-09,1,23,0,31,0,1,32,0,69,12,48,13,1,0,0,3,0,39,0,0,39,0,70.0,0,52.0,1,0,21,,false
Polk,DES MOINES-10,0,48,2,60,0,0,51,0,61,11,58,17,0,1,0,51,0,72,0,0,53,0,67.0,0,64.0,0,0,0,,false
Polk,DES MOINES-11,0,33,1,60,0,0,25,0,73,0,51,16,0,3,0,50,0,80,0,0,0,0,75.0,0,53.0,0,4,0,,false
Polk,DES MOINES-12,0,15,0,23,0,0,11,0,47,7,10,1,0,0,0,17,0,26,0,0,21,0,49.0,0,0.0,0,0,0,,false
Polk,DES MOINES-13,0,19,0,32,0,2,17,0,44,0,33,7,0,1,0,25,0,38,0,0,0,0,49.0,0,38.0,0,0,5,,false
Polk,DES MOINES-14,0,20,0,39,0,0,13,0,46,3,27,9,0,4,0,25,0,52,0,0,0,0,50.0,0,31.0,0,0,0,,false
Polk,DES MOINES-15,3,59,0,130,0,0,73,0,124,6,157,54,0,4,0,0,0,151,0,0,97,0,140.0,0,180.0,0,0,0,,false
Polk,DES MOINES-16,0,62,0,107,0,2,88,0,136,0,97,23,0,4,0,0,0,119,0,0,123,0,151.0,0,108.0,0,0,0,,false
Polk,DES MOINES-17,0,20,0,12,0,0,10,0,35,3,11,0,0,0,0,27,0,0,0,0,0,0,40.0,0,27.0,0,0,0,,false
Polk,DES MOINES-18,0,15,0,2,0,0,15,0,37,6,20,0,0,0,0,15,0,0,0,0,20,0,37.0,0,22.0,0,0,0,,false
Polk,DES MOINES-19,0,3,0,19,0,0,0,0,47,0,25,5,0,0,0,0,0,22,0,0,0,0,51.0,0,25.0,0,0,1,,false
Polk,DES MOINES-20,0,29,0,15,0,0,0,0,95,0,33,1,0,6,0,32,0,0,0,0,0,0,99.0,0,39.0,0,0,0,,false
Polk,DES MOINES-21,0,32,0,30,0,0,1,0,60,5,40,12,0,2,0,34,0,35,0,0,0,0,65.0,0,44.0,0,0,0,,false
Polk,DES MOINES-22,0,20,0,24,0,0,14,0,48,0,28,14,0,0,0,24,0,31,0,0,0,0,54.0,0,32.0,0,0,0,,false
Polk,DES MOINES-23,0,16,0,6,0,0,0,0,51,0,4,2,0,0,0,18,0,0,0,0,0,0,55.0,0,0.0,0,0,0,,false
Polk,DES MOINES-24,0,15,0,16,1,0,8,0,21,0,3,1,0,4,0,15,0,18,0,0,12,0,24.0,0,0.0,0,0,0,,false
Polk,DES MOINES-25,0,9,0,10,0,0,0,0,21,3,12,2,0,0,0,10,0,10,0,0,0,0,23.0,0,14.0,0,0,0,,false
Polk,DES MOINES-26,0,27,0,25,0,0,2,0,52,0,24,3,0,2,0,27,0,25,0,0,0,0,57.0,0,26.0,0,0,0,,false
Polk,DES MOINES-27,2,11,0,15,0,0,10,0,32,2,12,2,0,0,0,13,0,15,0,0,13,0,32.0,0,13.0,0,0,0,,false
Polk,DES MOINES-28,0,29,0,19,0,0,8,0,50,6,16,5,0,0,0,35,0,22,0,0,0,0,51.0,0,23.0,0,0,0,,false
Polk,DES MOINES-29,0,37,0,28,0,0,21,0,29,0,31,11,0,0,0,41,0,41,0,0,0,0,31.0,0,40.0,0,0,0,,false
Polk,DES MOINES-30,1,11,0,13,0,1,0,0,35,0,12,2,0,0,0,12,0,13,0,0,0,0,37.0,0,12.0,0,0,1,,false
Polk,DES MOINES-31,0,18,0,14,0,0,6,0,45,5,18,5,1,2,0,24,0,19,0,1,0,0,47.0,0,19.0,2,0,2,,false
Polk,DES MOINES-32,0,10,0,13,0,2,5,0,72,0,7,3,0,0,0,0,0,22,0,0,0,0,75.0,0,0.0,0,0,14,,false
Polk,DES MOINES-33,0,17,0,13,0,0,0,0,45,0,8,3,0,0,0,20,0,16,0,0,0,0,48.0,0,0.0,0,0,0,,false
Polk,DES MOINES-34,0,8,0,0,0,0,6,0,24,1,3,3,0,0,0,10,0,0,0,0,9,0,26.0,0,0.0,0,0,0,,false
Polk,DES MOINES-35,0,7,0,7,0,0,3,0,44,7,11,5,2,0,0,0,0,0,0,0,0,0,51.0,0,20.0,0,0,13,,false
Polk,DES MOINES-36,0,35,0,8,0,0,4,0,69,1,4,7,0,0,0,37,0,0,0,0,0,0,76.0,1,23.0,1,0,0,,false
Polk,DES MOINES-37,0,0,0,17,0,0,0,0,56,3,18,7,0,2,0,0,0,17,0,0,0,0,60.0,0,25.0,0,0,0,,false
Polk,DES MOINES-38,0,17,0,101,0,0,24,0,100,1,120,33,4,3,0,0,0,108,0,0,0,0,101.0,0,127.0,0,65,0,,false
Polk,DES MOINES-39,0,50,0,103,0,2,62,0,178,13,164,31,0,4,0,0,0,118,0,0,100,0,193.0,0,178.0,0,0,0,,false
Polk,DES MOINES-40,1,21,0,46,0,0,24,0,110,6,96,23,0,0,0,0,0,66,0,0,0,0,118.0,0,112.0,0,0,31,,false
Polk,DES MOINES-41,1,71,0,111,0,0,104,0,140,16,204,28,0,2,0,0,0,142,0,0,132,0,156.0,0,225.0,0,0,0,,false
Polk,DES MOINES-42,1,23,0,71,9,2,37,0,134,5,88,25,1,0,0,0,0,104,0,0,0,0,143.0,0,121.0,0,0,0,,false
Polk,DES MOINES-43,0,68,0,97,0,0,71,0,96,0,124,16,0,0,0,73,0,101,0,0,72,0,100.0,0,126.0,0,0,0,,false
Polk,DES MOINES-44,0,30,0,73,0,0,55,0,189,12,154,13,0,3,0,0,0,110,0,0,0,0,197.0,0,173.0,0,0,0,,false
Polk,DES MOINES-45,0,14,1,30,0,1,22,0,81,0,73,12,2,4,0,0,0,46,0,0,0,0,85.0,0,103.0,0,0,5,,false
Polk,DES MOINES-46,0,16,0,21,0,0,5,0,65,0,27,4,0,0,0,0,0,24,0,0,0,0,70.0,0,34.0,0,0,0,,false
Polk,DES MOINES-47,1,22,0,71,0,1,26,1,107,3,104,24,3,3,0,0,0,107,0,0,0,0,113.0,0,131.0,0,0,0,,false
Polk,DES MOINES-48,0,1,1,6,0,0,2,0,15,0,8,5,0,0,0,0,0,0,0,0,0,0,17.0,0,13.0,0,0,0,,false
Polk,DES MOINES-49,0,11,0,3,0,0,3,0,17,1,8,0,0,0,0,14,0,0,0,0,0,0,17.0,0,12.0,0,0,0,,false
Polk,DES MOINES-50,0,30,0,31,0,0,1,0,49,0,25,2,0,1,0,30,0,31,0,0,0,0,51.0,0,26.0,1,0,0,,false
Polk,DES MOINES-51,0,24,0,17,0,2,0,0,52,0,7,3,0,0,0,25,0,18,0,0,0,0,58.0,0,0.0,0,0,0,,false
