,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pottawattamie,Avoca,0,9,0,11,0,0,7,0,9,0,7,0,0,0,0,9,0,11,0,0,7,0,9,0,7,0,0,0,,false
Pottawattamie,Carson,0,3,0,5,0,0,0,0,0,3,5,0,0,0,0,0,0,6,0,0,0,0,0,5,5,0,0,0,,false
Pottawattamie,Carter Lake 1,0,14,0,9,0,0,0,0,10,0,9,8,0,0,0,14,0,9,0,0,0,0,10,0,9,8,0,0,,false
Pottawattamie,Carter Lake 2,0,3,0,7,0,0,5,0,14,0,7,8,0,0,0,0,0,11,0,0,0,0,15,0,8,9,0,0,,false
Pottawattamie,Council Bluff 01,0,9,0,3,0,0,5,0,22,2,10,12,0,0,0,12,0,0,0,0,0,0,22,0,12,13,0,0,,false
Pottawattamie,Council Bluff 02,0,4,0,9,0,1,8,0,27,0,12,1,0,0,0,0,0,10,0,0,11,0,28,0,13,0,0,0,,false
Pottawattamie,Council Bluff 03,0,6,0,8,0,0,4,0,16,1,7,5,0,0,0,0,0,10,0,0,0,0,17,0,9,8,0,0,,false
Pottawattamie,Council Bluff 04,0,16,0,19,0,0,5,0,16,3,5,3,0,0,0,17,0,19,0,0,0,0,17,3,11,0,0,0,,false
Pottawattamie,Council Bluff 05,0,14,0,11,0,0,0,0,36,0,1,11,0,0,0,14,0,11,0,0,0,0,36,0,0,12,0,0,,false
Pottawattamie,Council Bluff 06,0,17,0,35,0,0,14,0,56,0,24,4,0,0,0,0,0,37,0,0,25,0,56,0,26,0,0,6,,false
Pottawattamie,Council Bluff 07,0,21,0,29,0,0,35,0,46,1,27,8,0,0,0,0,0,37,0,0,47,0,55,0,27,0,0,1,,false
Pottawattamie,Council Bluff 08,0,14,0,27,0,1,30,0,36,0,38,7,0,0,0,0,0,37,0,0,34,0,38,0,38,0,0,8,,false
Pottawattamie,Council Bluff 09,0,21,0,19,0,0,29,0,17,0,17,8,0,1,0,24,0,21,0,0,31,0,18,0,17,0,0,1,,false
Pottawattamie,Council Bluff 10A,0,31,0,35,0,0,30,0,24,0,28,5,0,0,0,31,0,36,0,0,30,0,25,0,29,0,0,2,,false
Pottawattamie,Council Bluff 10B,0,29,0,38,0,0,22,0,14,0,18,3,0,2,0,31,0,39,0,0,24,0,0,0,27,0,0,0,,false
Pottawattamie,Council Bluff 11,0,22,1,42,0,1,18,1,51,0,32,17,0,1,0,0,0,54,0,0,0,0,55,0,44,28,0,0,,false
Pottawattamie,Council Bluff 12,0,21,24,0,0,0,16,0,26,2,27,3,0,0,0,28,0,28,0,0,0,0,30,0,33,0,0,0,,false
Pottawattamie,Council Bluff 13,0,13,0,14,0,0,6,0,25,0,13,13,0,0,0,14,0,16,0,0,0,0,25,0,16,13,0,0,,false
Pottawattamie,Council Bluff 14,0,5,0,10,0,0,0,0,20,0,9,5,0,0,0,0,0,16,0,0,0,0,22,0,11,0,0,0,,false
Pottawattamie,Council Bluff 15,0,5,0,6,0,0,0,0,13,1,7,6,0,2,0,6,0,6,0,0,0,0,14,0,7,6,0,1,,false
Pottawattamie,Council Bluff 16,0,10,0,11,0,0,0,0,21,0,15,5,0,0,0,10,0,11,0,0,0,0,23,0,17,0,0,0,,false
Pottawattamie,Council Bluff 17,0,11,0,12,0,0,11,0,34,1,15,3,0,0,0,19,0,17,0,0,0,0,34,0,17,0,0,0,,false
Pottawattamie,Council Bluff 18,0,5,0,18,0,0,4,0,23,2,16,10,0,2,0,0,0,27,0,0,0,0,25,0,19,0,0,9,,false
Pottawattamie,Council Bluff 19,0,6,0,25,0,0,8,0,12,0,6,0,0,0,0,0,0,28,0,0,12,0,16,0,1,0,0,0,,false
Pottawattamie,Council Bluff 20,0,7,0,18,0,0,8,0,14,7,13,15,0,0,0,0,0,23,0,0,0,0,16,0,14,16,0,0,,false
Pottawattamie,Council Bluff 21,0,8,0,8,0,0,0,0,12,0,15,8,0,0,0,8,0,8,0,0,0,0,12,0,15,8,0,0,,false
Pottawattamie,Crescent,0,34,0,25,0,0,21,0,15,7,14,6,0,0,0,34,0,32,0,0,25,0,23,0,7,2,0,0,,false
Pottawattamie,GLWCW,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,,false
Pottawattamie,Garner,0,11,0,27,0,0,28,0,21,0,23,4,1,3,0,0,0,30,0,0,37,0,23,0,24,0,0,0,,false
Pottawattamie,Hancock,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,,false
Pottawattamie,Lewis 1,0,24,0,34,0,0,8,0,20,4,12,2,0,0,0,27,0,51,0,0,0,0,26,0,0,0,0,0,,false
Pottawattamie,Lewis 2,0,26,0,28,0,0,17,0,24,0,13,4,0,0,0,29,0,29,0,0,18,0,35,0,0,0,0,0,,false
Pottawattamie,Macedonia,0,2,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,5,0,0,0,0,2,0,1,0,0,1,,false
Pottawattamie,McClelland,0,6,0,5,0,0,7,0,0,0,4,0,1,0,0,7,0,8,0,0,7,0,0,0,0,0,1,0,,false
Pottawattamie,Minden,0,2,0,3,0,0,2,0,4,1,6,0,0,0,0,0,0,5,0,0,0,0,4,0,8,0,0,1,,false
Pottawattamie,Neola,0,13,0,5,0,0,13,0,7,0,19,0,0,0,0,13,0,0,0,0,16,0,0,0,24,0,0,0,,false
Pottawattamie,Oakland,0,12,0,19,0,0,15,0,16,0,8,1,0,0,0,12,0,19,0,0,17,0,18,0,0,0,0,0,,false
Pottawattamie,Treynor,0,6,0,13,0,0,7,0,2,0,8,0,0,0,0,6,0,13,0,0,7,0,0,0,10,0,0,0,,false
Pottawattamie,Underwood,0,25,0,18,0,1,17,0,17,4,17,3,0,0,0,28,0,21,0,0,18,0,17,0,17,0,0,0,,false
Pottawattamie,Walnut,0,0,0,10,0,0,8,0,1,8,0,0,0,0,0,0,0,10,0,0,8,0,1,8,0,0,0,0,,false
