,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sac,Auburn,0,4,0,4,0,1,0,0,0,4,1,0,2,0,0,4,0,5,0,0,0,0,0,7.0,0,0,0.0,0,,false
Sac,Early,0,1,0,6,0,0,3,0,0,2,0,0,2,0,0,0,0,6,0,0,3,0,0,2.0,0,0,2.0,0,,false
Sac,Lake View,0,6,0,14,0,0,11,0,0,9,0,0,8,0,0,0,0,14,0,0,15,0,0,10.0,0,1,8.0,0,,false
Sac,Lytton,0,2,0,2,0,0,2,0,0,2,0,0,1,2,0,0,0,5,0,0,0,0,0,3.0,0,0,0.0,3,,false
Sac,Nemaha,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,3.0,0,0,0.0,0,,false
Sac,Odebolt,0,3,0,3,0,0,1,0,0,3,2,0,2,0,0,5,0,3,0,0,0,0,0,6.0,0,0,0.0,0,,false
Sac,Sac City,0,20,0,13,0,0,10,0,0,8,1,0,9,2,0,20,0,13,0,0,10,0,0,10.0,0,0,10.0,0,,false
Sac,Schaller,0,2,0,14,0,0,10,0,0,0,0,1,0,1,0,0,0,15,0,0,12,0,0,0.0,0,0,0.0,0,,false
Sac,Wall Lake,0,0,0,6,0,1,2,0,0,10,0,0,6,1,0,0,0,6,0,0,0,0,0,12.0,0,0,8.0,0,,false
