,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sioux,Alton/Nassau/East Orange,0,9,0,0,0,0,10,0,10,0,14,5,0,0,0,9,0,0,0,0,12,0,11,0,16,0,0,0,,false
Sioux,Floyd/Lynn,0,3,0,0,0,0,2,0,0,0,5,0,0,1,0,3,0,0,0,0,3,0,0,0,5,0,0,0,,false
Sioux,Grant/Sheridan,0,1,0,3,0,0,2,0,8,0,1,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,,false
Sioux,HW/BC/LG/WA/EG S,0,14,0,24,0,0,1,0,44,0,6,2,0,0,0,18,0,28,0,0,0,0,45,0,0,0,0,1,,false
Sioux,Lincoln,0,4,0,1,0,0,11,0,1,0,2,1,0,0,0,4,0,0,0,0,14,0,0,0,0,0,0,2,,false
Sioux,OC 1/Holland West,0,5,0,20,0,2,12,0,17,0,28,11,0,0,0,1,0,20,0,0,15,0,23,0,36,0,0,0,,false
Sioux,OC2/Holland E/NS 4-9,0,8,0,12,0,0,22,0,16,0,45,29,0,0,0,0,0,0,0,0,33,0,0,0,61,35,0,0,,false
Sioux,PL/GF/ST/SX/EG N,0,0,0,6,0,0,7,0,2,0,0,1,0,1,0,0,0,8,0,0,9,0,0,0,0,0,0,0,,false
Sioux,Reading/Center South,0,2,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,,false
Sioux,Rock Valley East,0,8,0,5,0,0,4,0,1,0,5,2,0,0,0,10,0,5,0,0,4,0,0,0,6,0,0,0,,false
Sioux,Rock Valley West/Rock,0,3,0,8,0,0,0,0,3,0,0,1,0,0,0,3,0,8,0,0,0,0,3,0,0,0,0,0,,false
Sioux,SCN/Capel/Welcome,0,2,0,9,0,0,4,0,6,0,13,8,0,0,0,0,0,11,0,0,0,0,7,0,16,8,0,0,,false
Sioux,Sherman,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,false
Sioux,Sioux Center Central,0,2,0,16,0,0,29,0,3,0,17,13,0,0,0,0,0,18,0,0,30,0,0,0,19,13,0,0,,false
Sioux,Sioux Center South,0,9,0,2,0,0,27,0,10,0,10,4,1,0,0,10,0,0,0,0,30,0,10,0,13,0,0,0,,false
Sioux,West Branch/Center North,0,0,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,0,,false
