,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Story,Ames 1-1,0,2,0,47,0,0,36,0,111,4,68,17,0,0,0,0,0,73,0,0,0,0,116,0,82,0,0,11,,false
Story,Ames 1-2,0,48,0,44,0,0,99,0,131,0,134,46,0,2,0,0,0,0,0,0,142,0,177,0,182,0,0,0,,false
Story,Ames 1-3 - Grant Twp 2,0,10,0,37,0,2,8,0,142,4,42,36,0,4,0,0,0,53,0,0,0,0,168,0,52,0,0,12,,false
Story,Ames 1-4,1,25,0,51,0,1,48,0,227,12,138,49,0,9,0,0,0,0,0,0,0,0,248,0,196,0,0,97,,false
Story,Ames 1-5,0,59,0,64,0,0,76,0,83,17,128,22,0,1,0,0,0,77,0,0,105,0,93,0,152,0,0,0,,false
Story,Ames 2-1,2,26,0,70,0,0,97,0,205,2,139,55,0,4,0,0,0,0,0,0,141,0,232,0,170,0,0,0,,false
Story,Ames 2-2,0,22,0,33,0,0,51,0,117,9,76,24,0,3,0,0,0,0,0,0,85,0,128,0,92,0,0,0,,false
Story,Ames 2-3,0,55,0,51,0,2,68,0,78,0,55,13,0,1,0,58,0,51,0,0,68,0,81,0,57,0,0,0,,false
Story,Ames 2-4,0,57,2,71,0,0,107,0,81,0,98,30,0,0,0,0,0,87,0,0,135,0,88,0,113,0,0,0,,false
Story,Ames 2-5,0,69,0,97,0,0,116,0,64,20,94,27,0,3,0,69,0,111,0,0,131,0,70,0,103,0,0,6,,false
Story,Ames 3-1,0,27,0,43,0,0,93,0,146,0,138,0,0,0,0,27,0,43,0,0,93,0,146,0,138,0,0,0,,false
Story,Ames 3-2,0,7,0,35,0,0,4,0,119,0,42,34,0,1,0,1,0,39,0,0,0,0,122,0,44,34,0,1,,false
Story,Ames 3-3,0,19,0,27,0,0,21,0,128,2,54,43,0,2,0,0,0,0,0,0,46,0,132,0,66,49,0,0,,false
Story,Ames 3-4,1,46,0,67,0,0,38,0,153,7,75,47,2,0,0,0,0,126,0,0,0,0,176,0,103,0,0,0,,false
Story,Ames 3-5,0,50,3,66,0,2,83,0,110,6,98,36,2,2,0,0,0,84,0,0,137,0,119,0,108,0,0,0,,false
Story,Ames 4-1,1,1,0,103,0,1,3,0,151,4,92,70,0,0,0,0,0,106,0,0,0,0,152,0,96,73,0,0,,false
Story,Ames 4-2,0,4,0,24,0,0,8,0,76,0,38,27,0,0,0,0,0,27,0,0,0,0,76,0,41,30,0,0,,false
Story,Ames 4-3,0,5,0,65,0,0,2,0,137,0,58,60,0,4,0,0,0,72,0,0,0,0,139,0,60,60,0,0,,false
Story,Ames 4-4,0,29,0,58,0,0,60,0,208,0,104,52,0,0,0,0,0,0,0,0,93,0,235,0,130,0,0,53,,false
Story,Ames 4-5,0,63,0,55,0,0,77,0,79,1,92,41,0,3,0,68,0,64,0,0,80,0,89,0,97,0,0,0,,false
Story,Collins Twp-Collins,0,10,0,16,0,0,0,0,9,1,0,0,0,0,0,10,0,16,0,0,0,0,9,1,0,0,0,0,,false
Story,Franklin Twp-Gilbert,0,49,0,82,0,0,64,0,56,7,47,12,1,0,0,49,0,87,0,0,68,0,61,0,64,0,0,0,,false
Story,Grant Township,3,1,0,10,0,0,9,0,0,0,4,5,0,0,3,1,0,10,0,0,9,0,0,0,4,5,0,0,,false
Story,Howard Twp-Roland,0,19,0,36,0,0,9,0,23,1,19,5,0,0,0,0,0,46,0,0,0,0,24,0,23,0,0,0,,false
Story,Huxley,0,37,0,51,0,0,34,0,54,9,57,10,0,0,0,40,0,56,0,0,41,0,54,0,61,0,0,0,,false
Story,Indian Creek Twp-Maxwell,0,9,0,13,0,0,7,0,11,9,13,2,0,0,0,0,0,0,0,0,0,0,0,18,23,0,0,0,,false
Story,Lafayette Township,0,3,0,2,0,0,4,0,2,0,0,0,0,0,0,3,0,2,0,0,4,0,2,0,0,0,0,0,,false
Story,Lincoln Twp-Zearing,0,3,0,0,0,0,0,0,4,0,12,0,0,0,0,3,0,0,0,0,0,0,4,0,12,0,0,0,,false
Story,Milford Township,0,0,0,0,0,0,19,0,16,0,4,0,0,0,0,0,0,0,0,0,19,0,16,0,4,0,0,0,,false
Story,Nevada 1,0,16,0,17,0,0,5,0,32,0,17,0,0,0,0,0,0,26,0,0,0,0,33,0,24,0,0,0,,false
Story,Nevada 2,0,18,0,0,0,0,20,0,36,0,26,4,0,2,0,0,0,0,0,0,21,0,40,0,27,0,0,0,,false
Story,Nevada 3-Grant Twp 3,0,9,0,29,0,0,14,0,18,4,5,5,0,0,0,0,0,41,0,0,20,0,23,0,0,0,0,0,,false
Story,Nevada 4,0,15,0,23,0,0,15,0,20,4,21,4,0,2,0,0,0,29,0,0,0,0,25,0,25,0,0,0,,false
Story,Nevada Township,0,3,0,13,0,3,7,0,5,0,11,1,0,0,0,0,0,22,0,0,0,0,8,0,13,0,0,0,,false
Story,New Albany Twp-Colo,0,7,0,7,0,0,5,0,7,0,11,0,0,0,0,8,0,12,0,0,0,0,0,0,17,0,0,0,,false
Story,Palestine Township,3,1,0,10,0,0,9,0,0,0,4,5,0,0,0,0,0,10,0,0,18,0,0,0,0,0,0,0,,false
Story,Richland Township,0,2,0,0,0,0,9,0,3,0,0,0,0,0,0,2,0,0,0,0,9,0,3,0,0,0,0,0,,false
Story,Sherman Township,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,false
Story,Slater-Sheldahl-Pal 2,0,4,0,21,0,2,20,0,24,2,12,4,0,0,0,0,0,32,0,0,24,0,32,0,0,0,0,1,,false
Story,Story City,0,33,0,50,0,0,30,0,37,7,28,9,0,0,0,35,0,54,0,0,34,0,40,0,30,0,0,0,,false
Story,Union Twp-Cambridge,0,11,0,17,0,0,21,0,28,0,10,0,0,0,0,0,0,0,0,0,54,0,32,0,0,0,0,0,,false
Story,Warren Twp-McCallsburg,0,4,0,2,0,0,0,0,2,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,,false
Story,Washington Twp-Kelley,0,15,0,25,0,0,23,0,0,0,23,4,0,0,0,0,0,29,0,0,34,0,0,0,0,0,0,0,,false
