,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Buren,Birmingham,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,,false
Van Buren,Bonaparte,0,3,0,7,0,0,2,0,9,0,1,0,0,0,0,5,0,7,0,0,0,0,10,0,0,0,0,0,,false
Van Buren,Cantril,0,2,0,2,0,0,2,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,,false
Van Buren,Douds,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,,false
Van Buren,Farmington,0,9,0,4,0,0,1,0,5,0,0,0,0,0,0,10,0,4,0,0,0,0,5,0,0,0,0,0,,false
Van Buren,Keosauqua,2,5,0,25,0,0,3,0,12,2,11,0,0,1,0,0,0,30,0,0,0,0,12,0,15,0,0,3,,false
Van Buren,Milton,0,3,0,2,0,0,0,0,2,0,1,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,,false
Van Buren,Stockport,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,false
