,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wapello,Adams/Blakesburg/Polk,0,8,0,5,0,0,1,0,3,2,1,0,0,0,0,8,0,6,0,0,0,0,3,0,3,0,0,0,,false
Wapello,Agency/Agency/Pleasant,0,16,0,10,0,0,0,0,14,0,14,0,0,0,0,16,0,10,0,0,0,0,14,0,14,0,0,0,,false
Wapello,Cass/Chillicothe,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,false
Wapello,Center Twp,0,8,0,11,0,0,6,0,10,0,5,3,0,0,0,9,0,15,0,0,0,0,11,0,8,0,0,0,,false
Wapello,Columbia/Eddyville,0,11,0,8,0,0,0,0,3,0,3,4,0,0,0,13,0,9,0,0,0,0,5,0,0,0,0,0,,false
Wapello,Competine Twp,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,,false
Wapello,Dahlonega Twp,0,10,0,10,0,0,1,0,0,4,6,0,2,0,0,13,0,11,0,0,0,0,0,0,7,0,0,0,,false
Wapello,Green Twp,0,7,0,4,0,0,0,0,3,0,5,0,0,0,0,5,0,4,0,0,0,0,5,0,5,0,0,0,,false
Wapello,Highland Twp,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,false
Wapello,Keokuk Twp,0,3,0,7,0,0,0,0,3,0,0,3,0,0,0,3,0,7,0,0,0,0,3,0,0,3,0,0,,false
Wapello,Ottumwa Pct 01,0,15,0,18,0,0,0,0,36,0,7,0,0,2,0,15,0,20,0,0,0,0,42,0,1,0,0,0,,false
Wapello,Ottumwa Pct 02,0,28,0,38,0,0,16,0,35,8,20,0,0,0,0,37,0,44,0,0,0,0,35,0,25,0,0,0,,false
Wapello,Ottumwa Pct 03,0,37,0,52,0,0,0,0,36,1,28,9,1,0,0,39,0,59,0,0,0,0,37,0,29,0,0,0,,false
Wapello,Ottumwa Pct 04,0,2,0,13,0,0,0,0,20,0,3,1,0,2,0,0,0,17,0,0,0,0,21,0,0,0,0,0,,false
Wapello,Ottumwa Pct 05,0,9,0,25,0,0,0,0,14,0,11,10,0,0,0,0,0,32,0,0,0,0,15,0,11,11,0,0,,false
Wapello,Ottumwa Pct 06,0,6,0,10,0,0,3,0,20,6,3,2,0,0,0,10,0,11,0,0,0,0,21,0,8,0,0,0,,false
Wapello,Ottumwa Pct 07,0,6,0,9,0,0,4,0,18,2,5,3,0,0,0,9,0,11,0,0,0,0,23,0,0,0,0,4,,false
Wapello,Ottumwa Pct 08,0,10,0,11,0,0,5,0,21,0,17,0,0,0,0,0,0,14,0,0,0,0,24,0,20,0,0,0,,false
Wapello,Ottumwa Pct 09,0,31,0,25,0,0,0,0,26,0,15,0,0,0,0,31,0,25,0,0,0,0,26,0,15,0,0,0,,false
Wapello,Ottumwa Pct 10,0,17,0,18,0,0,1,0,17,0,22,0,0,0,0,18,0,18,0,0,0,0,17,0,22,0,0,0,,false
Wapello,Richland/Kirkville,0,6,0,4,0,0,2,0,1,2,2,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,,false
Wapello,Washington/Eldon,0,7,0,15,0,0,0,0,3,0,0,0,0,0,0,7,0,15,0,0,0,0,4,0,0,0,0,0,,false
