,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,Ainsworth,0,14,0,14,0,0,8,0,0,21,0,3,21,8,0,20,0,21,0,0,0,0,0,25.0,0,0,22.0,0,,false
Washington,Brighton/Marion/Crawford,0,15,0,9,0,1,5,0,0,4,1,0,13,2,0,17,0,13,0,0,0,0,0,0.0,0,0,19.0,0,,false
Washington,Kalona,0,11,0,27,0,0,29,0,0,47,12,0,37,6,0,0,0,35,0,0,40,0,0,48.0,0,0,43.0,0,,false
Washington,Riverside,0,13,0,10,0,1,18,0,0,24,0,1,26,3,0,16,0,1,0,0,23,0,0,27.0,0,0,29.0,0,,false
Washington,Washington Ward 1,0,17,0,11,0,0,10,0,0,21,1,0,26,5,0,19,0,0,0,0,14,3,0,21.0,0,0,34.0,0,,false
Washington,Washington Ward 2,0,8,0,19,0,0,10,0,0,32,0,0,18,3,0,0,0,19,0,0,16,0,0,35.0,0,1,19.0,0,,false
Washington,Washington Ward 3,0,17,0,15,0,0,16,0,0,26,0,0,14,0,0,17,0,15,0,0,16,0,0,26.0,0,0,14.0,0,,false
Washington,Washington Ward 4,0,10,0,22,0,0,24,0,0,42,5,0,19,3,0,0,0,31,0,0,29,0,0,44.0,0,0,21.0,0,,false
Washington,Wellman,0,24,0,26,0,0,31,0,0,34,0,7,15,0,0,26,0,29,0,0,40,0,0,40.0,0,0,0.0,0,,false
Washington,West Chester,0,7,0,9,0,1,3,0,0,6,0,0,7,1,0,8,0,10,0,1,0,0,0,0.0,0,0,15.0,0,,false
