,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Webster,Badger-NW Cooper,0,11,0,15,0,0,12,0,10,0,4,0,0,0,0,11,0,16,0,0,12,0,10,0,3,0,0,0,,false
Webster,Clay-Roland,0,3,0,4,0,0,0,0,2,2,2,3,0,1,0,3,0,7,0,0,0,0,3,0,0,4,0,0,,false
Webster,Colfax-Duncombe,0,12,0,6,0,0,1,0,3,1,2,0,0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,0,,false
Webster,Cooper,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,,false
Webster,Dayton-Burnside,0,10,0,15,0,0,8,0,5,0,9,0,0,0,0,10,0,16,0,0,8,0,0,0,12,0,0,0,,false
Webster,Deer Creek-Jackson,0,3,1,4,0,0,2,0,2,2,5,2,0,0,0,5,0,6,0,0,0,0,4,0,6,0,0,0,,false
Webster,Douglas,0,0,0,0,0,0,2,0,0,3,3,0,0,0,0,23,0,20,0,0,0,0,9,0,0,0,0,0,,false
Webster,Elkhorn,0,7,0,6,0,0,0,0,2,0,4,0,0,1,0,7,0,8,0,0,0,0,0,0,4,0,0,0,,false
Webster,Fort Dodge 01,0,17,0,39,0,0,11,0,14,2,10,6,1,0,0,18,0,46,0,0,16,0,18,0,0,0,0,0,,false
Webster,Fort Dodge 02,1,24,0,40,0,0,4,0,20,6,11,6,0,0,0,29,0,58,0,0,0,0,22,0,0,0,0,0,,false
Webster,Fort Dodge 03,3,14,0,23,0,0,8,0,11,3,15,0,0,0,0,16,0,32,0,0,0,0,12,0,17,0,0,0,,false
Webster,Fort Dodge 04,0,15,0,13,0,0,4,0,26,0,5,0,0,0,0,19,0,17,0,0,0,0,27,0,0,0,0,0,,false
Webster,Fort Dodge 05,0,6,0,21,0,0,4,0,10,3,4,1,0,0,0,0,0,22,0,0,0,0,15,0,8,0,0,0,,false
Webster,Fort Dodge 06,0,5,0,5,0,0,1,0,4,5,4,0,0,0,0,5,0,5,0,0,0,0,4,6,4,0,0,0,,false
Webster,Fort Dodge 07,0,9,0,15,0,0,4,0,10,1,4,4,0,0,0,10,0,19,0,0,0,0,15,0,0,0,0,3,,false
Webster,Fort Dodge 08,0,11,0,9,0,0,8,0,13,0,3,0,0,0,0,11,0,10,0,0,8,0,15,0,0,0,0,0,,false
Webster,Fort Dodge 09,0,7,0,13,0,0,2,0,11,0,7,4,0,0,0,9,0,16,0,0,0,0,13,0,7,0,0,0,,false
Webster,Fort Dodge 10,1,15,0,30,0,1,4,0,12,4,6,1,0,0,0,17,0,39,0,0,0,0,12,0,0,0,0,5,,false
Webster,Fort Dodge 11,0,24,0,38,0,0,9,0,5,5,10,4,0,0,0,30,0,45,0,0,0,0,0,0,15,0,0,0,,false
Webster,Fort Dodge 12,0,0,0,27,0,0,16,0,18,0,14,0,0,1,0,0,0,27,0,0,16,0,18,0,15,0,0,0,,false
Webster,Fulton,0,3,0,6,0,0,0,0,0,0,1,1,0,0,0,3,0,6,0,0,0,0,0,0,2,0,0,0,,false
Webster,Gowrie,0,12,0,11,0,0,11,0,10,0,3,0,0,2,0,13,0,12,0,0,14,0,10,0,0,0,0,0,,false
Webster,Johnson,0,5,0,9,0,0,0,0,0,0,1,0,0,0,0,5,0,9,0,0,0,0,0,0,1,0,0,0,,false
Webster,Lost Grove,0,5,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,12,0,6,0,0,0,0,0,,false
Webster,Newark,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,,false
Webster,Otho-Pleasant Valley,0,5,0,21,0,0,5,0,9,5,4,2,0,0,0,9,0,25,0,0,0,0,13,0,0,0,0,0,,false
Webster,Sumner-Webster-Yell-Hardi,0,6,0,4,0,2,0,0,4,3,2,2,0,0,0,9,0,7,0,0,0,0,7,0,0,0,0,0,,false
Webster,Washington,0,1,0,2,0,0,0,0,0,4,2,0,0,0,0,2,0,1,0,0,0,0,0,4,2,0,0,0,,false
