,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winnebago,Buffalo Grant Lincoln,0,1,0,20,0,0,9,0,1,0,2,6,0,3,0,0,0,22,0,0,12,0,0.0,0,0.0,8,0,0,,false
Winnebago,Center,0,10,0,25,0,0,8,0,17,0,8,3,0,0,0,14,0,27,0,0,0,0,18.0,0,12.0,0,0,0,,false
Winnebago,Eden Logan Norway,0,1,0,9,0,0,2,0,2,1,1,0,0,2,0,0,0,13,0,0,0,0,5.0,0,0.0,0,0,0,,false
Winnebago,Forest City Ward 1,0,8,0,9,0,1,13,0,2,0,21,9,0,0,0,0,0,11,0,0,18,0,0.0,0,23.0,11,0,0,,false
Winnebago,Forest City Ward 2,0,5,0,7,0,0,7,0,10,0,10,8,0,0,0,0,0,0,0,0,14,0,10.0,0,12.0,10,0,0,,false
Winnebago,Forest City Ward 3,0,14,0,3,0,0,2,0,8,0,7,4,0,0,0,14,0,0,0,0,0,0,9.0,0,13.0,0,0,0,,false
Winnebago,Forest City Ward 4,0,10,0,9,0,0,6,0,7,0,8,3,0,0,0,10,0,13,0,0,0,0,0.0,0,16.0,0,0,4,,false
Winnebago,King Linden,0,2,0,10,0,0,7,0,1,0,0,0,0,0,0,0,0,11,0,0,7,0,0.0,0,0.0,0,0,2,,false
Winnebago,Mt. Valley,0,4,0,7,0,0,3,0,2,0,4,1,0,0,0,0,0,8,0,0,7,0,0.0,0,6.0,0,0,0,,false
Winnebago,Newton Forest,0,3,0,11,0,0,5,0,8,0,5,0,0,0,0,0,0,16,0,0,8,0,8.0,0,0.0,0,0,0,,false
