,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wright,Belmond,0,23,0,38,0,0,13,0,22,0,10,3,0,10,0,24,0,46,0,0,20,0,28,0,0,0,1,0,,false
Wright,Clarion,0,8,0,15,0,0,17,0,23,0,8,0,0,0,0,0,0,20,0,0,25,0,26,0,0,0,0,0,,false
Wright,Dows,0,4,0,2,0,0,1,0,4,0,7,0,0,0,0,4,0,0,0,0,0,0,5,0,9,0,0,0,,false
Wright,Eagle Grove #1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,,false
Wright,Eagle Grove #2,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,1,,false
Wright,Eagle Grove #3,0,6,0,10,0,0,3,0,4,0,4,2,0,0,0,10,0,13,0,0,0,0,6,0,0,0,0,0,,false
Wright,Eagle Grove #4,0,4,0,4,0,0,6,0,5,0,3,0,0,1,0,4,0,8,0,0,7,0,6,0,0,0,0,1,,false
Wright,Eagle Grove/Troy,0,5,0,2,0,0,2,0,1,0,0,0,0,0,0,6,0,1,0,0,3,0,0,0,0,0,0,0,,false
Wright,Goldfield,0,2,0,3,0,0,5,0,3,0,5,0,0,0,0,0,0,5,0,0,5,0,3,0,5,0,0,0,,false
Wright,Rural Clarion,0,4,0,12,0,0,13,0,1,0,3,0,0,0,0,5,0,14,0,0,14,0,0,0,0,0,0,0,,false
