,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guthrie,Black,0,2,0,8,0,0,0,0,0,5,0,0,9,0,0,0,0,9,0,0,0,0,0,5.0,0,1,9.0,0,,false
Guthrie,Blue,0,11,0,23,0,0,34,0,0,4,6,2,16,5,0,0,0,30,0,0,44,0,0,0.0,0,0,20.0,0,,false
Guthrie,Brown,0,6,0,7,0,0,7,0,0,1,0,0,5,0,0,6,0,7,0,0,8,0,0,0.0,0,0,5.0,0,,false
Guthrie,Gold,0,10,0,12,0,0,11,1,0,10,4,3,10,1,0,13,0,13,0,0,13,0,0,11.0,0,0,10.0,0,,false
Guthrie,Green,0,3,0,10,0,0,3,0,0,4,2,0,3,1,0,0,0,15,0,0,0,0,0,7.0,0,0,4.0,0,,false
Guthrie,Purple,0,17,0,10,0,0,25,0,0,12,0,0,18,7,0,17,0,0,0,0,25,0,0,0.0,0,0,18.0,29,,false
Guthrie,Red,1,2,0,6,0,0,0,0,0,7,0,0,4,0,0,0,0,8,0,0,0,0,0,7.0,0,0,5.0,0,,false
Guthrie,White,0,3,0,1,0,0,4,0,0,0,2,0,0,0,0,4,0,0,0,0,6,0,0,0.0,0,0,0.0,0,,false
