,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry,Central Precinct,0,32,0,2,0,0,24,0,0,18,0,1,17,12,0,35,0,0,0,0,29,0,0,19.0,0,0,18.0,0,,false
Henry,Mt. Pleasant Ward 1,1,6,0,18,0,0,4,0,0,8,0,0,25,12,0,0,0,21,0,0,0,0,0,0.0,0,0,28.0,17,,false
Henry,Mt. Pleasant Ward 2,0,17,0,14,0,0,0,0,0,17,0,0,13,12,0,17,0,14,0,0,0,0,0,17.0,0,0,13.0,12,,false
Henry,Mt. Pleasant Ward 3,0,12,0,20,0,0,10,0,0,20,1,2,14,2,0,14,0,20,0,0,13,0,0,20.0,0,0,14.0,0,,false
Henry,Mt. Pleasant Ward 4,0,3,1,19,0,0,0,0,0,12,0,0,5,8,0,0,0,24,0,0,0,0,0,12.0,0,0,0.0,9,,false
Henry,Northeast Precinct,0,3,1,19,0,0,0,0,0,12,0,0,5,8,0,3,0,24,0,0,0,0,0,12.0,0,0,0.0,9,,false
Henry,Northwest Precinct,0,11,0,24,0,0,5,0,0,13,0,0,2,13,0,16,0,26,0,0,0,0,0,13.0,0,0,0.0,13,,false
Henry,Southeast Precinct,0,17,0,28,0,1,4,0,0,37,4,0,4,14,0,21,0,31,0,0,0,0,0,41.0,0,0,0.0,18,,false
Henry,Southwest Precinct,0,11,0,11,0,1,3,0,0,9,5,0,10,3,0,11,0,11,0,0,9,0,0,9.0,0,0,13.0,0,,false
