,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee,Charleston/DSM/Van Buren,0,11,0,7,0,0,5,0,0,8,0,0,6,6,0,12,0,7,0,0,0,0,0,9.0,0,0,7.0,8,,false
Lee,Fort Madison 1,0,20,0,24,0,0,0,0,0,26,0,0,0,1,0,20,0,24,0,0,0,0,0,27.0,0,0,0.0,0,,false
Lee,Fort Madison 2,0,13,0,36,0,0,3,0,0,13,0,0,14,0,0,16,0,34,0,0,0,0,0,13.0,0,0,15.0,0,,false
Lee,Fort Madison 3,0,25,0,24,0,1,0,0,0,17,0,1,12,0,0,25,0,25,0,0,0,0,0,17.0,0,0,12.0,0,,false
Lee,Fort Madison 4,0,18,0,17,0,0,1,0,0,12,0,0,11,11,0,18,0,18,0,0,0,0,0,12.0,0,0,11.0,11,,false
Lee,Fort Madison 5,0,24,0,30,0,0,0,0,0,21,2,0,4,10,0,25,0,35,0,0,0,0,0,31.0,0,0,0.0,0,,false
Lee,Franklin/Cedar/Marion/Harison,0,28,0,19,0,0,10,0,0,7,5,3,4,0,0,31,0,25,0,0,15,0,0,0.0,0,5,0.0,0,,false
Lee,Green Bay/Washington,0,21,0,19,0,0,10,0,0,9,0,0,7,0,0,21,0,19,0,0,15,0,0,11.0,0,0,0.0,0,,false
Lee,Jackson,0,13,0,13,0,0,10,0,0,12,0,1,12,0,0,13,0,13,0,0,10,0,0,12.0,0,0,12.0,0,,false
Lee,Jefferson,0,7,0,18,0,0,0,0,0,11,0,5,0,0,0,7,0,18,0,0,0,0,0,11.0,0,5,0.0,0,,false
Lee,Keokuk 1,2,3,0,24,0,0,0,0,0,13,3,0,14,13,0,0,0,24,0,0,0,0,0,13.0,0,0,15.0,16,,false
Lee,Keokuk 2,0,2,0,2,0,0,0,0,0,13,2,0,2,1,0,0,0,4,0,0,0,0,0,13.0,0,0,5.0,0,,false
Lee,Keokuk 3,0,9,0,18,0,0,1,1,0,14,0,3,13,0,0,9,0,19,0,0,0,0,0,14.0,0,0,14.0,0,,false
Lee,Keokuk 4,0,4,0,14,0,2,0,0,0,10,1,0,2,0,0,0,0,21,0,0,0,0,0,10.0,0,0,0.0,0,,false
Lee,Keokuk 5,0,11,0,20,0,0,2,0,0,13,5,0,10,4,0,15,0,22,0,0,0,0,0,14.0,0,0,13.0,1,,false
Lee,Keokuk 6,0,12,0,11,0,0,0,0,0,9,0,0,6,1,0,12,0,12,0,0,0,0,0,9.0,0,0,6.0,0,,false
Lee,Keokuk 7,0,22,0,22,0,1,7,0,0,15,0,0,5,8,0,22,0,27,0,0,13,0,0,18.0,0,0,0.0,0,,false
Lee,Montrose,0,17,0,31,0,0,12,0,0,4,0,2,8,6,0,19,0,31,0,0,12,0,0,2.0,0,0,12.0,4,,false
Lee,West Point/Pleasant Ridge/Denmark,0,21,0,33,0,0,2,0,0,16,0,1,16,10,0,21,0,35,0,0,0,0,0,17.0,0,7,18.0,0,,false
