,,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,First Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,Final Expression,URL to Documentation,Manually validated
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Other,Patrick,Sanders,Steyer,Uncommitted,Warren,Yang,,
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott,(AG) Allen's Grove Township,0,3,0,12,0,0,1,0,0,10,0,0,2,1,0,3,0,12,0,0,1,0,0,10.0,0,0,2.0,1,,false
Scott,(B11) City of Bettendorf,0,30,0,67,0,0,67,0,0,71,0,3,40,32,0,26,0,67,0,0,67,0,0,71.0,0,0,47.0,32,,false
Scott,(B12) City of Bettendorf,0,36,0,26,0,1,0,1,0,59,6,0,31,7,0,38,0,32,0,0,0,0,0,63.0,0,0,34.0,0,,false
Scott,(B21) City of Bettendorf,0,0,0,24,0,0,18,0,0,22,12,0,14,4,0,0,0,28,0,0,21,0,0,22.0,0,0,21.0,0,,false
Scott,(B22) City of Bettendorf,0,31,1,39,0,1,25,0,0,38,3,0,30,2,0,31,0,42,0,0,26,0,0,40.0,0,0,30.0,1,,false
Scott,(B23) City of Bettendorf,0,4,0,3,0,0,8,0,0,6,4,0,7,0,0,4,0,3,0,0,8,0,0,6.0,4,0,7.0,2,,false
Scott,(B31) City of Bettendorf,0,22,0,61,0,2,28,0,0,51,5,0,35,20,0,0,0,70,0,0,37,0,0,63.0,0,0,41.0,0,,false
Scott,(B32) City of Bettendorf,0,39,0,33,0,0,37,0,0,44,0,0,44,6,0,44,0,33,0,0,37,0,0,44.0,0,0,44.0,0,,false
Scott,(B41) City of Bettendorf,2,57,0,53,0,0,41,0,0,36,4,2,35,14,0,58,0,57,0,0,44,0,0,38.0,0,0,38.0,0,,false
Scott,(B42) City of Bettendorf,0,38,0,56,0,0,28,0,0,50,0,0,68,24,0,0,0,84,0,0,0,0,0,60.0,0,0,83.0,0,,false
Scott,(B51) City of Bettendorf,0,30,0,73,0,0,48,0,0,63,0,0,34,14,0,0,0,85,0,0,61,0,0,64.0,0,0,37.0,0,,false
