countycode,giuliani,huckabee,hunter,mccain,paul,romney,tancredo,thompson,Brownback,Cort,Cox,Fendig,UND,Wuensche,Keyes,callbackphone,dateupdated,entrytype,countyname,precinctcode_alternate,precinctname,,caucussite,caucusaddress,caucuscity,caucuszip,congressionaldistrict
1,2,18,0,5,7,3,0,15,,,,,,,,6417462892,1/3/08 20:16,AUTO,Adair,5GF,SW & N GF,,YMCA of Adair County,202 North TownlineRoad,Greenfield,50849,5
1,2,18,0,2,1,13,0,8,,,,,,,,6417462892,1/3/08 20:01,AUTO,Adair,3SW,"FN, RL, S SS, JA, WA, BR",,YMCA of Adair County,202North Townline Road,Greenfield,50849,5
1,1,17,0,3,2,6,0,17,,,,,,,,6417462892,1/3/08 20:08,AUTO,Adair,2NE,"ST, LN, JF, HA, GV, N LE, N GA",,YMCA of Adair County,202 North Townline Road,Greenfield,50849,5
1,1,12,0,2,1,13,0,8,,,,,,,,6417462892,1/3/08 20:05,AUTO,Adair,4SE,"OR, ORC, SE GF, GF Twp, S LE, UN, S GA",,YMCA of AdairCounty,202 North Townline Road,Greenfield,50849,5
1,0,8,0,2,3,5,0,19,,,,,,,,6417462892,1/3/08 19:57,AUTO,Adair,1NW,"AD, SI, CA, WL, EU, PR, N SS",,YMCA of Adair County,202 North Townline Road,Greenfield,50849,5
2,1,6,0,2,1,4,0,1,,,,,,,,6413223713,1/3/08 18:18,AUTO,Adams,QC,Quincy West Jasper,,Redeemer Lutheran Fellowship Hall,800 17th,Corning,50841,5
2,0,2,0,0,0,1,0,0,,,,,,,,6414184075,1/3/08 18:27,AUTO,Adams,CG1B,Corning 1B,,Corning Community Center,600 6th St,Corning,50841,5
2,0,4,0,2,1,8,0,0,,,,,,,,6413224494,1/3/08 18:18,AUTO,Adams,CG3A,Corning 3A,,Corning Community Center,600 6th St,Corning,50841,5
2,1,3,0,0,2,0,0,0,,,,,,,,6413225260,1/3/08 18:18,AUTO,Adams,CG2B,Corning 2B,,Corning Community Center,600 6th St,Corning,50841,5
2,0,8,1,2,0,8,0,5,,,,,,,,6413225232,1/3/08 19:28,AUTO,Adams,NW,Nodaway,,Nodaway Community Building,300 7th Ave,Nodaway,50857,5
2,0,11,0,1,0,4,0,0,,,,,,,,6413224448,1/3/08 18:53,AUTO,Adams,CG1A,Corning 1A,,Corning Community Center,600 6th St,Corning,50841,5
2,0,3,0,9,0,3,0,0,,,1,,,,,6413224861,1/3/08 18:28,AUTO,Adams,CG2A,Corning 2A,,Corning Community Center,600 6th St,Corning,50841,5
2,0,12,0,2,5,8,0,7,,,,,,,,7126216554,1/3/08 18:32,AUTO,Adams,AD,SE Adams,,Nicole Tucker Residence,600 7th Ave,Prescott,50859,5
2,1,13,0,3,3,5,0,5,,,,,,,,7126214837,1/3/08 18:26,AUTO,Adams,CB,Carbon,,Dale Cervene Residence,1336 Dogwood Avenue,Corning,50841,5
2,1,3,0,0,2,2,0,3,,,,,,,,6413224349,1/3/08 18:57,AUTO,Adams,CG3B,Corning 3B,,Corning Community Center,600 6th St,Corning,50841,5
2,0,11,0,0,0,1,0,5,,,,,,,,7126216554,1/3/08 18:28,AUTO,Adams,PS,Prescott,,Nicole Tucker Residence,600 7th Ave,Prescott,50859,5
3,0,20,0,9,32,21,0,4,,,,,,,,5635685275,1/3/08 19:09,AUTO,Allamakee,PCT 2,UP/MK/FC/JF/LL,,Allamakee Community Schools East Elementary,107 6th St NW,Waukon,52172,4
3,2,9,0,6,5,21,0,3,,,,,,,,5633800490,1/3/08 18:27,AUTO,Allamakee,PCT 4,PV CITY,,Postville Community Schools Fine Arts Building,312 Post St,Postville,52162,4
3,0,5,0,2,1,1,0,0,,,,,,,,5634923867,1/3/08 18:14,AUTO,Allamakee,PCT 1,WL/HV,,Ernest Gavle Residence,2876 Northview Rd.,Dorechester,52140,4
3,0,2,0,2,14,6,0,3,,,,,,,,5635689521,1/3/08 19:13,AUTO,Allamakee,PCT 5,PC/LT/WV CITY,,Allamakee Community Schools East Elementary,107 6th St NW,Waukon,52172,4
