County,Precinct,Precinct Short Name,County Delegates,Precinct SDE (IDP)
Adair,1NW ADAIR,01NW,8,0.6274509803921569
Adair,2NE STUART,02NE,11,0.8627450980392157
Adair,3SW FONTANELLE,03SW,9,0.7058823529411764
Adair,4SE ORIENT,04SE,10,0.7843137254901961
Adair,5GF GREENFIELD,05GF,13,1.0196078431372548
Adams,Adams 1,AD1,8,0.6857142857142857
Adams,Adams 2,AD2,7,0.6
Adams,Adams 3,AD3,8,0.6857142857142857
Adams,Adams 4,AD4,7,0.6
Adams,Adams 5,AD5,5,0.4285714285714286
Allamakee,Pct 01 - WL/HV,PCT 1,4,0.3111111111111111
Allamakee,Pct 10 - Waukon 2,PCT 10,9,0.7
Allamakee,Pct 11 - Waukon 3,PCT 11,9,0.7
Allamakee,Pct 02 - FC/JF/LL/MK/UP,PCT 2,14,1.088888888888889
Allamakee,Pct 03 - PO/FK,PCT 3,3,0.2333333333333333
Allamakee,Pct 04 - PV City,PCT 4,8,0.6222222222222222
Allamakee,Pct 05 - LT/PC/WV City,PCT 5,4,0.3111111111111111
Allamakee,Pct 06 - FV/TL/HF City,PCT 6,7,0.5444444444444445
Allamakee,Pct 07 - CN/LF/LS/LS City,PCT 7,18,1.4
Allamakee,Pct 08 - IA/UC/NA City,PCT 8,5,0.3888888888888889
Allamakee,Pct 09 - Waukon 1,PCT 9,9,0.7
Appanoose,Bellair/Lincoln,BL,4,0.32
Appanoose,Centerville Ward 1,CV1,13,1.04
Appanoose,Centerville Ward 2,CV2,11,0.88
Appanoose,Centerville Ward 3,CV3,10,0.8
Appanoose,Caldwell Township,CW,2,0.16
Appanoose,Johns/Independence,JO,4,0.32
Appanoose,Pleasant/Franklin,PS,5,0.4
Appanoose,Taylor/Chariton,TY,7,0.56
Appanoose,Union / Udell Township,UD,4,0.32
Appanoose,Vermillion/Douglas/Sharon,VM,6,0.48
Appanoose,Walnut,WALNUT,5,0.4
Appanoose,Washington/Wells,WS,4,0.32
Audubon,Precinct 1,1,15,1.5
Audubon,Precinct 2,2,15,1.5
Benton,Big Grove-Union-Van Horne,BG,9,0.6749999999999999
Benton,Benton-Canton-Shellsburg,BN,22,1.65
Benton,Belle Plaine 1,BP1,6,0.45
Benton,Belle Plaine 2,BP2,5,0.375
Benton,Belle Plaine 3,BP3,6,0.45
Benton,Bruce-Cedar-Mt Auburn,BR,5,0.375
Benton,Eden-Harrison-Taylor,ED,10,0.75
Benton,Eldorado-Newhall,EL,10,0.75
Benton,Florence-St Clair-Norway,FL,12,0.8999999999999999
Benton,Fremont-Atkins,FR,22,1.65
Benton,Homer-Monroe-Jackson-Garrison,HO,6,0.45
Benton,Iowa-Leroy-Luzerne-Blairstown,IA,10,0.75
Benton,Kane-Keystone,KA,6,0.45
Benton,Polk-Urbana,PO,20,1.5
Benton,Vinton 1,VT1,12,0.8999999999999999
Benton,Vinton 2,VT2,8,0.6
Benton,Vinton 3,VT3,11,0.825
Benton,Vinton 4,VT4,10,0.75
Benton,Walford,WA,10,0.75
Black Hawk,Barclay Lester Dunkerton,ALOO,5,1.01
Black Hawk,Bennington,B000,1,0.20199999999999999
Black Hawk,Big Creek La Porte,C000,8,1.6159999999999999
Black Hawk,Black Hawk Hudson Lincoln,DK00,7,1.414
Black Hawk,Cedar Orange,DM00,10,2.02
Black Hawk,Eagle,EO00,7,1.414
Black Hawk,Elk Run Heights &amp; Raymond,G000,1,0.20199999999999999
Black Hawk,Evansdale W1,J100,4,0.8079999999999999
Black Hawk,Evansdale W2,J200,3,0.6060000000000001
Black Hawk,Evansdale W3,J300,4,0.8079999999999999
Black Hawk,Evansdale W4,J400,4,0.8079999999999999
Black Hawk,Mt Vernon,N000,4,0.8079999999999999
Black Hawk,Poyner P1 &amp; East Wloo,PH01,3,0.6060000000000001
Black Hawk,Poyner P2 Fox Gilbert Jesup,PK02,7,1.414
Black Hawk,Spring Creek,Q000,1,0.20199999999999999
Black Hawk,Union,R000,3,0.6060000000000001
Black Hawk,Washington Janesville,S000,2,0.40399999999999997
Black Hawk,WL 1-1,W101,10,2.02
Black Hawk,WL 1-2,W102,9,1.818
Black Hawk,WL 1-3,W103,8,1.6159999999999999
Black Hawk,WL 1-4,W104,9,1.818
Black Hawk,WL 1-5,W105,8,1.6159999999999999
Black Hawk,WL 1-6,W106,11,2.222
Black Hawk,WL 2-1,W201,6,1.2120000000000002
Black Hawk,WL 2-2,W202,7,1.414
Black Hawk,WL 2-3,W203,9,1.818
Black Hawk,WL 2-4,W204,14,2.8280000000000003
Black Hawk,WL 2-5,W205,9,1.818
Black Hawk,WL 2-6,W206,9,1.818
Black Hawk,WL 3-1,W301,8,1.6159999999999999
Black Hawk,WL 3-2,W302,9,1.818
Black Hawk,WL 3-3,W303,7,1.414
Black Hawk,WL 3-4,W304,7,1.414
Black Hawk,WL 3-5,W305,11,2.222
Black Hawk,WL 3-6,W306,6,1.2120000000000002
Black Hawk,WL 4-1,W401,10,2.02
Black Hawk,WL 4-2,W402,7,1.414
Black Hawk,WL 4-3,W403,5,1.01
Black Hawk,WL 4-4,W404,7,1.414
Black Hawk,WL 4-5,W405,11,2.222
Black Hawk,WL 4-6,W406,5,1.01
Black Hawk,WL 5-1,W501,4,0.8079999999999999
Black Hawk,WL 5-2,W502,8,1.6159999999999999
Black Hawk,WL 5-3,W503,7,1.414
Black Hawk,WL 5-4,W504,9,1.818
Black Hawk,WL 5-5,W505,10,2.02
Black Hawk,WL 5-6,W506,9,1.818
Black Hawk,CF W1 P1,X101,8,1.6159999999999999
Black Hawk,CF W1 P2,X102,15,3.03
Black Hawk,CF W1 P3,X103,15,3.03
Black Hawk,CF W2 P1,X201,4,0.8079999999999999
