State/ Country,City,Name of Location,Address,Site Type,Start Time in CST,Local Start Time
AZ,Green Valley,Sunrise Point Club House,"2280 S Cliff Dr, Green Valley, AZ 85714",Open,7:00:00 PM,6:00 PM MST
AZ,Queen Creek,Harkins Theatres Queen Creek 14,20481 E Rittenhouse Rd,Open,4:30:00 PM,3:30 PM MST
AZ,Tucson,Home of Ellyn Harris-Hesli,CONTACT IDP,Open,7:00:00 PM,6:00 PM MST
AZ,Tucson,Flowing Wells Library,"1730 W. Wetmore Rd, Tucson, AZ, 85705",Open,7:00:00 PM,6:00 PM MST
CA,Palm Springs,Palm Springs Public Library Learning Center,"300 S. Sunrise Way, Palm Springs, CA 92262",Open,8:30 PM,6:30 PM PST
CA,Stanford,Stanford Hass Center for Public Service,"562 Salvatierra Walk, Stanford, CA 94305",Open,7:00:00 PM,5:00 PM PST
DC,Washington DC,IBEW International Union,"900 7th St NW Washington DC, 20001",Open,7:00:00 PM,8:00 PM EST
FL,Gulf Breeze,Emerald Dolphin Condominium,"850 Fort Pickens Rd, Gulf Breeze, FL 32561",Open,7:00:00 PM,7:00 PM CST
FL,Miramar Beach,Tops'l Club and Fitness Center,"9011 US Hwy 98, Miramar Beach, FL 32550",Open,7:00:00 PM,7:00 PM CST
FL,Port Charlotte,UUFCC,"1532 Forrest Nelson Blvd, Port Charlotte, FL 33952",Open,2:30:00 PM,3:30 PM EST
FL,St. Petersburg,St. Andrew Lutheran Church,"1901 62nd Ave South, St. Petersburg, FL 33712",Open,4:00:00 PM,5:00 PM EST
France,Paris,CIEE Student Housing,CONTACT IDP,Open,2:00:00 PM,8:00 PM CET
IA,Albia,Monroe Care Center,"120 N 13th St, Albia, IA 52531",Closed,4:30:00 PM,4:30 PM CST
IA,Ankeny,"DMACC Ankeny Building 5, Room 1220","2006 S Ankeny Blvd, Ankeny, IA 50023",Open,7:00:00 PM,7:00 PM CST
IA,Cedar Rapids,Hoover Elementary School,"4141 Johnson Ave NW, Cedar Rapids, IA 52405",Open,7:00:00 PM,7:00 PM CST
IA,Cedar Rapids,The Hotel at Kirkwood Center,"7725 Kirkwood Blvd SW, Cedar Rapids, IA 52404",Open,7:00:00 PM,7:00 PM CST
IA,Cedar Rapids,RWDSU Local 110,"526 F Ave NW, Cedar Rapids, IA 52405",Closed,7:00:00 PM,7:00 PM CST
IA,Cedar Rapids,The Meth-Wick Community,"1224 13th St NW, Cedar Rapids, IA 52405",Closed,7:00:00 PM,7:00 PM CST
IA,Cedar Rapids,"Cedar Rapids Public Library, Whipple Auditorium","450 5th Ave SE, Cedar Rapids, IA 52401",Open,1:30:00 PM,1:30 PM CST
IA,Centerville,Centerville Speciality Care,"1208 E Cross St, Centerville, IA 52544",Closed,3:00:00 PM,3:00 PM CST
IA,Clive,Walnut Ridge Senior Living,"1701 Campus Dr, Clive, IA 50325",Closed,7:00:00 PM,7:00 PM CST
IA,Dallas Center,Spurgeon Manor,"1204 Linden St, Dallas Center, IA 50063",Closed,4:00:00 PM,4:00 PM CST
IA,Davenport,Scott Community College,"101 W 3rd St Davenport, IA 52801",Open,7:00:00 PM,7:00 PM CST
IA,Davenport,Humility of Mary Center,"820 W Central Park Ave, Davenport, IA 52804",Closed,7:00:00 PM,7:00 PM CST
IA,Des Moines,Southside YMCA,"401 E Army Post Rd, Des Moines, IA 50315",Open,7:00:00 PM,7:00 PM CST
IA,Des Moines,South Sudanese Center,"2217 Beaver Avenue, Des Moines, IA 50310",Open,7:00:00 PM,7:00 PM CST
IA,Des Moines,Grandview University Student Center,"2811 E 14th St, Des Moines, IA 50316",Open,7:00:00 PM,7:00 PM CST
IA,Des Moines,Bosnian Islamic Center Zen Zen,"3500 2nd Ave, Des Moines, IA 50318",Open,7:00:00 PM,7:00 PM CST
IA,Des Moines,Scottish Rite Park,"2909 Woodland Ave, Des Moines, IA 50312",Closed,6:30:00 PM,6:30 PM CST
IA,Des Moines,Wesley Acres,"3520 Grand Ave, Des Moines, IA 50312",Closed,6:00:00 PM,6:00 PM CST
IA,Des Moines,Al Najah Cultural Center,"2679 Maury St. Des Moines, IA 50317",Open,7:00:00 PM,7:00 PM CST
IA,Des Moines,Drake University Field House,"2719 Forest Ave, Des Moines, IA 50311",Open,4:30:00 PM,4:30 PM CST
IA,Des Moines,Central Iowa Center for Independent Living,"100 E Euclid Ave Suite 105, Des Moines, IA 50313",Open,5:00:00 PM,5:00 PM CST
IA,Des Moines,Islamic and Education Center Ezan,"6206 Douglas Ave, Des Moines, IA 50322",Open,7:00:00 PM,7:00 PM CST
IA,Des Moines,Karen Baptist Church,"6001 SE 5th St, Des Moines, IA 50315",Open,7:00:00 PM,7:00 PM CST
IA,Des Moines,E300 Apartments,"300 E Grand Ave, Des Moines, IA 50309",Closed,7:00:00 PM,7:00 PM CST
IA,Des Moines,Muslim Community Organization,"1117 42nd St, Des Moines, IA 50311",Open,7:00:00 PM,7:00 PM CST
IA,Dubuque,"University of Dubuque Heritage Center, Room 204","2255 Bennett St, Dubuque, IA 52001",Open,7:00:00 PM,7:00 PM CST
IA,Dubuque,UAW Local 94,"3450 Central Ave, Dubuque, IA 52001",Closed,1:00:00 PM,1:00 PM CST
IA,Edgewood,Edgewood Convalescent,"513 S Bell St, Edgewood, IA 52042",Closed,5:00:00 PM,5:00 PM CST
IA,Fort Dodge,Fort Dodge Villa Care Center,"2721 10th Ave N, Fort Dodge, IA 50501",Closed,7:00:00 PM,7:00 PM CST
IA,Ft. Madison,LULAC Club,"1424 36th St, Fort Madison, Iowa 52627",Open,1:00:00 PM,1:00 PM CST
IA,Granger,Granger Nursing and Rehabilitation Center,"2001 Kennedy St, Granger, IA 50109",Closed,4:00:00 PM,4:00 PM CST
IA,Granger,Islamic and Cultural Center Bosniak,"17630 Bosniak Ln, Granger, IA 50109",Open,7:00:00 PM,7:00 PM CST
IA,Grinnell,Drake Library,"930 Park St, Grinnell, IA 50112",Open,5:00:00 PM,5:00 PM CST
IA,Grinnell,Mayflower Retirement Community Carmen Center,"616 Broad St, Grinnell, IA 50112",Closed,3:00:00 PM,3:00 PM CST
IA,Grundy,Creekside Living,"503 Wical Way, Grundy Center, IA 50638",Closed,6:00:00 PM,6:00 PM CST
IA,Iowa City,Walden Place Retirement Community,"2423 Walden Rd, Iowa City, IA 52246",Closed,7:00:00 PM,7:00 PM CST
IA,Iowa City,University of Iowa Hospitals & Clinics,"200 Hawkins Dr, Iowa City, IA 52242",Closed,5:30:00 PM,5:30 PM CST
IA,Iowa City,University of Iowa Hospitals & Clincs,"200 Hawkins Dr, Iowa City, IA 52242",Closed,7:45:00 PM,7:45 PM CST
IA,Iowa City,Phillips Hall at University of Iowa,"16 N Clinton St, Iowa City, IA 52245",Open,7:00:00 PM,7:00 PM CST
IA,Iowa City,Caring Hands and More,"1552 Mall Drive, Iowa City, IA 52240",Open,7:00:00 PM,7:00 PM CST
IA,Iowa City,Oaknoll Retirement Services,"1 Oaknoll Ct, Iowa City, IA 52246",Closed,7:00:00 PM,7:00 PM CST
IA,"Iowa City ",Iowa City Fire Station 2,"301 Emerald St, Iowa City, IA 52246",Closed,7:00:00 PM,7:00 PM CST
IA,Keokuk,Keokuk Labor Temple,"301 Blondeau St, Keokuk, IA 52632",Open,1:00:00 PM,1:00 PM CST
IA,Lake Mills,Lake Mills Care Center,"406 S 10th Ave E, Lake Mills, IA 50450",Closed,3:00:00 PM,3:00 PM CST
IA,Logan,Westmont Care Center,"314 S Elm Ave, Logan, IA 51546",Closed,6:30:00 PM,6:30 PM CST
IA,Manson,Good Samaritan Society - Manson,"1402 Main St, Manson, IA 50563",Closed,7:00:00 PM,7:00 PM CST
IA,Marshalltown,UAW Local 893,"411 Iowa Ave W, Marshalltown, IA 50158",Closed,1:00:00 PM,1:00 PM CST
IA,Mason City,Oakwood Care Center & Assisted Living,"400 US-18, Clear Lake, IA 50428",Closed,6:30:00 PM,6:30 PM CST
IA,Mason City,Heritage Care and Rehabilitation Center,"501 S Kentucky Ave, Mason City, IA 50401",Closed,6:00:00 PM,6:00 PM CST
IA,Mason City,Good Shephard Health Center,"302 2nd St NE, Mason City, IA 50401",Closed,6:30:00 PM,6:30 PM CST
IA,Mason City,The Willows,"1000 N Eisenhower Ave # 302, Mason City, IA 50401",Closed,6:00:00 PM,6:00 PM CST
IA,Muscatine,Muscatine Community College -McAvoy University Center,"1403 Park Avenue, Muscatine, IA 52761",Open,7:00:00 PM,7:00 PM CST
