County,PSN,Delegates to County Convention,SDE,Long Name,Unplaced County,Unplaced Precinct
Adair,01NW,8,0.62745098,1NW ADAIR,,
Adair,02NE,11,0.862745098,2NE STUART,,
Adair,03SW,9,0.705882353,3SW FONTANELLE,,
Adair,04SE,10,0.784313725,4SE ORIENT,,
Adair,05GF,13,1.019607843,5GF GREENFIELD,,
Adams,AD1,8,0.685714286,Adams 1,,
Adams,AD2,7,0.6,Adams 2,,
Adams,AD3,8,0.685714286,Adams 3,,
Adams,AD4,7,0.6,Adams 4,,
Adams,AD5,5,0.428571429,Adams 5,,
Allamakee,PCT 1,4,0.311111111,Pct 01 - WL/HV,,
Allamakee,PCT 10,9,0.7,Pct 10 - Waukon 2,,
Allamakee,PCT 11,9,0.7,Pct 11 - Waukon 3,,
Allamakee,PCT 2,14,1.088888889,Pct 02 - FC/JF/LL/MK/UP,,
Allamakee,PCT 3,3,0.233333333,Pct 03 - PO/FK,,
Allamakee,PCT 4,8,0.622222222,Pct 04 - PV City,,
Allamakee,PCT 5,4,0.311111111,Pct 05 - LT/PC/WV City,,
Allamakee,PCT 6,7,0.544444444,Pct 06 - FV/TL/HF City,,
Allamakee,PCT 7,18,1.4,Pct 07 - CN/LF/LS/LS City,,
Allamakee,PCT 8,5,0.388888889,Pct 08 - IA/UC/NA City,,
Allamakee,PCT 9,9,0.7,Pct 09 - Waukon 1,,
Appanoose,BL,4,0.32,Bellair/Lincoln,,
Appanoose,CV1,13,1.04,Centerville Ward 1,,
Appanoose,CV2,11,0.88,Centerville Ward 2,,
Appanoose,CV3,10,0.8,Centerville Ward 3,,
Appanoose,CW,2,0.16,Caldwell Township,,
Appanoose,JO,4,0.32,Johns/Independence,,
Appanoose,PS,5,0.4,Pleasant/Franklin,,
Appanoose,TY,7,0.56,Taylor/Chariton,,
Appanoose,UD,4,0.32,Union / Udell Township,,
Appanoose,VM,6,0.48,Vermillion/Douglas/Sharon,,
Appanoose,WALNUT,5,0.4,Walnut,,
Appanoose,WS,4,0.32,Washington/Wells,,
Audubon,1,15,1.5,Precinct 1,,
Audubon,2,15,1.5,Precinct 2,,
Benton,BG,9,0.675,Big Grove-Union-Van Horne,,
Benton,BN,22,1.65,Benton-Canton-Shellsburg,,
Benton,BP1,6,0.45,Belle Plaine 1,,
Benton,BP2,5,0.375,Belle Plaine 2,,
Benton,BP3,6,0.45,Belle Plaine 3,,
Benton,BR,5,0.375,Bruce-Cedar-Mt Auburn,,
Benton,ED,10,0.75,Eden-Harrison-Taylor,,
Benton,EL,10,0.75,Eldorado-Newhall,,
Benton,FL,12,0.9,Florence-St Clair-Norway,,
Benton,FR,22,1.65,Fremont-Atkins,,
Benton,HO,6,0.45,Homer-Monroe-Jackson-Garrison,,
Benton,IA,10,0.75,Iowa-Leroy-Luzerne-Blairstown,,
Benton,KA,6,0.45,Kane-Keystone,,
Benton,PO,20,1.5,Polk-Urbana,,
Benton,VT1,12,0.9,Vinton 1,,
Benton,VT2,8,0.6,Vinton 2,,
Benton,VT3,11,0.825,Vinton 3,,
Benton,VT4,10,0.75,Vinton 4,,
Benton,WA,10,0.75,Walford,,
Black Hawk,ALOO,5,1.01,,Black Hawk,Barclay Lester Dunkerton
Black Hawk,B000,1,0.202,,Black Hawk,Bennington
Black Hawk,C000,8,1.616,,Black Hawk,Big Creek La Porte
Black Hawk,DK00,7,1.414,,Black Hawk,Black Hawk Hudson Lincoln
Black Hawk,DM00,10,2.02,,Black Hawk,Cedar Orange
Black Hawk,EO00,7,1.414,,Black Hawk,Eagle
Black Hawk,G000,1,0.202,,Black Hawk,Elk Run Heights &amp; Raymond
Black Hawk,J100,4,0.808,Evansdale W1,Black Hawk,
Black Hawk,J200,3,0.606,Evansdale W2,Black Hawk,
Black Hawk,J300,4,0.808,Evansdale W3,Black Hawk,
Black Hawk,J400,4,0.808,Evansdale W4,Black Hawk,
Black Hawk,N000,4,0.808,,Black Hawk,Mt Vernon
Black Hawk,PH01,3,0.606,Poyner P1 &amp; East Wloo,Black Hawk,
Black Hawk,PK02,7,1.414,Poyner P2 Fox Gilbert Jesup,Black Hawk,
Black Hawk,Q000,1,0.202,,Black Hawk,Spring Creek
Black Hawk,R000,3,0.606,,Black Hawk,Union
Black Hawk,S000,2,0.404,,Black Hawk,Washington Janesville
Black Hawk,W101,10,2.02,WL 1-1,Black Hawk,
Black Hawk,W102,9,1.818,WL 1-2,Black Hawk,
Black Hawk,W103,8,1.616,WL 1-3,Black Hawk,
Black Hawk,W104,9,1.818,WL 1-4,Black Hawk,
Black Hawk,W105,8,1.616,WL 1-5,Black Hawk,
Black Hawk,W106,11,2.222,WL 1-6,Black Hawk,
Black Hawk,W201,6,1.212,WL 2-1,Black Hawk,
Black Hawk,W202,7,1.414,WL 2-2,Black Hawk,
Black Hawk,W203,9,1.818,WL 2-3,Black Hawk,
Black Hawk,W204,14,2.828,WL 2-4,Black Hawk,
Black Hawk,W205,9,1.818,WL 2-5,Black Hawk,
Black Hawk,W206,9,1.818,WL 2-6,Black Hawk,
Black Hawk,W301,8,1.616,WL 3-1,Black Hawk,
Black Hawk,W302,9,1.818,WL 3-2,Black Hawk,
Black Hawk,W303,7,1.414,WL 3-3,Black Hawk,
Black Hawk,W304,7,1.414,WL 3-4,Black Hawk,
Black Hawk,W305,11,2.222,WL 3-5,Black Hawk,
Black Hawk,W306,6,1.212,WL 3-6,Black Hawk,
Black Hawk,W401,10,2.02,WL 4-1,Black Hawk,
Black Hawk,W402,7,1.414,WL 4-2,Black Hawk,
Black Hawk,W403,5,1.01,WL 4-3,Black Hawk,
Black Hawk,W404,7,1.414,WL 4-4,Black Hawk,
Black Hawk,W405,11,2.222,WL 4-5,Black Hawk,
Black Hawk,W406,5,1.01,WL 4-6,Black Hawk,
Black Hawk,W501,4,0.808,WL 5-1,Black Hawk,
Black Hawk,W502,8,1.616,WL 5-2,Black Hawk,
Black Hawk,W503,7,1.414,WL 5-3,Black Hawk,
Black Hawk,W504,9,1.818,WL 5-4,Black Hawk,
Black Hawk,W505,10,2.02,WL 5-5,Black Hawk,
Black Hawk,W506,9,1.818,WL 5-6,Black Hawk,
Black Hawk,X101,8,1.616,CF W1 P1,Black Hawk,
Black Hawk,X102,15,3.03,CF W1 P2,Black Hawk,
Black Hawk,X103,15,3.03,CF W1 P3,Black Hawk,
Black Hawk,X201,4,0.808,CF W2 P1,Black Hawk,
Black Hawk,X202,14,2.828,CF W2 P2 &amp; CF Twp,Black Hawk,
Black Hawk,X203,19,3.838,CF W2 P3,Black Hawk,
Black Hawk,X301,10,2.02,CF W3 P1,Black Hawk,
Black Hawk,X302,14,2.828,CF W3 P2,Black Hawk,
Black Hawk,X303,9,1.818,CF W3 P3,Black Hawk,
Black Hawk,X401,13,2.626,CF W4 P1,Black Hawk,
Black Hawk,X402,10,2.02,CF W4 P2,Black Hawk,
Black Hawk,X403,9,1.818,CF W4 P3,Black Hawk,
Black Hawk,X501,13,2.626,CF W5 P1,Black Hawk,
Black Hawk,X502,13,2.626,CF W5 P2,Black Hawk,
Black Hawk,X503,11,2.222,CF W5 P3,Black Hawk,
Boone,BN1,9,1.71,Boone 1st Ward,Boone,
Boone,BN2,10,1.9,Boone 2nd Ward,Boone,
Boone,BN3,10,1.9,Boone 3rd Ward,Boone,
Boone,BN4,12,2.28,Boone 4th Ward,Boone,
Boone,BN5,10,1.9,Boone 5th Ward,Boone,
Boone,MD1,4,0.76,Madrid 1st Ward,Boone,
Boone,MD2,4,0.76,Madrid 2nd Ward,Boone,
Boone,MD3,3,0.57,Madrid 3rd Ward,Boone,
Boone,OG,7,1.33,Ogden,Boone,
Boone,RP1,5,0.95,Rural Precinct 1,Boone,
Boone,RP2,7,1.33,Rural Precinct 2,Boone,
Boone,RP3,3,0.57,Rural Precinct 3,Boone,
Boone,RP4,7,1.33,Rural Precinct 4,Boone,
Boone,RP5,3,0.57,Rural Precinct 5,Boone,
Boone,RP6,6,1.14,Rural Precinct 6,Boone,
Bremer,DV,9,2.04,CITY OF DENVER/JEFFERSON TWP,Bremer,
Bremer,FD,1,0.226666667,CITY OF FREDERIKA- FREDERIKA &amp; LEROY TWP,Bremer,
Bremer,JV,5,1.133333333,CITY OF JANESVILLE/JACKSON TWP,Bremer,
Bremer,LA,4,0.906666667,LAFAYETTE TWP/WARREN TWPS,Bremer,
Bremer,PL,3,0.68,CITY OF PLAINFIELD/POLK TWP/DOUGLAS TWP,Bremer,
Bremer,RD,4,0.906666667,CITY OF READLYN- MAXFIELD &amp; FRANKLIN TWP,Bremer,
Bremer,SU,6,1.36,CITY OF SUMNER/SUMNER TWP/DAYTON TWP,Bremer,
Bremer,TR,5,1.133333333,CITY OF TRIPOLI/FREMONT,Bremer,
Bremer,WL1,9,2.04,WAVERLY WARD I/E WASHINGTON TWP,Bremer,
Bremer,WL2,7,1.586666667,WAVERLY WARD II/NE 1/4 SEC 36 WASHINGTON TWP,Bremer,
Bremer,WL3,5,1.133333333,WAVERLY WARD III,Bremer,
Bremer,WL4,8,1.813333333,WAVERLY WARD IV,Bremer,
Bremer,WL5,9,2.04,WAVERLY WARD V/W WASHINGTON TWP,Bremer,
